aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,175,0,28,269,113,-172,-80,191,6,2015-01-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,154,0,18,269,372,-183,-65,147,12,2015-02-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,137,0,20,269,986,-140,-6,220,18,2015-03-01,caa2ff24,60.7840376504413,-132.676752105905
1,0,146,21,19,330,1611,-74,41,298,29,2015-04-01,caa2ff24,60.7840376504413,-132.676752105905
954,0,-178,965,4,357,2272,-16,134,440,60,2015-05-01,caa2ff24,60.7840376504413,-132.676752105905
695,398,-178,1093,48,131,2101,33,171,658,71,2015-06-01,caa2ff24,60.7840376504413,-132.676752105905
823,158,-58,981,82,91,1807,56,173,822,62,2015-07-01,caa2ff24,60.7840376504413,-132.676752105905
537,202,136,740,54,71,1293,48,159,764,57,2015-08-01,caa2ff24,60.7840376504413,-132.676752105905
417,0,169,426,53,157,805,-5,90,512,36,2015-09-01,caa2ff24,60.7840376504413,-132.676752105905
64,0,87,125,21,246,420,-32,55,397,30,2015-10-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,99,0,39,246,153,-134,-40,160,18,2015-11-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,67,0,17,246,63,-178,-95,123,10,2015-12-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,0,0,25,127,110,-158,-64,179,13,2016-01-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,0,0,19,127,376,-142,-23,195,19,2016-02-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-50,0,20,127,992,-125,12,248,23,2016-03-01,caa2ff24,60.7840376504413,-132.676752105905
80,0,-90,80,13,283,1436,-59,58,350,34,2016-04-01,caa2ff24,60.7840376504413,-132.676752105905
834,0,-150,834,23,357,1947,-15,118,449,51,2016-05-01,caa2ff24,60.7840376504413,-132.676752105905
618,445,-190,1063,40,131,2248,31,169,671,77,2016-06-01,caa2ff24,60.7840376504413,-132.676752105905
584,368,-160,952,57,91,1812,65,179,892,69,2016-07-01,caa2ff24,60.7840376504413,-132.676752105905
469,351,-150,820,47,71,1409,56,173,815,68,2016-08-01,caa2ff24,60.7840376504413,-132.676752105905
422,53,-130,475,43,59,875,0,109,566,42,2016-09-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-120,0,28,59,565,-69,20,285,23,2016-10-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-120,0,25,59,174,-121,-39,194,18,2016-11-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-90,0,25,59,68,-216,-121,64,9,2016-12-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-70,0,25,59,145,-201,-91,100,11,2017-01-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-70,0,19,59,451,-191,-60,86,14,2017-02-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-60,0,20,59,916,-211,-77,110,11,2017-03-01,caa2ff24,60.7840376504413,-132.676752105905
19,0,-70,19,13,105,1772,-79,46,290,32,2017-04-01,caa2ff24,60.7840376504413,-132.676752105905
820,0,-120,820,23,357,2080,-22,105,430,52,2017-05-01,caa2ff24,60.7840376504413,-132.676752105905
633,332,-150,965,39,131,1938,21,158,621,64,2017-06-01,caa2ff24,60.7840376504413,-132.676752105905
572,332,-110,904,56,91,1659,51,176,832,60,2017-07-01,caa2ff24,60.7840376504413,-132.676752105905
480,384,-110,864,48,71,1625,43,174,776,73,2017-08-01,caa2ff24,60.7840376504413,-132.676752105905
432,70,-110,502,44,58,930,8,123,605,47,2017-09-01,caa2ff24,60.7840376504413,-132.676752105905
81,0,-80,81,39,145,410,-36,44,355,26,2017-10-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-140,0,11,145,199,-177,-93,76,10,2017-11-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-160,0,23,145,77,-164,-68,173,12,2017-12-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-110,0,31,145,122,-204,-98,120,8,2018-01-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-100,0,19,145,446,-234,-87,76,13,2018-02-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-90,0,20,145,1042,-167,-23,169,19,2018-03-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-80,0,13,145,1609,-102,23,271,25,2018-04-01,caa2ff24,60.7840376504413,-132.676752105905
824,0,-140,824,23,357,2016,-21,109,420,49,2018-05-01,caa2ff24,60.7840376504413,-132.676752105905
627,352,-160,979,40,131,2141,24,158,641,71,2018-06-01,caa2ff24,60.7840376504413,-132.676752105905
579,520,-160,1099,57,91,2026,54,192,813,81,2018-07-01,caa2ff24,60.7840376504413,-132.676752105905
728,49,120,777,75,77,1270,48,159,797,59,2018-08-01,caa2ff24,60.7840376504413,-132.676752105905
405,31,120,436,42,69,1177,-30,104,496,48,2018-09-01,caa2ff24,60.7840376504413,-132.676752105905
131,0,-50,131,30,145,449,-38,60,384,27,2018-10-01,caa2ff24,60.7840376504413,-132.676752105905
0,0,-90,0,25,145,159,-110,-35,205,15,2018-11-01,caa2ff24,60.7840376504413,-132.676752105905
