aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,439,0,32,566,504,-198,-94,226,0,2015-01-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,421,0,26,566,1014,-251,-135,83,7,2015-02-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,340,0,21,566,1475,-96,17,319,18,2015-03-01,caa6d981,49.2812201190376,-93.7780809955327
695,0,226,725,23,712,2093,-31,102,457,41,2015-04-01,caa6d981,49.2812201190376,-93.7780809955327
913,0,323,913,126,712,2065,33,157,840,45,2015-05-01,caa6d981,49.2812201190376,-93.7780809955327
1049,98,305,1147,93,544,2438,99,220,1335,61,2015-06-01,caa6d981,49.2812201190376,-93.7780809955327
1102,160,312,1262,97,360,2408,141,248,1729,65,2015-07-01,caa6d981,49.2812201190376,-93.7780809955327
920,65,317,985,92,318,1981,123,229,1615,51,2015-08-01,caa6d981,49.2812201190376,-93.7780809955327
577,117,224,694,54,252,1671,101,206,1445,39,2015-09-01,caa6d981,49.2812201190376,-93.7780809955327
370,0,220,370,70,543,874,18,112,748,27,2015-10-01,caa6d981,49.2812201190376,-93.7780809955327
5,0,347,19,99,712,375,-32,40,620,3,2015-11-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,371,0,43,712,318,-97,-37,395,0,2015-12-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,330,0,21,712,480,-179,-96,249,0,2016-01-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,310,0,21,712,837,-156,-59,231,6,2016-02-01,caa6d981,49.2812201190376,-93.7780809955327
13,0,320,13,49,712,1463,-72,39,418,17,2016-03-01,caa6d981,49.2812201190376,-93.7780809955327
421,0,340,421,65,712,1813,-32,75,529,25,2016-04-01,caa6d981,49.2812201190376,-93.7780809955327
1020,0,330,1020,72,712,2212,51,179,834,63,2016-05-01,caa6d981,49.2812201190376,-93.7780809955327
1135,0,340,1135,124,712,2472,106,218,1358,55,2016-06-01,caa6d981,49.2812201190376,-93.7780809955327
1143,71,370,1214,108,590,2486,143,241,1729,72,2016-07-01,caa6d981,49.2812201190376,-93.7780809955327
1021,16,410,1037,105,570,2101,132,237,1703,63,2016-08-01,caa6d981,49.2812201190376,-93.7780809955327
595,0,440,595,102,712,1289,101,180,1346,33,2016-09-01,caa6d981,49.2812201190376,-93.7780809955327
347,0,410,347,43,712,796,32,106,838,22,2016-10-01,caa6d981,49.2812201190376,-93.7780809955327
154,0,390,154,51,712,459,-12,64,647,9,2016-11-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,470,0,64,712,342,-166,-90,239,0,2016-12-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,430,0,30,712,479,-174,-91,269,0,2017-01-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,430,0,31,712,961,-134,-39,280,8,2017-02-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,360,0,22,712,1563,-111,2,318,11,2017-03-01,caa6d981,49.2812201190376,-93.7780809955327
550,0,300,550,47,712,1849,-23,96,549,32,2017-04-01,caa6d981,49.2812201190376,-93.7780809955327
769,187,240,956,42,390,2196,40,154,754,54,2017-05-01,caa6d981,49.2812201190376,-93.7780809955327
1063,84,200,1147,105,329,2243,103,222,1188,66,2017-06-01,caa6d981,49.2812201190376,-93.7780809955327
713,529,90,1242,62,207,2469,135,246,1639,78,2017-07-01,caa6d981,49.2812201190376,-93.7780809955327
820,120,80,940,82,167,1961,109,214,1453,67,2017-08-01,caa6d981,49.2812201190376,-93.7780809955327
584,0,130,584,117,696,1334,92,185,1346,34,2017-09-01,caa6d981,49.2812201190376,-93.7780809955327
393,16,90,409,39,670,857,20,105,748,29,2017-10-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,100,0,41,670,392,-91,-11,398,4,2017-11-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,120,0,32,670,349,-189,-103,219,0,2017-12-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,80,0,21,670,480,-205,-100,219,2,2018-01-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,100,0,25,670,1004,-233,-103,130,5,2018-02-01,caa6d981,49.2812201190376,-93.7780809955327
0,0,-30,0,22,670,1530,-112,-1,268,17,2018-03-01,caa6d981,49.2812201190376,-93.7780809955327
19,0,-70,19,10,705,2387,-84,45,360,29,2018-04-01,caa6d981,49.2812201190376,-93.7780809955327
1045,0,-60,1045,65,712,2441,62,206,995,71,2018-05-01,caa6d981,49.2812201190376,-93.7780809955327
1120,33,10,1153,112,656,2436,124,230,1497,83,2018-06-01,caa6d981,49.2812201190376,-93.7780809955327
