aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,128,0,27,59,103,-209,-115,159,3,2015-01-01,cad32880,62.5868183406985,-132.468690252844
0,0,140,0,17,59,318,-210,-85,120,10,2015-02-01,cad32880,62.5868183406985,-132.468690252844
0,0,135,0,12,59,997,-162,-17,194,16,2015-03-01,cad32880,62.5868183406985,-132.468690252844
1,0,120,18,14,108,1642,-81,43,312,27,2015-04-01,cad32880,62.5868183406985,-132.468690252844
1030,0,-128,1030,15,353,2367,-9,147,458,67,2015-05-01,cad32880,62.5868183406985,-132.468690252844
663,467,-112,1129,46,130,2161,39,179,656,78,2015-06-01,cad32880,62.5868183406985,-132.468690252844
666,350,-76,1016,66,90,1959,61,182,850,67,2015-07-01,cad32880,62.5868183406985,-132.468690252844
675,33,154,708,70,80,1348,41,161,758,57,2015-08-01,cad32880,62.5868183406985,-132.468690252844
386,0,198,396,42,90,813,-12,93,504,36,2015-09-01,cad32880,62.5868183406985,-132.468690252844
8,0,175,39,25,168,340,-48,50,386,27,2015-10-01,cad32880,62.5868183406985,-132.468690252844
0,0,227,0,32,168,119,-178,-69,132,13,2015-11-01,cad32880,62.5868183406985,-132.468690252844
0,0,196,0,10,168,42,-201,-107,114,9,2015-12-01,cad32880,62.5868183406985,-132.468690252844
0,0,160,0,18,111,89,-187,-89,127,11,2016-01-01,cad32880,62.5868183406985,-132.468690252844
0,0,160,0,17,111,306,-167,-39,144,17,2016-02-01,cad32880,62.5868183406985,-132.468690252844
0,0,120,0,8,111,1023,-137,1,204,25,2016-03-01,cad32880,62.5868183406985,-132.468690252844
76,0,90,76,17,234,1497,-63,61,324,35,2016-04-01,cad32880,62.5868183406985,-132.468690252844
883,0,-30,883,25,353,2069,-7,129,454,63,2016-05-01,cad32880,62.5868183406985,-132.468690252844
657,471,-80,1128,45,130,2398,41,179,694,87,2016-06-01,cad32880,62.5868183406985,-132.468690252844
871,76,140,947,88,96,1801,73,188,949,70,2016-07-01,cad32880,62.5868183406985,-132.468690252844
680,131,220,811,69,73,1422,55,180,826,71,2016-08-01,cad32880,62.5868183406985,-132.468690252844
398,55,240,453,41,61,867,-6,113,567,47,2016-09-01,cad32880,62.5868183406985,-132.468690252844
0,0,120,0,9,61,541,-95,14,297,21,2016-10-01,cad32880,62.5868183406985,-132.468690252844
0,0,-160,0,20,61,150,-175,-71,143,14,2016-11-01,cad32880,62.5868183406985,-132.468690252844
0,0,-220,0,15,61,47,-244,-136,64,9,2016-12-01,cad32880,62.5868183406985,-132.468690252844
0,0,-200,0,22,61,102,-241,-121,84,9,2017-01-01,cad32880,62.5868183406985,-132.468690252844
0,0,-180,0,15,61,318,-215,-76,84,14,2017-02-01,cad32880,62.5868183406985,-132.468690252844
0,0,-160,0,11,61,995,-244,-92,117,11,2017-03-01,cad32880,62.5868183406985,-132.468690252844
0,0,-170,0,8,61,1824,-88,46,274,30,2017-04-01,cad32880,62.5868183406985,-132.468690252844
860,0,-230,860,14,273,2171,-14,114,439,65,2017-05-01,cad32880,62.5868183406985,-132.468690252844
807,154,-60,961,68,126,1885,33,173,681,70,2017-06-01,cad32880,62.5868183406985,-132.468690252844
947,0,380,947,112,240,1763,60,191,889,71,2017-07-01,cad32880,62.5868183406985,-132.468690252844
678,167,460,845,59,122,1627,45,181,791,82,2017-08-01,cad32880,62.5868183406985,-132.468690252844
404,62,450,466,40,96,839,4,123,591,52,2017-09-01,cad32880,62.5868183406985,-132.468690252844
23,0,390,23,24,115,359,-52,40,357,25,2017-10-01,cad32880,62.5868183406985,-132.468690252844
0,0,260,0,7,115,168,-226,-122,72,7,2017-11-01,cad32880,62.5868183406985,-132.468690252844
0,0,220,0,25,115,50,-185,-78,127,12,2017-12-01,cad32880,62.5868183406985,-132.468690252844
0,0,190,0,15,115,101,-241,-129,94,6,2018-01-01,cad32880,62.5868183406985,-132.468690252844
0,0,150,0,12,115,366,-255,-106,64,10,2018-02-01,cad32880,62.5868183406985,-132.468690252844
0,0,120,0,8,115,1080,-184,-31,158,18,2018-03-01,cad32880,62.5868183406985,-132.468690252844
0,0,90,0,10,115,1745,-112,22,274,26,2018-04-01,cad32880,62.5868183406985,-132.468690252844
834,0,90,834,27,353,2079,-14,116,434,56,2018-05-01,cad32880,62.5868183406985,-132.468690252844
767,195,170,962,56,130,2036,34,168,691,73,2018-06-01,cad32880,62.5868183406985,-132.468690252844
644,481,130,1125,64,90,2124,62,203,873,87,2018-07-01,cad32880,62.5868183406985,-132.468690252844
698,0,360,698,92,266,1081,46,162,839,56,2018-08-01,cad32880,62.5868183406985,-132.468690252844
268,158,340,426,13,125,1210,-31,110,527,49,2018-09-01,cad32880,62.5868183406985,-132.468690252844
51,0,290,51,25,171,450,-56,61,357,24,2018-10-01,cad32880,62.5868183406985,-132.468690252844
0,0,270,0,25,171,149,-157,-61,152,10,2018-11-01,cad32880,62.5868183406985,-132.468690252844
0,0,260,0,18,171,42,-196,-90,117,11,2018-12-01,cad32880,62.5868183406985,-132.468690252844
0,0,220,0,15,171,97,-236,-121,85,8,2019-01-01,cad32880,62.5868183406985,-132.468690252844
0,0,130,0,4,171,412,-274,-134,35,11,2019-02-01,cad32880,62.5868183406985,-132.468690252844
0,0,60,0,3,171,1024,-129,23,198,28,2019-03-01,cad32880,62.5868183406985,-132.468690252844
60,0,-130,60,16,232,1627,-71,63,237,42,2019-04-01,cad32880,62.5868183406985,-132.468690252844
999,99,-320,1098,13,140,2129,30,161,340,96,2019-05-01,cad32880,62.5868183406985,-132.468690252844
419,728,-340,1147,39,94,2222,41,188,610,89,2019-06-01,cad32880,62.5868183406985,-132.468690252844
600,525,-340,1125,61,72,2004,73,211,807,96,2019-07-01,cad32880,62.5868183406985,-132.468690252844
239,669,-460,908,24,59,1490,23,163,565,73,2019-08-01,cad32880,62.5868183406985,-132.468690252844
332,168,-430,500,34,50,942,11,132,543,55,2019-09-01,cad32880,62.5868183406985,-132.468690252844
