aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-376,0,16,282,366,-259,-157,159,0,2015-01-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-340,0,18,282,892,-304,-198,64,3,2015-02-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-318,0,18,282,1430,-177,-45,247,5,2015-03-01,cb4513d2,54.6182338786548,-97.2151590635084
2,0,-253,31,28,367,1986,-74,52,387,23,2015-04-01,cb4513d2,54.6182338786548,-97.2151590635084
994,0,-298,1005,16,613,2623,-10,130,535,50,2015-05-01,cb4513d2,54.6182338786548,-97.2151590635084
932,253,-320,1185,56,225,2552,74,202,1073,63,2015-06-01,cb4513d2,54.6182338786548,-97.2151590635084
848,425,-288,1274,82,156,2397,120,236,1449,72,2015-07-01,cb4513d2,54.6182338786548,-97.2151590635084
855,61,-226,916,88,138,1595,114,220,1409,59,2015-08-01,cb4513d2,54.6182338786548,-97.2151590635084
462,0,-240,462,51,158,1129,65,155,1118,25,2015-09-01,cb4513d2,54.6182338786548,-97.2151590635084
221,0,-266,229,42,339,659,-3,76,665,16,2015-10-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-263,0,47,339,320,-82,-24,407,1,2015-11-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-207,0,29,339,235,-152,-89,299,0,2015-12-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-220,0,17,274,315,-227,-144,189,0,2016-01-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-200,0,18,274,843,-234,-121,164,2,2016-02-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-170,0,23,274,1511,-155,-29,278,8,2016-03-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-140,0,24,274,2290,-92,41,330,25,2016-04-01,cb4513d2,54.6182338786548,-97.2151590635084
947,0,-120,947,40,613,2427,23,148,716,54,2016-05-01,cb4513d2,54.6182338786548,-97.2151590635084
919,186,-110,1105,63,293,2421,78,196,1094,69,2016-06-01,cb4513d2,54.6182338786548,-97.2151590635084
1013,109,70,1122,100,226,2181,119,232,1505,71,2016-07-01,cb4513d2,54.6182338786548,-97.2151590635084
798,206,-10,1004,77,156,1828,111,222,1385,61,2016-08-01,cb4513d2,54.6182338786548,-97.2151590635084
504,0,-10,504,60,222,1153,59,152,1084,32,2016-09-01,cb4513d2,54.6182338786548,-97.2151590635084
127,0,100,127,59,608,403,-8,43,646,8,2016-10-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,110,0,31,608,362,-54,10,504,3,2016-11-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,100,0,23,608,256,-227,-152,173,0,2016-12-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,90,0,19,608,319,-223,-137,209,0,2017-01-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,70,0,16,608,867,-210,-118,185,1,2017-02-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,60,0,21,608,1473,-195,-68,225,4,2017-03-01,cb4513d2,54.6182338786548,-97.2151590635084
18,0,70,18,23,613,2133,-80,44,377,23,2017-04-01,cb4513d2,54.6182338786548,-97.2151590635084
842,0,110,842,48,613,2188,12,120,606,49,2017-05-01,cb4513d2,54.6182338786548,-97.2151590635084
871,142,150,1013,66,369,2128,75,189,1021,61,2017-06-01,cb4513d2,54.6182338786548,-97.2151590635084
856,533,100,1389,73,202,2686,112,244,1385,95,2017-07-01,cb4513d2,54.6182338786548,-97.2151590635084
728,413,-50,1141,71,145,2142,98,228,1245,93,2017-08-01,cb4513d2,54.6182338786548,-97.2151590635084
580,0,-80,580,65,182,1254,58,154,1014,36,2017-09-01,cb4513d2,54.6182338786548,-97.2151590635084
241,0,-90,241,48,389,512,-6,60,623,14,2017-10-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-120,0,32,389,378,-163,-85,234,4,2017-11-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-120,0,22,389,273,-244,-154,169,0,2017-12-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-90,0,23,389,356,-264,-173,132,-1,2018-01-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-100,0,15,389,878,-294,-170,82,1,2018-02-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-90,0,21,389,1572,-191,-60,202,8,2018-03-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-90,0,17,389,2361,-132,17,277,21,2018-04-01,cb4513d2,54.6182338786548,-97.2151590635084
1023,0,-110,1023,38,613,2590,17,164,698,65,2018-05-01,cb4513d2,54.6182338786548,-97.2151590635084
890,181,-110,1071,61,301,2185,93,208,1204,70,2018-06-01,cb4513d2,54.6182338786548,-97.2151590635084
977,218,-70,1195,91,184,2210,119,233,1448,75,2018-07-01,cb4513d2,54.6182338786548,-97.2151590635084
786,235,-80,1021,78,136,1960,104,217,1352,74,2018-08-01,cb4513d2,54.6182338786548,-97.2151590635084
367,0,20,367,58,317,1232,22,105,902,23,2018-09-01,cb4513d2,54.6182338786548,-97.2151590635084
13,0,70,13,40,351,663,-45,25,486,9,2018-10-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,80,0,30,351,353,-162,-94,244,0,2018-11-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,80,0,25,351,256,-193,-115,223,-1,2018-12-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,100,0,25,351,391,-289,-190,107,0,2019-01-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,60,0,12,351,879,-288,-175,98,1,2019-02-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,-60,0,8,351,1495,-167,-33,251,7,2019-03-01,cb4513d2,54.6182338786548,-97.2151590635084
25,0,-100,25,16,404,2039,-75,48,342,26,2019-04-01,cb4513d2,54.6182338786548,-97.2151590635084
930,0,-100,930,36,613,2527,0,120,529,48,2019-05-01,cb4513d2,54.6182338786548,-97.2151590635084
830,400,-160,1230,45,225,2594,91,207,1025,78,2019-06-01,cb4513d2,54.6182338786548,-97.2151590635084
873,449,-150,1322,85,156,2345,129,244,1437,84,2019-07-01,cb4513d2,54.6182338786548,-97.2151590635084
1011,0,200,1011,164,613,1681,108,219,1364,61,2019-08-01,cb4513d2,54.6182338786548,-97.2151590635084
529,63,170,592,44,504,1337,65,156,1022,35,2019-09-01,cb4513d2,54.6182338786548,-97.2151590635084
125,0,360,125,86,613,612,-25,48,566,12,2019-10-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,360,0,29,613,375,-140,-70,277,1,2019-11-01,cb4513d2,54.6182338786548,-97.2151590635084
0,0,340,0,25,613,255,-227,-136,168,0,2019-12-01,cb4513d2,54.6182338786548,-97.2151590635084
