aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,147,0,22,391,356,-287,-180,129,0,2015-01-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,108,0,9,391,861,-328,-225,42,3,2015-02-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,95,0,22,391,1477,-201,-67,209,4,2015-03-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,100,0,27,391,2026,-97,26,363,15,2015-04-01,ccd624c9,55.2017492314497,-92.8901728109002
827,0,105,844,53,391,2560,-19,106,539,37,2015-05-01,ccd624c9,55.2017492314497,-92.8901728109002
832,231,86,1063,59,144,2553,61,179,1001,50,2015-06-01,ccd624c9,55.2017492314497,-92.8901728109002
935,241,108,1176,94,100,2487,107,217,1399,55,2015-07-01,ccd624c9,55.2017492314497,-92.8901728109002
707,0,224,707,105,391,1498,99,189,1367,34,2015-08-01,ccd624c9,55.2017492314497,-92.8901728109002
398,0,356,398,84,391,1017,63,143,1097,20,2015-09-01,ccd624c9,55.2017492314497,-92.8901728109002
79,0,375,116,39,391,657,-19,53,619,9,2015-10-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,437,0,51,391,289,-86,-33,404,0,2015-11-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,383,0,27,391,220,-162,-102,284,0,2015-12-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,360,0,26,391,321,-251,-166,161,0,2016-01-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,320,0,13,391,845,-267,-152,128,2,2016-02-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,280,0,21,391,1490,-183,-48,240,7,2016-03-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,180,0,4,391,2427,-120,15,303,17,2016-04-01,ccd624c9,55.2017492314497,-92.8901728109002
798,0,150,798,46,391,2360,8,126,678,44,2016-05-01,ccd624c9,55.2017492314497,-92.8901728109002
902,103,170,1005,76,214,2558,60,175,1017,62,2016-06-01,ccd624c9,55.2017492314497,-92.8901728109002
1003,11,250,1014,105,206,2191,107,212,1417,62,2016-07-01,ccd624c9,55.2017492314497,-92.8901728109002
775,71,260,846,76,157,1832,96,197,1338,45,2016-08-01,ccd624c9,55.2017492314497,-92.8901728109002
431,0,270,431,61,300,1075,58,139,1063,24,2016-09-01,ccd624c9,55.2017492314497,-92.8901728109002
44,0,460,44,93,391,417,-20,31,616,5,2016-10-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,390,0,20,391,354,-63,0,452,2,2016-11-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,300,0,17,391,253,-241,-161,153,0,2016-12-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,250,0,20,391,321,-246,-157,161,0,2017-01-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,290,0,25,391,791,-235,-138,158,0,2017-02-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,390,0,50,391,1403,-220,-82,189,4,2017-03-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,340,0,21,391,2060,-102,25,337,18,2017-04-01,ccd624c9,55.2017492314497,-92.8901728109002
716,0,280,716,35,391,2277,-7,99,576,43,2017-05-01,ccd624c9,55.2017492314497,-92.8901728109002
865,86,280,951,72,243,2314,59,171,957,57,2017-06-01,ccd624c9,55.2017492314497,-92.8901728109002
603,623,150,1226,52,130,2591,98,221,1297,81,2017-07-01,ccd624c9,55.2017492314497,-92.8901728109002
344,615,-220,959,32,93,2134,87,192,1167,61,2017-08-01,ccd624c9,55.2017492314497,-92.8901728109002
485,9,-220,494,51,91,1151,53,141,993,28,2017-09-01,ccd624c9,55.2017492314497,-92.8901728109002
112,0,-220,112,53,391,546,-19,46,612,7,2017-10-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,-180,0,35,391,363,-168,-90,224,3,2017-11-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,-180,0,25,391,268,-266,-172,133,0,2017-12-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,-110,0,33,391,363,-289,-193,111,-1,2018-01-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,-140,0,6,391,864,-314,-189,75,1,2018-02-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,-190,0,8,391,1555,-212,-72,159,5,2018-03-01,ccd624c9,55.2017492314497,-92.8901728109002
0,0,-200,0,15,391,2289,-152,-7,245,18,2018-04-01,ccd624c9,55.2017492314497,-92.8901728109002
898,0,-340,898,10,391,2637,1,140,657,52,2018-05-01,ccd624c9,55.2017492314497,-92.8901728109002
615,423,-420,1038,39,144,2530,79,186,1110,82,2018-06-01,ccd624c9,55.2017492314497,-92.8901728109002
827,297,-380,1124,82,100,2364,111,215,1390,67,2018-07-01,ccd624c9,55.2017492314497,-92.8901728109002
