aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-312,0,75,251,454,-323,-184,73,2,2015-01-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-346,0,20,251,941,-333,-186,58,3,2015-02-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-416,0,10,251,1547,-240,-87,135,7,2015-03-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-430,0,25,251,1951,-126,0,312,11,2015-04-01,cd2565e4,52.3115057443407,-65.3530366186514
635,0,-428,674,52,251,1917,-27,92,522,31,2015-05-01,cd2565e4,52.3115057443407,-65.3530366186514
856,178,-473,1034,60,92,2170,33,171,799,57,2015-06-01,cd2565e4,52.3115057443407,-65.3530366186514
918,0,-408,918,107,187,1805,72,183,1084,48,2015-07-01,cd2565e4,52.3115057443407,-65.3530366186514
793,0,-403,793,94,251,1614,75,193,1209,44,2015-08-01,cd2565e4,52.3115057443407,-65.3530366186514
488,0,-355,488,99,251,1279,23,136,875,27,2015-09-01,cd2565e4,52.3115057443407,-65.3530366186514
2,0,-359,22,61,251,803,-47,35,479,13,2015-10-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-365,0,56,251,366,-123,-28,330,4,2015-11-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-441,0,25,251,303,-211,-91,257,0,2015-12-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-440,0,36,251,413,-253,-127,142,1,2016-01-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-400,0,38,251,822,-269,-114,154,1,2016-02-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-390,0,29,251,1598,-226,-77,161,6,2016-03-01,cd2565e4,52.3115057443407,-65.3530366186514
0,0,-350,0,42,251,2042,-130,-5,290,10,2016-04-01,cd2565e4,52.3115057443407,-65.3530366186514
698,0,-380,698,47,251,2191,-22,107,580,34,2016-05-01,cd2565e4,52.3115057443407,-65.3530366186514
846,0,-340,846,86,251,1797,35,160,845,42,2016-06-01,cd2565e4,52.3115057443407,-65.3530366186514
