aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-1,0,28,297,374,-282,-175,148,0,2015-01-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-2,0,18,297,864,-333,-222,43,3,2015-02-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,0,0,27,297,1475,-204,-64,209,4,2015-03-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,12,0,28,297,1959,-94,29,380,15,2015-04-01,cd3a66da,54.2830700766262,-90.5215883396855
831,0,2,844,44,297,2466,-9,109,575,37,2015-05-01,cd3a66da,54.2830700766262,-90.5215883396855
841,277,-23,1118,66,109,2550,68,186,997,57,2015-06-01,cd3a66da,54.2830700766262,-90.5215883396855
880,321,-1,1201,89,76,2335,117,224,1408,64,2015-07-01,cd3a66da,54.2830700766262,-90.5215883396855
761,0,45,761,82,96,1616,103,193,1378,38,2015-08-01,cd3a66da,54.2830700766262,-90.5215883396855
421,0,-13,421,77,297,1133,64,148,1121,20,2015-09-01,cd3a66da,54.2830700766262,-90.5215883396855
85,0,10,124,56,297,686,-19,53,613,10,2015-10-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,51,0,44,297,278,-79,-25,438,0,2015-11-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,46,0,30,297,235,-151,-93,300,0,2015-12-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,0,0,28,297,329,-250,-159,168,0,2016-01-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-30,0,13,297,845,-272,-151,144,0,2016-02-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-50,0,23,297,1511,-191,-47,241,7,2016-03-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-40,0,27,297,2258,-113,14,343,15,2016-04-01,cd3a66da,54.2830700766262,-90.5215883396855
802,0,-40,802,43,297,2265,12,126,660,47,2016-05-01,cd3a66da,54.2830700766262,-90.5215883396855
841,202,-40,1043,69,109,2443,71,180,1003,65,2016-06-01,cd3a66da,54.2830700766262,-90.5215883396855
890,210,-20,1100,90,76,2203,121,215,1387,73,2016-07-01,cd3a66da,54.2830700766262,-90.5215883396855
777,101,10,878,80,59,1796,106,198,1336,52,2016-08-01,cd3a66da,54.2830700766262,-90.5215883396855
462,0,-30,462,76,297,1117,64,136,1038,23,2016-09-01,cd3a66da,54.2830700766262,-90.5215883396855
95,0,0,95,58,297,461,-15,41,634,5,2016-10-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,0,0,40,297,346,-66,1,449,2,2016-11-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-70,0,22,297,267,-230,-148,165,0,2016-12-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-80,0,26,297,332,-241,-147,168,0,2017-01-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,120,0,35,297,755,-242,-130,174,0,2017-02-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,230,0,46,297,1381,-217,-72,201,4,2017-03-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,210,0,28,297,2001,-94,29,378,17,2017-04-01,cd3a66da,54.2830700766262,-90.5215883396855
731,0,260,731,56,297,2269,-2,104,594,43,2017-05-01,cd3a66da,54.2830700766262,-90.5215883396855
857,172,270,1029,68,109,2317,73,181,963,64,2017-06-01,cd3a66da,54.2830700766262,-90.5215883396855
711,541,140,1252,71,76,2554,115,217,1286,91,2017-07-01,cd3a66da,54.2830700766262,-90.5215883396855
393,556,-270,949,40,59,2127,94,186,1176,60,2017-08-01,cd3a66da,54.2830700766262,-90.5215883396855
488,0,-200,488,101,297,1135,58,137,988,28,2017-09-01,cd3a66da,54.2830700766262,-90.5215883396855
138,0,-210,138,44,297,613,-14,49,634,10,2017-10-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-120,0,53,297,367,-153,-79,264,3,2017-11-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-110,0,29,297,297,-258,-167,145,0,2017-12-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,160,0,44,297,369,-281,-180,128,-2,2018-01-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,80,0,8,297,860,-307,-175,109,-1,2018-02-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-140,0,13,297,1515,-213,-65,176,5,2018-03-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,-130,0,24,297,2239,-138,-4,283,14,2018-04-01,cd3a66da,54.2830700766262,-90.5215883396855
902,0,-250,902,22,297,2575,12,136,649,50,2018-05-01,cd3a66da,54.2830700766262,-90.5215883396855
444,693,-440,1137,27,109,2668,87,189,1058,94,2018-06-01,cd3a66da,54.2830700766262,-90.5215883396855
1168,0,-260,1168,125,124,2230,126,221,1391,69,2018-07-01,cd3a66da,54.2830700766262,-90.5215883396855
916,0,-150,916,100,159,1932,102,194,1291,61,2018-08-01,cd3a66da,54.2830700766262,-90.5215883396855
410,0,450,410,133,297,1026,33,108,862,18,2018-09-01,cd3a66da,54.2830700766262,-90.5215883396855
5,0,360,5,28,297,593,-46,9,504,6,2018-10-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,330,0,41,297,324,-160,-91,264,-1,2018-11-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,290,0,29,297,270,-203,-121,195,-1,2018-12-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,240,0,24,297,413,-299,-200,105,0,2019-01-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,190,0,14,297,833,-281,-161,119,0,2019-02-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,130,0,19,297,1408,-188,-48,222,6,2019-03-01,cd3a66da,54.2830700766262,-90.5215883396855
0,0,90,0,22,297,2184,-86,34,335,22,2019-04-01,cd3a66da,54.2830700766262,-90.5215883396855
817,0,-160,817,32,297,2320,0,111,558,41,2019-05-01,cd3a66da,54.2830700766262,-90.5215883396855
964,89,-120,1053,83,144,2382,84,190,1024,63,2019-06-01,cd3a66da,54.2830700766262,-90.5215883396855
1235,0,180,1235,134,180,2291,134,229,1393,78,2019-07-01,cd3a66da,54.2830700766262,-90.5215883396855
