aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-471,0,15,154,221,-291,-196,107,0,2015-01-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-448,0,7,154,673,-338,-237,42,2,2015-02-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-406,0,16,154,1379,-230,-99,167,3,2015-03-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-265,0,48,154,2161,-137,-15,264,12,2015-04-01,cd8114ac,58.7728133477684,-101.021437076435
677,0,-346,803,13,452,2832,-41,88,351,44,2015-05-01,cd8114ac,58.7728133477684,-101.021437076435
1140,130,-341,1270,72,230,2667,63,182,822,70,2015-06-01,cd8114ac,58.7728133477684,-101.021437076435
631,515,-348,1145,57,138,2227,98,201,1144,65,2015-07-01,cd8114ac,58.7728133477684,-101.021437076435
289,516,-389,805,27,102,1559,91,178,1116,49,2015-08-01,cd8114ac,58.7728133477684,-101.021437076435
362,14,-385,376,38,98,1076,34,107,840,20,2015-09-01,cd8114ac,58.7728133477684,-101.021437076435
2,0,-385,16,44,180,451,-36,26,514,9,2015-10-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-368,0,29,180,231,-146,-74,284,0,2015-11-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-375,0,11,180,113,-204,-147,231,0,2015-12-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-360,0,17,161,197,-255,-177,120,0,2016-01-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-330,0,12,161,683,-286,-177,109,1,2016-02-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-300,0,16,161,1347,-209,-91,168,4,2016-03-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-280,0,23,161,2149,-156,-22,238,8,2016-04-01,cd8114ac,58.7728133477684,-101.021437076435
789,0,-320,789,28,452,2419,-7,104,533,39,2016-05-01,cd8114ac,58.7728133477684,-101.021437076435
808,359,-350,1167,53,166,2372,70,182,840,71,2016-06-01,cd8114ac,58.7728133477684,-101.021437076435
804,326,-290,1130,79,115,2135,110,204,1186,67,2016-07-01,cd8114ac,58.7728133477684,-101.021437076435
526,336,-260,862,53,89,1684,87,177,1085,46,2016-08-01,cd8114ac,58.7728133477684,-101.021437076435
474,0,-230,474,56,144,925,37,113,788,22,2016-09-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-170,0,57,144,498,-49,-12,470,9,2016-10-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-130,0,25,144,231,-115,-51,289,0,2016-11-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-120,0,18,144,140,-273,-204,105,0,2016-12-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-120,0,18,144,186,-256,-178,100,0,2017-01-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,-110,0,11,144,537,-264,-176,119,0,2017-02-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,130,0,34,144,1394,-244,-126,149,3,2017-03-01,cd8114ac,58.7728133477684,-101.021437076435
0,0,110,0,23,144,2322,-148,-28,248,12,2017-04-01,cd8114ac,58.7728133477684,-101.021437076435
