aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-107,0,21,73,56,-258,-183,168,0,2015-01-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,-115,0,12,73,264,-258,-161,119,1,2015-02-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,-61,0,18,73,904,-232,-109,153,3,2015-03-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,42,0,20,73,1737,-112,-2,271,16,2015-04-01,ce41d57d,65.8698965489508,-132.088346018924
949,0,-151,949,13,401,2449,-1,131,552,51,2015-05-01,ce41d57d,65.8698965489508,-132.088346018924
448,816,-252,1264,21,148,2467,67,200,790,87,2015-06-01,ce41d57d,65.8698965489508,-132.088346018924
629,389,-157,1018,61,102,1832,90,201,1010,75,2015-07-01,ce41d57d,65.8698965489508,-132.088346018924
581,67,-64,648,59,83,1238,55,162,899,48,2015-08-01,ce41d57d,65.8698965489508,-132.088346018924
284,0,258,294,53,304,557,-7,82,574,26,2015-09-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,323,0,32,304,272,-56,12,419,12,2015-10-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,406,0,27,304,85,-197,-110,147,5,2015-11-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,340,0,11,304,17,-245,-161,92,4,2015-12-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,280,0,15,249,45,-221,-141,69,4,2016-01-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,260,0,16,249,258,-215,-116,76,7,2016-02-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,250,0,13,249,837,-194,-97,132,9,2016-03-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,220,0,13,249,1744,-87,30,285,18,2016-04-01,ce41d57d,65.8698965489508,-132.088346018924
779,0,180,779,29,401,1940,0,116,478,57,2016-05-01,ce41d57d,65.8698965489508,-132.088346018924
650,555,150,1205,40,148,2436,73,199,783,96,2016-06-01,ce41d57d,65.8698965489508,-132.088346018924
749,328,250,1077,74,102,1923,103,208,1061,79,2016-07-01,ce41d57d,65.8698965489508,-132.088346018924
555,239,250,794,56,79,1361,76,185,955,65,2016-08-01,ce41d57d,65.8698965489508,-132.088346018924
408,0,290,408,45,102,790,2,104,621,36,2016-09-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,170,0,9,102,446,-104,-9,324,13,2016-10-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,70,0,17,102,92,-208,-114,132,6,2016-11-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,-230,0,20,102,19,-286,-195,67,4,2016-12-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,-100,0,37,102,54,-289,-190,54,4,2017-01-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,220,0,33,102,244,-263,-159,40,6,2017-02-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,160,0,6,102,1003,-298,-166,74,5,2017-03-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,110,0,9,102,1837,-114,13,237,16,2017-04-01,ce41d57d,65.8698965489508,-132.088346018924
745,0,100,745,29,401,2192,-9,98,463,55,2017-05-01,ce41d57d,65.8698965489508,-132.088346018924
513,741,-130,1254,25,148,2647,69,201,793,97,2017-06-01,ce41d57d,65.8698965489508,-132.088346018924
258,986,-280,1244,22,102,2317,97,220,1031,104,2017-07-01,ce41d57d,65.8698965489508,-132.088346018924
435,396,-290,831,43,79,1595,69,184,909,82,2017-08-01,ce41d57d,65.8698965489508,-132.088346018924
396,0,-150,396,54,193,658,15,108,626,36,2017-09-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,-100,0,26,193,306,-66,2,359,12,2017-10-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,160,0,21,193,85,-237,-147,86,4,2017-11-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,240,0,32,193,19,-215,-127,93,5,2017-12-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,250,0,23,193,55,-277,-186,54,1,2018-01-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,300,0,26,193,259,-292,-192,32,6,2018-02-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,240,0,8,193,965,-231,-113,97,8,2018-03-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,200,0,12,193,1874,-143,-16,229,14,2018-04-01,ce41d57d,65.8698965489508,-132.088346018924
638,0,200,638,22,401,1865,-20,92,460,39,2018-05-01,ce41d57d,65.8698965489508,-132.088346018924
606,471,160,1077,31,148,2165,65,185,785,82,2018-06-01,ce41d57d,65.8698965489508,-132.088346018924
457,755,90,1212,43,102,2104,93,224,1006,89,2018-07-01,ce41d57d,65.8698965489508,-132.088346018924
625,0,330,625,93,362,839,61,159,942,39,2018-08-01,ce41d57d,65.8698965489508,-132.088346018924
351,25,410,376,33,326,925,-15,98,567,30,2018-09-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,380,0,13,326,376,-71,27,349,11,2018-10-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,440,0,31,326,94,-185,-102,131,4,2018-11-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,390,0,14,326,18,-243,-149,93,4,2018-12-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,370,0,22,326,56,-264,-172,84,3,2019-01-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,290,0,10,326,330,-191,-85,131,10,2019-02-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,240,0,7,326,874,-117,6,273,17,2019-03-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,200,0,12,326,1757,-118,5,256,19,2019-04-01,ce41d57d,65.8698965489508,-132.088346018924
894,0,70,894,22,401,2147,22,135,554,58,2019-05-01,ce41d57d,65.8698965489508,-132.088346018924
534,710,-250,1244,30,148,2357,56,186,646,89,2019-06-01,ce41d57d,65.8698965489508,-132.088346018924
344,799,-320,1143,31,102,2184,89,215,997,86,2019-07-01,ce41d57d,65.8698965489508,-132.088346018924
742,0,-90,742,91,224,1263,23,144,710,47,2019-08-01,ce41d57d,65.8698965489508,-132.088346018924
300,93,-60,393,24,154,834,20,122,685,38,2019-09-01,ce41d57d,65.8698965489508,-132.088346018924
10,0,220,10,33,183,292,-51,30,441,15,2019-10-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,270,0,32,183,85,-176,-86,158,8,2019-11-01,ce41d57d,65.8698965489508,-132.088346018924
0,0,270,0,19,183,19,-316,-222,52,2,2019-12-01,ce41d57d,65.8698965489508,-132.088346018924
