aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,239,0,84,538,578,-212,-85,148,7,2015-01-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,150,0,35,538,1112,-247,-118,85,8,2015-02-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,87,0,47,538,1642,-153,-22,208,15,2015-03-01,cf1fe64f,47.4682336046153,-69.1603621296588
108,0,63,250,63,538,1839,-47,65,434,27,2015-04-01,cf1fe64f,47.4682336046153,-69.1603621296588
1159,0,-153,1159,76,538,2258,44,186,795,70,2015-05-01,cf1fe64f,47.4682336046153,-69.1603621296588
1090,0,-98,1090,124,538,2233,74,196,1010,65,2015-06-01,cf1fe64f,47.4682336046153,-69.1603621296588
1142,77,-95,1219,106,405,2238,114,231,1320,78,2015-07-01,cf1fe64f,47.4682336046153,-69.1603621296588
1019,74,-116,1092,99,323,1919,127,242,1453,80,2015-08-01,cf1fe64f,47.4682336046153,-69.1603621296588
771,0,-167,771,85,359,1684,81,209,1209,58,2015-09-01,cf1fe64f,47.4682336046153,-69.1603621296588
416,0,-202,424,84,538,1001,-8,97,575,32,2015-10-01,cf1fe64f,47.4682336046153,-69.1603621296588
42,0,-265,92,70,538,514,-29,50,522,16,2015-11-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,-182,0,111,538,344,-71,-3,439,4,2015-12-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,-190,0,49,538,566,-151,-47,214,10,2016-01-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,130,0,117,538,843,-162,-30,262,8,2016-02-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,240,0,122,538,1456,-107,19,315,15,2016-03-01,cf1fe64f,47.4682336046153,-69.1603621296588
94,0,230,94,62,538,2286,-65,62,367,24,2016-04-01,cf1fe64f,47.4682336046153,-69.1603621296588
986,0,180,986,82,538,2275,33,168,732,50,2016-05-01,cf1fe64f,47.4682336046153,-69.1603621296588
1183,0,230,1183,144,538,2181,86,213,988,62,2016-06-01,cf1fe64f,47.4682336046153,-69.1603621296588
1264,0,320,1264,174,538,2225,125,245,1354,70,2016-07-01,cf1fe64f,47.4682336046153,-69.1603621296588
1176,8,310,1184,122,523,2016,121,249,1374,73,2016-08-01,cf1fe64f,47.4682336046153,-69.1603621296588
738,43,220,781,70,453,1577,71,198,1088,42,2016-09-01,cf1fe64f,47.4682336046153,-69.1603621296588
464,0,220,464,113,538,852,15,119,709,30,2016-10-01,cf1fe64f,47.4682336046153,-69.1603621296588
90,0,180,90,99,538,467,-25,45,537,12,2016-11-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,160,0,84,538,400,-137,-42,274,6,2016-12-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,180,0,90,538,535,-140,-38,284,9,2017-01-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,160,0,60,538,914,-149,-31,286,9,2017-02-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,220,0,100,538,1501,-140,-22,216,13,2017-03-01,cf1fe64f,47.4682336046153,-69.1603621296588
407,0,250,407,115,538,1572,-18,80,590,22,2017-04-01,cf1fe64f,47.4682336046153,-69.1603621296588
853,0,290,853,121,538,1875,36,152,760,48,2017-05-01,cf1fe64f,47.4682336046153,-69.1603621296588
1065,63,280,1128,101,429,2368,84,213,1127,67,2017-06-01,cf1fe64f,47.4682336046153,-69.1603621296588
975,316,180,1291,78,193,2511,109,241,1334,75,2017-07-01,cf1fe64f,47.4682336046153,-69.1603621296588
872,252,90,1124,86,135,2081,97,226,1219,68,2017-08-01,cf1fe64f,47.4682336046153,-69.1603621296588
705,0,-180,705,85,236,1529,78,203,1229,45,2017-09-01,cf1fe64f,47.4682336046153,-69.1603621296588
496,0,-90,496,166,538,973,36,148,893,36,2017-10-01,cf1fe64f,47.4682336046153,-69.1603621296588
10,0,-70,10,106,538,549,-67,32,417,12,2017-11-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,-70,0,82,538,465,-161,-66,230,5,2017-12-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,200,0,138,538,577,-184,-68,205,7,2018-01-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,180,0,59,538,916,-145,-20,312,11,2018-02-01,cf1fe64f,47.4682336046153,-69.1603621296588
0,0,130,0,57,538,1322,-92,1,296,13,2018-03-01,cf1fe64f,47.4682336046153,-69.1603621296588
62,0,230,62,106,538,1853,-57,50,401,21,2018-04-01,cf1fe64f,47.4682336046153,-69.1603621296588
1110,0,150,1110,79,538,2699,29,178,754,73,2018-05-01,cf1fe64f,47.4682336046153,-69.1603621296588
1074,112,100,1186,93,345,2471,72,212,997,69,2018-06-01,cf1fe64f,47.4682336046153,-69.1603621296588
856,549,-200,1405,73,182,2540,131,266,1494,97,2018-07-01,cf1fe64f,47.4682336046153,-69.1603621296588
929,208,-250,1137,92,130,2133,124,256,1568,73,2018-08-01,cf1fe64f,47.4682336046153,-69.1603621296588
728,53,-320,781,75,115,1523,69,202,1104,45,2018-09-01,cf1fe64f,47.4682336046153,-69.1603621296588
388,0,-280,388,129,538,848,-2,85,629,29,2018-10-01,cf1fe64f,47.4682336046153,-69.1603621296588
