aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-56,0,47,205,463,-314,-198,84,0,2015-01-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,0,0,35,205,1022,-343,-211,56,2,2015-02-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,1,0,38,205,1566,-247,-99,140,5,2015-03-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,0,0,35,205,2096,-113,11,382,8,2015-04-01,cf34b70d,53.1191822569424,-73.2578652649297
799,0,-26,810,56,205,2133,-2,104,556,38,2015-05-01,cf34b70d,53.1191822569424,-73.2578652649297
926,67,-12,993,82,90,2094,59,171,921,53,2015-06-01,cf34b70d,53.1191822569424,-73.2578652649297
894,0,17,894,95,97,1718,111,197,1363,45,2015-07-01,cf34b70d,53.1191822569424,-73.2578652649297
751,0,0,751,111,205,1588,112,192,1425,36,2015-08-01,cf34b70d,53.1191822569424,-73.2578652649297
333,0,66,333,101,205,1221,46,134,1114,8,2015-09-01,cf34b70d,53.1191822569424,-73.2578652649297
17,0,74,53,70,205,663,-25,37,580,8,2015-10-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,158,0,94,205,294,-79,-20,469,0,2015-11-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,142,0,54,205,272,-159,-86,373,0,2015-12-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,130,0,46,205,398,-242,-137,164,3,2016-01-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,130,0,36,205,880,-274,-140,135,3,2016-02-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,110,0,36,205,1610,-219,-80,181,7,2016-03-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,90,0,34,205,2281,-138,-17,270,9,2016-04-01,cf34b70d,53.1191822569424,-73.2578652649297
704,0,70,704,55,205,2310,2,108,639,43,2016-05-01,cf34b70d,53.1191822569424,-73.2578652649297
881,32,70,913,83,150,2136,67,172,979,56,2016-06-01,cf34b70d,53.1191822569424,-73.2578652649297
975,22,80,997,100,126,2059,110,202,1315,56,2016-07-01,cf34b70d,53.1191822569424,-73.2578652649297
785,0,70,785,112,205,1577,102,190,1298,43,2016-08-01,cf34b70d,53.1191822569424,-73.2578652649297
380,0,110,380,101,205,1048,47,124,1027,18,2016-09-01,cf34b70d,53.1191822569424,-73.2578652649297
115,0,120,115,75,205,584,-12,47,664,8,2016-10-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,100,0,67,205,328,-74,-12,460,5,2016-11-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,100,0,56,205,325,-211,-122,198,2,2016-12-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,90,0,46,205,424,-235,-129,187,3,2017-01-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,90,0,36,205,914,-261,-135,155,3,2017-02-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,70,0,36,205,1668,-220,-75,175,7,2017-03-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,60,0,34,205,1961,-101,12,376,13,2017-04-01,cf34b70d,53.1191822569424,-73.2578652649297
696,0,-10,696,55,205,2277,0,106,649,42,2017-05-01,cf34b70d,53.1191822569424,-73.2578652649297
882,26,20,908,84,160,2034,70,171,972,48,2017-06-01,cf34b70d,53.1191822569424,-73.2578652649297
1035,122,-10,1157,100,73,2278,99,198,1121,63,2017-07-01,cf34b70d,53.1191822569424,-73.2578652649297
774,0,-10,774,112,205,1477,88,175,1125,39,2017-08-01,cf34b70d,53.1191822569424,-73.2578652649297
441,0,20,441,100,205,1271,53,130,1019,23,2017-09-01,cf34b70d,53.1191822569424,-73.2578652649297
213,0,-20,213,76,205,533,6,69,724,10,2017-10-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,0,0,68,205,297,-96,-35,319,4,2017-11-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,10,0,57,205,278,-203,-116,208,0,2017-12-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,0,0,46,205,496,-284,-174,105,3,2018-01-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,10,0,36,205,970,-278,-148,125,1,2018-02-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,0,0,37,205,1564,-172,-40,228,8,2018-03-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,-40,0,25,205,2131,-127,-12,263,13,2018-04-01,cf34b70d,53.1191822569424,-73.2578652649297
632,0,20,632,64,205,2316,-24,79,493,29,2018-05-01,cf34b70d,53.1191822569424,-73.2578652649297
908,187,-110,1095,54,75,2831,48,153,735,66,2018-06-01,cf34b70d,53.1191822569424,-73.2578652649297
1022,0,140,1022,168,205,2043,112,211,1355,69,2018-07-01,cf34b70d,53.1191822569424,-73.2578652649297
851,49,70,900,81,121,1841,97,185,1161,54,2018-08-01,cf34b70d,53.1191822569424,-73.2578652649297
431,0,130,431,121,205,1128,38,113,900,22,2018-09-01,cf34b70d,53.1191822569424,-73.2578652649297
20,0,150,20,70,205,596,-34,20,481,6,2018-10-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,100,0,58,205,309,-113,-55,336,3,2018-11-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,150,0,71,205,282,-196,-107,238,2,2018-12-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,100,0,38,205,459,-284,-175,87,2,2019-01-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,130,0,45,205,939,-281,-157,99,2,2019-02-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,150,0,46,205,1440,-213,-79,165,6,2019-03-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,140,0,35,205,2083,-105,6,320,14,2019-04-01,cf34b70d,53.1191822569424,-73.2578652649297
713,0,110,713,57,205,2228,0,99,580,34,2019-05-01,cf34b70d,53.1191822569424,-73.2578652649297
880,0,130,880,88,205,1996,65,171,974,49,2019-06-01,cf34b70d,53.1191822569424,-73.2578652649297
979,0,200,979,124,205,1805,116,211,1397,54,2019-07-01,cf34b70d,53.1191822569424,-73.2578652649297
810,0,210,810,106,205,1513,106,193,1315,45,2019-08-01,cf34b70d,53.1191822569424,-73.2578652649297
444,0,120,444,73,205,1086,47,118,929,19,2019-09-01,cf34b70d,53.1191822569424,-73.2578652649297
243,0,-140,243,60,205,673,11,66,685,14,2019-10-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,-170,0,53,205,378,-95,-34,342,5,2019-11-01,cf34b70d,53.1191822569424,-73.2578652649297
0,0,-70,0,80,205,284,-179,-91,210,2,2019-12-01,cf34b70d,53.1191822569424,-73.2578652649297
