aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-387,0,15,285,322,-284,-177,117,0,2015-01-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-378,0,10,285,790,-331,-230,34,3,2015-02-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-343,0,22,285,1464,-216,-82,199,2,2015-03-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-215,0,50,285,2046,-115,9,333,12,2015-04-01,d0f81883,56.5140211776491,-95.8385362567968
815,0,-291,862,20,377,2671,-35,100,452,40,2015-05-01,d0f81883,56.5140211776491,-95.8385362567968
1004,113,-251,1116,77,183,2512,58,182,948,57,2015-06-01,d0f81883,56.5140211776491,-95.8385362567968
701,454,-263,1155,66,113,2296,98,215,1298,60,2015-07-01,d0f81883,56.5140211776491,-95.8385362567968
365,358,-304,723,35,84,1488,89,188,1291,37,2015-08-01,d0f81883,56.5140211776491,-95.8385362567968
356,33,-298,389,37,75,1013,52,132,1010,20,2015-09-01,d0f81883,56.5140211776491,-95.8385362567968
24,0,-312,59,41,308,584,-28,46,599,8,2015-10-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-308,0,37,308,291,-111,-53,347,0,2015-11-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-323,0,13,308,185,-178,-121,259,0,2015-12-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-310,0,19,257,262,-241,-160,118,0,2016-01-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-280,0,16,257,799,-270,-157,107,2,2016-02-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-250,0,22,257,1464,-190,-66,192,6,2016-03-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-230,0,25,257,2414,-139,4,272,15,2016-04-01,d0f81883,56.5140211776491,-95.8385362567968
844,0,-240,844,46,377,2407,-2,123,595,42,2016-05-01,d0f81883,56.5140211776491,-95.8385362567968
812,324,-250,1136,59,139,2527,57,184,911,71,2016-06-01,d0f81883,56.5140211776491,-95.8385362567968
825,289,-210,1114,82,96,2191,99,216,1289,59,2016-07-01,d0f81883,56.5140211776491,-95.8385362567968
680,228,-200,908,69,74,1883,81,195,1197,50,2016-08-01,d0f81883,56.5140211776491,-95.8385362567968
479,38,-190,517,50,66,996,42,138,895,29,2016-09-01,d0f81883,56.5140211776491,-95.8385362567968
7,0,-190,7,44,111,406,-33,13,562,6,2016-10-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-170,0,35,111,309,-81,-20,337,0,2016-11-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-150,0,24,111,217,-257,-184,119,0,2016-12-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-140,0,19,111,262,-240,-156,127,0,2017-01-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-130,0,16,111,731,-240,-154,118,0,2017-02-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,190,0,63,111,1432,-231,-103,167,3,2017-03-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,170,0,25,111,2211,-121,5,307,14,2017-04-01,d0f81883,56.5140211776491,-95.8385362567968
697,0,160,697,47,377,2239,-12,92,544,37,2017-05-01,d0f81883,56.5140211776491,-95.8385362567968
860,162,160,1022,60,139,2308,54,174,891,63,2017-06-01,d0f81883,56.5140211776491,-95.8385362567968
792,545,100,1337,79,96,2550,88,231,1179,83,2017-07-01,d0f81883,56.5140211776491,-95.8385362567968
684,341,-40,1025,70,74,2076,71,207,1119,71,2017-08-01,d0f81883,56.5140211776491,-95.8385362567968
495,101,-100,596,51,61,1157,43,140,844,32,2017-09-01,d0f81883,56.5140211776491,-95.8385362567968
39,0,-120,39,42,169,447,-30,33,557,5,2017-10-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-140,0,35,169,353,-192,-115,206,3,2017-11-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-120,0,24,169,225,-272,-184,119,0,2017-12-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-110,0,20,169,334,-279,-195,87,0,2018-01-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-100,0,16,169,788,-320,-205,77,1,2018-02-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-90,0,22,169,1522,-222,-93,162,5,2018-03-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-90,0,24,169,2254,-170,-25,266,14,2018-04-01,d0f81883,56.5140211776491,-95.8385362567968
948,0,-140,948,45,377,2598,-10,132,540,49,2018-05-01,d0f81883,56.5140211776491,-95.8385362567968
812,326,-180,1138,59,139,2341,72,194,980,71,2018-06-01,d0f81883,56.5140211776491,-95.8385362567968
809,404,-180,1213,81,96,2396,99,216,1253,77,2018-07-01,d0f81883,56.5140211776491,-95.8385362567968
691,161,-150,852,71,74,1742,75,189,1178,46,2018-08-01,d0f81883,56.5140211776491,-95.8385362567968
339,0,-100,339,49,205,1139,3,85,754,21,2018-09-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,-70,0,42,205,656,-71,2,462,7,2018-10-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,30,0,35,205,296,-193,-118,216,-1,2018-11-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,70,0,24,205,212,-222,-145,144,-1,2018-12-01,d0f81883,56.5140211776491,-95.8385362567968
0,0,60,0,20,205,346,-309,-208,80,0,2019-01-01,d0f81883,56.5140211776491,-95.8385362567968
