aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,81,0,22,83,52,-267,-195,182,0,2015-01-01,d25757ed,66.1020972733274,-133.221850632564
0,0,-21,0,12,83,260,-270,-178,143,0,2015-02-01,d25757ed,66.1020972733274,-133.221850632564
0,0,38,0,18,83,900,-244,-125,173,0,2015-03-01,d25757ed,66.1020972733274,-133.221850632564
0,0,71,0,20,83,1724,-120,-13,298,10,2015-04-01,d25757ed,66.1020972733274,-133.221850632564
922,0,-149,922,14,423,2422,0,132,585,48,2015-05-01,d25757ed,66.1020972733274,-133.221850632564
477,831,-245,1309,22,156,2450,82,211,816,99,2015-06-01,d25757ed,66.1020972733274,-133.221850632564
577,475,-157,1052,56,108,1758,105,213,1041,87,2015-07-01,d25757ed,66.1020972733274,-133.221850632564
546,131,-74,677,55,84,1226,65,169,922,53,2015-08-01,d25757ed,66.1020972733274,-133.221850632564
285,0,289,291,62,391,514,0,85,604,26,2015-09-01,d25757ed,66.1020972733274,-133.221850632564
0,0,407,0,46,391,253,-58,9,443,8,2015-10-01,d25757ed,66.1020972733274,-133.221850632564
0,0,460,0,30,391,85,-207,-123,170,1,2015-11-01,d25757ed,66.1020972733274,-133.221850632564
0,0,363,0,11,391,14,-253,-172,117,0,2015-12-01,d25757ed,66.1020972733274,-133.221850632564
0,0,300,0,15,340,42,-228,-148,85,0,2016-01-01,d25757ed,66.1020972733274,-133.221850632564
0,0,270,0,16,340,245,-228,-130,96,3,2016-02-01,d25757ed,66.1020972733274,-133.221850632564
0,0,260,0,16,340,817,-207,-110,147,3,2016-03-01,d25757ed,66.1020972733274,-133.221850632564
0,0,230,0,13,340,1751,-97,21,304,12,2016-04-01,d25757ed,66.1020972733274,-133.221850632564
735,0,180,735,27,423,1923,1,116,528,56,2016-05-01,d25757ed,66.1020972733274,-133.221850632564
651,572,140,1223,39,156,2402,87,212,856,108,2016-06-01,d25757ed,66.1020972733274,-133.221850632564
791,304,280,1095,78,108,1871,117,219,1157,91,2016-07-01,d25757ed,66.1020972733274,-133.221850632564
559,230,310,789,56,84,1333,85,192,1042,69,2016-08-01,d25757ed,66.1020972733274,-133.221850632564
382,0,370,382,49,170,788,10,106,687,35,2016-09-01,d25757ed,66.1020972733274,-133.221850632564
0,0,240,0,12,170,423,-104,-12,360,10,2016-10-01,d25757ed,66.1020972733274,-133.221850632564
0,0,140,0,19,170,88,-220,-127,154,1,2016-11-01,d25757ed,66.1020972733274,-133.221850632564
0,0,70,0,21,170,16,-295,-204,86,1,2016-12-01,d25757ed,66.1020972733274,-133.221850632564
0,0,170,0,38,170,50,-304,-206,65,0,2017-01-01,d25757ed,66.1020972733274,-133.221850632564
0,0,260,0,31,170,234,-277,-175,70,2,2017-02-01,d25757ed,66.1020972733274,-133.221850632564
0,0,190,0,7,170,993,-313,-178,97,3,2017-03-01,d25757ed,66.1020972733274,-133.221850632564
0,0,140,0,9,170,1854,-124,4,266,12,2017-04-01,d25757ed,66.1020972733274,-133.221850632564
698,0,190,698,41,423,2147,-8,99,509,52,2017-05-01,d25757ed,66.1020972733274,-133.221850632564
506,801,110,1307,23,156,2711,83,214,866,112,2017-06-01,d25757ed,66.1020972733274,-133.221850632564
261,1036,-180,1297,22,108,2340,113,233,1127,120,2017-07-01,d25757ed,66.1020972733274,-133.221850632564
444,376,-180,820,44,84,1548,79,191,1009,87,2017-08-01,d25757ed,66.1020972733274,-133.221850632564
377,0,160,377,64,312,623,22,112,697,34,2017-09-01,d25757ed,66.1020972733274,-133.221850632564
0,0,220,0,34,312,287,-67,0,387,9,2017-10-01,d25757ed,66.1020972733274,-133.221850632564
0,0,260,0,22,312,81,-246,-158,121,1,2017-11-01,d25757ed,66.1020972733274,-133.221850632564
0,0,310,0,33,312,16,-220,-135,116,0,2017-12-01,d25757ed,66.1020972733274,-133.221850632564
0,0,290,0,22,312,50,-286,-197,65,-1,2018-01-01,d25757ed,66.1020972733274,-133.221850632564
0,0,340,0,26,312,246,-304,-207,60,2,2018-02-01,d25757ed,66.1020972733274,-133.221850632564
0,0,280,0,9,312,945,-242,-124,117,4,2018-03-01,d25757ed,66.1020972733274,-133.221850632564
0,0,240,0,12,312,1877,-152,-26,263,10,2018-04-01,d25757ed,66.1020972733274,-133.221850632564
584,0,240,584,27,423,1804,-18,91,509,35,2018-05-01,d25757ed,66.1020972733274,-133.221850632564
624,467,230,1091,32,156,2137,79,198,866,91,2018-06-01,d25757ed,66.1020972733274,-133.221850632564
464,781,180,1245,44,108,2089,107,237,1087,101,2018-07-01,d25757ed,66.1020972733274,-133.221850632564
614,0,440,614,96,405,852,71,166,1042,42,2018-08-01,d25757ed,66.1020972733274,-133.221850632564
354,4,530,358,37,399,892,-3,105,638,28,2018-09-01,d25757ed,66.1020972733274,-133.221850632564
0,0,510,0,19,399,356,-71,24,383,7,2018-10-01,d25757ed,66.1020972733274,-133.221850632564
0,0,570,0,32,399,92,-194,-113,154,1,2018-11-01,d25757ed,66.1020972733274,-133.221850632564
0,0,510,0,18,399,15,-253,-158,109,1,2018-12-01,d25757ed,66.1020972733274,-133.221850632564
0,0,460,0,22,399,51,-269,-180,103,1,2019-01-01,d25757ed,66.1020972733274,-133.221850632564
0,0,370,0,8,399,320,-187,-82,162,7,2019-02-01,d25757ed,66.1020972733274,-133.221850632564
0,0,300,0,7,399,843,-125,-2,296,12,2019-03-01,d25757ed,66.1020972733274,-133.221850632564
0,0,270,0,15,399,1705,-122,-1,294,13,2019-04-01,d25757ed,66.1020972733274,-133.221850632564
890,0,130,890,24,423,2182,23,136,583,56,2019-05-01,d25757ed,66.1020972733274,-133.221850632564
556,767,-260,1323,30,156,2345,74,202,707,100,2019-06-01,d25757ed,66.1020972733274,-133.221850632564
350,844,-310,1194,32,108,2180,107,230,1070,99,2019-07-01,d25757ed,66.1020972733274,-133.221850632564
747,0,230,747,95,266,1206,35,154,761,51,2019-08-01,d25757ed,66.1020972733274,-133.221850632564
297,77,250,374,24,199,796,27,124,737,36,2019-09-01,d25757ed,66.1020972733274,-133.221850632564
11,0,270,11,40,242,285,-48,31,474,12,2019-10-01,d25757ed,66.1020972733274,-133.221850632564
