aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,730,0,51,428,466,-277,-148,158,0,2015-01-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,715,0,54,428,1016,-321,-178,78,2,2015-02-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,680,0,48,428,1494,-191,-31,252,6,2015-03-01,d2f3539a,50.9333703250119,-85.9688116126715
1,0,665,25,58,428,1892,-78,54,434,19,2015-04-01,d2f3539a,50.9333703250119,-85.9688116126715
846,0,727,846,116,428,2214,7,142,755,38,2015-05-01,d2f3539a,50.9333703250119,-85.9688116126715
936,125,636,1061,76,213,2506,58,200,1117,52,2015-06-01,d2f3539a,50.9333703250119,-85.9688116126715
897,288,570,1185,86,130,2456,105,238,1521,59,2015-07-01,d2f3539a,50.9333703250119,-85.9688116126715
763,0,550,763,98,300,1638,96,212,1506,35,2015-08-01,d2f3539a,50.9333703250119,-85.9688116126715
539,0,456,539,69,419,1485,73,189,1350,26,2015-09-01,d2f3539a,50.9333703250119,-85.9688116126715
203,0,411,212,61,428,768,-15,87,703,14,2015-10-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,428,2,80,428,317,-55,23,603,0,2015-11-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,415,0,52,428,260,-122,-48,444,0,2015-12-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,390,0,48,428,403,-230,-122,236,1,2016-01-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,350,0,39,428,891,-233,-100,207,4,2016-02-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,280,0,27,428,1637,-152,-2,344,11,2016-03-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,270,0,44,428,2055,-92,38,419,19,2016-04-01,d2f3539a,50.9333703250119,-85.9688116126715
812,0,240,812,71,428,2276,9,151,767,49,2016-05-01,d2f3539a,50.9333703250119,-85.9688116126715
938,38,230,976,92,363,2313,62,198,1138,61,2016-06-01,d2f3539a,50.9333703250119,-85.9688116126715
979,107,240,1086,88,221,2363,106,232,1539,75,2016-07-01,d2f3539a,50.9333703250119,-85.9688116126715
833,0,230,833,89,230,1759,102,226,1597,55,2016-08-01,d2f3539a,50.9333703250119,-85.9688116126715
509,0,220,509,85,428,1254,73,175,1274,31,2016-09-01,d2f3539a,50.9333703250119,-85.9688116126715
253,0,220,253,63,428,611,5,96,798,15,2016-10-01,d2f3539a,50.9333703250119,-85.9688116126715
9,0,200,9,63,428,384,-43,40,639,6,2016-11-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,210,0,52,428,303,-193,-101,280,0,2016-12-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,190,0,44,428,350,-208,-109,247,0,2017-01-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,170,0,37,428,794,-203,-77,253,3,2017-02-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,140,0,33,428,1558,-183,-28,271,10,2017-03-01,d2f3539a,50.9333703250119,-85.9688116126715
109,0,160,109,60,428,1870,-62,69,495,26,2017-04-01,d2f3539a,50.9333703250119,-85.9688116126715
707,0,170,707,69,428,2159,5,123,737,41,2017-05-01,d2f3539a,50.9333703250119,-85.9688116126715
1003,12,180,1015,101,406,2472,70,201,1138,63,2017-06-01,d2f3539a,50.9333703250119,-85.9688116126715
954,246,160,1200,74,157,2671,93,230,1393,96,2017-07-01,d2f3539a,50.9333703250119,-85.9688116126715
786,43,130,829,81,138,1974,75,196,1327,54,2017-08-01,d2f3539a,50.9333703250119,-85.9688116126715
456,0,180,456,106,428,1195,65,173,1275,31,2017-09-01,d2f3539a,50.9333703250119,-85.9688116126715
254,0,170,254,58,428,786,6,101,828,26,2017-10-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,190,0,73,428,406,-113,-29,412,4,2017-11-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,170,0,44,428,392,-235,-129,232,0,2017-12-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,160,0,47,428,456,-254,-132,196,1,2018-01-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,150,0,39,428,887,-270,-119,160,3,2018-02-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,90,0,26,428,1569,-193,-28,236,10,2018-03-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,80,0,38,428,2306,-123,21,319,21,2018-04-01,d2f3539a,50.9333703250119,-85.9688116126715
847,0,120,847,91,428,2248,16,173,808,50,2018-05-01,d2f3539a,50.9333703250119,-85.9688116126715
962,115,80,1077,81,230,2563,73,211,1159,72,2018-06-01,d2f3539a,50.9333703250119,-85.9688116126715
1013,128,110,1141,97,139,2316,115,245,1569,71,2018-07-01,d2f3539a,50.9333703250119,-85.9688116126715
783,161,60,944,78,100,2068,92,226,1513,57,2018-08-01,d2f3539a,50.9333703250119,-85.9688116126715
484,0,70,484,96,428,1254,53,164,1182,27,2018-09-01,d2f3539a,50.9333703250119,-85.9688116126715
104,0,140,104,67,428,543,-23,48,646,7,2018-10-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,130,0,63,428,357,-126,-51,394,0,2018-11-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,110,0,42,428,330,-179,-74,310,0,2018-12-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,60,0,33,428,480,-284,-158,118,0,2019-01-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,160,0,67,428,878,-261,-120,132,3,2019-02-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,160,0,42,428,1459,-173,-22,237,10,2019-03-01,d2f3539a,50.9333703250119,-85.9688116126715
20,0,220,20,67,428,2020,-80,49,367,24,2019-04-01,d2f3539a,50.9333703250119,-85.9688116126715
784,0,170,784,56,428,2190,-6,127,598,43,2019-05-01,d2f3539a,50.9333703250119,-85.9688116126715
1015,15,160,1030,101,402,2441,64,200,1065,59,2019-06-01,d2f3539a,50.9333703250119,-85.9688116126715
874,435,60,1309,66,157,2586,120,251,1508,80,2019-07-01,d2f3539a,50.9333703250119,-85.9688116126715
889,91,-120,980,89,117,1966,92,221,1399,52,2019-08-01,d2f3539a,50.9333703250119,-85.9688116126715
498,0,-90,498,106,428,1229,57,164,1143,25,2019-09-01,d2f3539a,50.9333703250119,-85.9688116126715
281,0,-60,281,67,428,733,-2,89,717,16,2019-10-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,-80,0,51,428,403,-114,-36,359,1,2019-11-01,d2f3539a,50.9333703250119,-85.9688116126715
0,0,-80,0,42,428,317,-194,-87,229,0,2019-12-01,d2f3539a,50.9333703250119,-85.9688116126715
