aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,372,0,25,537,448,-238,-117,182,0,2015-01-01,d310fa21,51.312725187706,-93.8758530146089
0,0,381,0,32,537,1002,-290,-160,73,4,2015-02-01,d310fa21,51.312725187706,-93.8758530146089
0,0,313,0,23,537,1522,-138,0,274,14,2015-03-01,d310fa21,51.312725187706,-93.8758530146089
262,0,220,421,20,537,2046,-56,86,419,35,2015-04-01,d310fa21,51.312725187706,-93.8758530146089
967,0,293,967,100,537,2279,10,152,723,47,2015-05-01,d310fa21,51.312725187706,-93.8758530146089
1044,158,264,1202,81,265,2516,80,221,1219,66,2015-06-01,d310fa21,51.312725187706,-93.8758530146089
1153,83,301,1236,116,212,2327,123,248,1622,67,2015-07-01,d310fa21,51.312725187706,-93.8758530146089
877,0,321,877,99,276,1727,108,222,1538,46,2015-08-01,d310fa21,51.312725187706,-93.8758530146089
554,32,258,587,56,254,1463,78,188,1314,31,2015-09-01,d310fa21,51.312725187706,-93.8758530146089
275,0,257,279,71,537,814,4,90,712,18,2015-10-01,d310fa21,51.312725187706,-93.8758530146089
0,0,362,0,77,537,314,-54,13,523,2,2015-11-01,d310fa21,51.312725187706,-93.8758530146089
0,0,374,0,42,537,302,-135,-57,331,0,2015-12-01,d310fa21,51.312725187706,-93.8758530146089
0,0,340,0,22,537,421,-211,-108,211,0,2016-01-01,d310fa21,51.312725187706,-93.8758530146089
0,0,310,0,22,537,845,-205,-82,185,6,2016-02-01,d310fa21,51.312725187706,-93.8758530146089
0,0,300,0,39,537,1538,-119,20,334,16,2016-03-01,d310fa21,51.312725187706,-93.8758530146089
75,0,360,75,62,537,2002,-67,63,427,26,2016-04-01,d310fa21,51.312725187706,-93.8758530146089
992,0,370,992,72,537,2173,32,176,779,65,2016-05-01,d310fa21,51.312725187706,-93.8758530146089
1072,57,360,1129,102,438,2364,87,218,1241,67,2016-06-01,d310fa21,51.312725187706,-93.8758530146089
1013,178,340,1191,83,214,2342,124,243,1618,74,2016-07-01,d310fa21,51.312725187706,-93.8758530146089
946,0,350,946,107,280,1850,111,229,1567,56,2016-08-01,d310fa21,51.312725187706,-93.8758530146089
524,0,360,524,86,537,1115,78,170,1237,25,2016-09-01,d310fa21,51.312725187706,-93.8758530146089
246,0,320,246,40,537,638,5,80,753,13,2016-10-01,d310fa21,51.312725187706,-93.8758530146089
59,0,280,59,30,537,403,-32,49,576,6,2016-11-01,d310fa21,51.312725187706,-93.8758530146089
0,0,330,0,51,537,308,-202,-111,200,0,2016-12-01,d310fa21,51.312725187706,-93.8758530146089
0,0,290,0,27,537,410,-203,-97,240,0,2017-01-01,d310fa21,51.312725187706,-93.8758530146089
0,0,270,0,23,537,903,-179,-66,223,6,2017-02-01,d310fa21,51.312725187706,-93.8758530146089
0,0,210,0,23,537,1533,-157,-17,266,10,2017-03-01,d310fa21,51.312725187706,-93.8758530146089
305,0,180,305,38,537,1989,-56,82,467,33,2017-04-01,d310fa21,51.312725187706,-93.8758530146089
920,5,110,925,28,529,2238,19,147,695,60,2017-05-01,d310fa21,51.312725187706,-93.8758530146089
936,117,60,1053,78,333,2085,83,216,1158,70,2017-06-01,d310fa21,51.312725187706,-93.8758530146089
707,593,-200,1300,58,179,2534,117,249,1530,91,2017-07-01,d310fa21,51.312725187706,-93.8758530146089
658,356,-240,1014,64,128,2106,98,218,1361,69,2017-08-01,d310fa21,51.312725187706,-93.8758530146089
565,0,-150,565,112,537,1256,70,173,1197,33,2017-09-01,d310fa21,51.312725187706,-93.8758530146089
325,0,-170,325,38,537,774,1,87,701,21,2017-10-01,d310fa21,51.312725187706,-93.8758530146089
0,0,-130,0,38,537,388,-128,-39,327,4,2017-11-01,d310fa21,51.312725187706,-93.8758530146089
0,0,-120,0,27,537,325,-228,-125,180,0,2017-12-01,d310fa21,51.312725187706,-93.8758530146089
0,0,-130,0,22,537,414,-247,-122,171,1,2018-01-01,d310fa21,51.312725187706,-93.8758530146089
0,0,-130,0,17,537,971,-271,-120,102,3,2018-02-01,d310fa21,51.312725187706,-93.8758530146089
0,0,-180,0,13,537,1559,-154,-10,226,14,2018-03-01,d310fa21,51.312725187706,-93.8758530146089
0,0,-220,0,6,537,2371,-110,42,322,28,2018-04-01,d310fa21,51.312725187706,-93.8758530146089
1032,0,-200,1032,55,537,2354,33,195,844,71,2018-05-01,d310fa21,51.312725187706,-93.8758530146089
1016,113,-200,1129,86,342,2282,104,230,1354,84,2018-06-01,d310fa21,51.312725187706,-93.8758530146089
707,564,-270,1271,58,181,2345,124,252,1610,88,2018-07-01,d310fa21,51.312725187706,-93.8758530146089
674,383,-300,1057,66,129,2245,105,229,1520,86,2018-08-01,d310fa21,51.312725187706,-93.8758530146089
423,0,-170,423,117,537,1295,43,141,1129,30,2018-09-01,d310fa21,51.312725187706,-93.8758530146089
70,0,240,70,79,537,612,-24,37,583,8,2018-10-01,d310fa21,51.312725187706,-93.8758530146089
0,0,180,0,17,537,415,-134,-61,311,2,2018-11-01,d310fa21,51.312725187706,-93.8758530146089
0,0,150,0,21,537,340,-175,-80,243,0,2018-12-01,d310fa21,51.312725187706,-93.8758530146089
0,0,140,0,33,537,499,-265,-147,130,0,2019-01-01,d310fa21,51.312725187706,-93.8758530146089
0,0,160,0,28,537,894,-253,-125,123,3,2019-02-01,d310fa21,51.312725187706,-93.8758530146089
0,0,110,0,20,537,1396,-152,-16,250,12,2019-03-01,d310fa21,51.312725187706,-93.8758530146089
308,0,80,308,39,537,2090,-53,77,389,35,2019-04-01,d310fa21,51.312725187706,-93.8758530146089
1019,0,-30,1019,43,537,2520,10,145,597,56,2019-05-01,d310fa21,51.312725187706,-93.8758530146089
851,485,-190,1336,54,198,2755,102,228,1086,93,2019-06-01,d310fa21,51.312725187706,-93.8758530146089
1178,252,-170,1430,118,137,2498,134,257,1540,89,2019-07-01,d310fa21,51.312725187706,-93.8758530146089
705,435,-220,1140,71,106,2036,110,226,1381,65,2019-08-01,d310fa21,51.312725187706,-93.8758530146089
507,0,-190,507,77,331,1197,62,162,1167,23,2019-09-01,d310fa21,51.312725187706,-93.8758530146089
201,0,140,201,101,537,646,-18,62,642,10,2019-10-01,d310fa21,51.312725187706,-93.8758530146089
0,0,120,0,26,537,431,-123,-48,325,1,2019-11-01,d310fa21,51.312725187706,-93.8758530146089
0,0,100,0,24,537,341,-200,-101,202,0,2019-12-01,d310fa21,51.312725187706,-93.8758530146089
