aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-589,0,20,315,244,-260,-163,126,0,2015-01-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-565,0,15,315,724,-298,-194,69,2,2015-02-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-510,0,20,315,1429,-192,-61,188,7,2015-03-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-380,0,34,315,2207,-102,27,280,23,2015-04-01,d45b23ef,57.7355982806612,-104.670937236277
1031,0,-460,1049,16,367,2887,-27,120,385,57,2015-05-01,d45b23ef,57.7355982806612,-104.670937236277
906,425,-413,1331,68,135,2669,71,203,858,84,2015-06-01,d45b23ef,57.7355982806612,-104.670937236277
772,452,-413,1224,77,93,2408,99,215,1174,72,2015-07-01,d45b23ef,57.7355982806612,-104.670937236277
437,526,-485,963,44,72,1872,95,205,1137,67,2015-08-01,d45b23ef,57.7355982806612,-104.670937236277
430,0,-487,430,52,138,1102,31,125,839,27,2015-09-01,d45b23ef,57.7355982806612,-104.670937236277
67,0,-501,114,45,367,577,-20,48,547,15,2015-10-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-474,0,43,367,258,-117,-48,317,2,2015-11-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-476,0,14,367,133,-179,-119,233,0,2015-12-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-490,0,17,312,232,-231,-142,146,2,2016-01-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-460,0,19,312,690,-237,-132,153,5,2016-02-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-400,0,23,312,1330,-166,-60,225,9,2016-03-01,d45b23ef,57.7355982806612,-104.670937236277
0,0,-340,0,22,312,2079,-113,14,266,19,2016-04-01,d45b23ef,57.7355982806612,-104.670937236277
927,0,-370,927,29,367,2460,10,135,586,59,2016-05-01,d45b23ef,57.7355982806612,-104.670937236277
734,466,-380,1200,53,135,2431,80,199,917,75,2016-06-01,d45b23ef,57.7355982806612,-104.670937236277
