aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,167,0,31,1075,168,-206,-119,193,0,2015-01-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,263,0,44,1075,422,-205,-104,169,3,2015-02-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,236,0,22,1075,1107,-140,-3,250,16,2015-03-01,d4af2c63,59.6052356148383,-123.450771926286
323,0,160,441,22,1284,1818,-45,83,373,39,2015-04-01,d4af2c63,59.6052356148383,-123.450771926286
962,190,-176,1152,24,958,2682,16,176,567,79,2015-05-01,d4af2c63,59.6052356148383,-123.450771926286
914,349,-284,1263,55,571,2645,71,217,972,84,2015-06-01,d4af2c63,59.6052356148383,-123.450771926286
1032,86,-275,1119,104,523,2202,97,216,1207,69,2015-07-01,d4af2c63,59.6052356148383,-123.450771926286
800,0,-197,800,96,631,1683,81,195,1107,57,2015-08-01,d4af2c63,59.6052356148383,-123.450771926286
238,199,-291,437,12,505,1142,14,136,739,38,2015-09-01,d4af2c63,59.6052356148383,-123.450771926286
112,0,-361,135,22,599,510,-20,66,532,22,2015-10-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,-422,0,24,599,233,-136,-45,232,10,2015-11-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,-472,0,22,599,94,-210,-140,167,0,2015-12-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,-540,0,14,561,158,-197,-127,184,4,2016-01-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,-540,0,34,561,450,-164,-71,211,10,2016-02-01,d4af2c63,59.6052356148383,-123.450771926286
0,0,-530,0,27,561,1006,-126,-16,257,18,2016-03-01,d4af2c63,59.6052356148383,-123.450771926286
339,0,-540,339,15,1177,1687,-40,76,409,37,2016-04-01,d4af2c63,59.6052356148383,-123.450771926286
948,0,-450,948,70,1236,2228,20,165,640,74,2016-05-01,d4af2c63,59.6052356148383,-123.450771926286
1167,8,-300,1175,122,1223,2577,74,214,1028,89,2016-06-01,d4af2c63,59.6052356148383,-123.450771926286
1009,98,-270,1107,90,1068,2254,101,228,1303,78,2016-07-01,d4af2c63,59.6052356148383,-123.450771926286
899,0,-130,899,111,1221,1755,89,211,1151,78,2016-08-01,d4af2c63,59.6052356148383,-123.450771926286
512,0,340,512,91,1284,1080,21,148,786,45,2016-09-01,d4af2c63,59.6052356148383,-123.450771926286
23,0,390,23,30,1284,469,-38,31,435,16,2016-10-01,d4af2c63,59.6052356148383,-123.450771926286
