aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,189,0,28,284,215,-221,-127,171,0,2015-01-01,d607a57d,58.4937986932843,-116.487143710658
0,0,297,0,41,284,510,-234,-121,145,2,2015-02-01,d607a57d,58.4937986932843,-116.487143710658
0,0,262,0,19,284,1205,-147,5,249,17,2015-03-01,d607a57d,58.4937986932843,-116.487143710658
743,0,178,784,17,530,2152,-38,105,345,52,2015-04-01,d607a57d,58.4937986932843,-116.487143710658
559,804,-260,1362,16,195,2864,24,188,501,95,2015-05-01,d607a57d,58.4937986932843,-116.487143710658
409,1109,-313,1518,37,135,2815,85,239,952,110,2015-06-01,d607a57d,58.4937986932843,-116.487143710658
691,598,-277,1290,70,105,2358,103,240,1257,87,2015-07-01,d607a57d,58.4937986932843,-116.487143710658
675,337,-188,1012,69,86,1870,88,222,1187,72,2015-08-01,d607a57d,58.4937986932843,-116.487143710658
95,482,-284,577,9,73,1330,27,154,801,45,2015-09-01,d607a57d,58.4937986932843,-116.487143710658
188,51,-322,250,19,65,624,-10,80,573,25,2015-10-01,d607a57d,58.4937986932843,-116.487143710658
0,0,-333,0,24,65,278,-127,-38,322,3,2015-11-01,d607a57d,58.4937986932843,-116.487143710658
0,0,-326,0,25,65,120,-199,-130,228,0,2015-12-01,d607a57d,58.4937986932843,-116.487143710658
0,0,-330,0,20,64,192,-210,-127,182,1,2016-01-01,d607a57d,58.4937986932843,-116.487143710658
0,0,-270,0,21,64,490,-187,-78,207,6,2016-02-01,d607a57d,58.4937986932843,-116.487143710658
0,0,-240,0,21,64,1095,-117,-9,287,17,2016-03-01,d607a57d,58.4937986932843,-116.487143710658
560,0,-250,560,17,530,1895,-35,87,370,43,2016-04-01,d607a57d,58.4937986932843,-116.487143710658
823,361,-290,1184,38,195,2352,40,188,619,84,2016-05-01,d607a57d,58.4937986932843,-116.487143710658
616,776,-260,1392,59,135,2639,92,234,1004,97,2016-06-01,d607a57d,58.4937986932843,-116.487143710658
645,626,-240,1271,65,105,2411,114,243,1322,91,2016-07-01,d607a57d,58.4937986932843,-116.487143710658
550,459,-200,1009,56,86,1855,95,222,1189,77,2016-08-01,d607a57d,58.4937986932843,-116.487143710658
400,245,-170,645,41,73,1231,38,156,796,45,2016-09-01,d607a57d,58.4937986932843,-116.487143710658
