aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,51,0,25,213,160,-302,-214,114,0,2015-01-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-11,0,10,213,520,-333,-219,63,1,2015-02-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-29,0,15,213,1283,-247,-101,164,2,2015-03-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-6,0,18,213,2131,-141,-3,240,16,2015-04-01,d6475bf4,60.956786749383,-107.493880074994
937,0,-175,969,6,734,2837,-30,105,377,51,2015-05-01,d6475bf4,60.956786749383,-107.493880074994
870,373,-283,1243,40,295,2626,57,187,812,73,2015-06-01,d6475bf4,60.956786749383,-107.493880074994
765,250,-193,1016,71,204,2045,87,192,1115,57,2015-07-01,d6475bf4,60.956786749383,-107.493880074994
597,213,-166,810,58,158,1637,83,179,1055,52,2015-08-01,d6475bf4,60.956786749383,-107.493880074994
407,0,-146,412,49,218,1060,17,104,705,27,2015-09-01,d6475bf4,60.956786749383,-107.493880074994
0,0,143,0,60,218,437,-48,4,455,7,2015-10-01,d6475bf4,60.956786749383,-107.493880074994
0,0,163,0,23,218,188,-163,-95,276,0,2015-11-01,d6475bf4,60.956786749383,-107.493880074994
0,0,218,0,22,218,72,-223,-156,226,0,2015-12-01,d6475bf4,60.956786749383,-107.493880074994
0,0,200,0,17,172,131,-272,-186,137,0,2016-01-01,d6475bf4,60.956786749383,-107.493880074994
0,0,210,0,17,172,512,-284,-166,139,2,2016-02-01,d6475bf4,60.956786749383,-107.493880074994
0,0,160,0,15,172,1234,-219,-87,207,3,2016-03-01,d6475bf4,60.956786749383,-107.493880074994
0,0,90,0,10,172,2050,-151,-16,320,9,2016-04-01,d6475bf4,60.956786749383,-107.493880074994
712,0,140,712,41,804,2257,1,116,653,39,2016-05-01,d6475bf4,60.956786749383,-107.493880074994
842,211,190,1053,49,442,2490,67,188,1038,70,2016-06-01,d6475bf4,60.956786749383,-107.493880074994
650,362,170,1012,49,255,2249,104,206,1394,69,2016-07-01,d6475bf4,60.956786749383,-107.493880074994
714,0,410,714,116,639,1590,85,183,1271,44,2016-08-01,d6475bf4,60.956786749383,-107.493880074994
344,0,500,344,57,804,910,32,106,877,22,2016-09-01,d6475bf4,60.956786749383,-107.493880074994
0,0,590,0,37,804,485,-56,-23,548,10,2016-10-01,d6475bf4,60.956786749383,-107.493880074994
0,0,650,0,28,804,169,-133,-72,335,0,2016-11-01,d6475bf4,60.956786749383,-107.493880074994
0,0,630,0,17,804,86,-273,-205,140,0,2016-12-01,d6475bf4,60.956786749383,-107.493880074994
0,0,630,0,27,804,143,-282,-189,113,0,2017-01-01,d6475bf4,60.956786749383,-107.493880074994
0,0,660,0,28,804,386,-273,-179,137,0,2017-02-01,d6475bf4,60.956786749383,-107.493880074994
0,0,580,0,19,804,1207,-253,-131,194,0,2017-03-01,d6475bf4,60.956786749383,-107.493880074994
0,0,450,0,6,804,2206,-148,-25,316,14,2017-04-01,d6475bf4,60.956786749383,-107.493880074994
692,0,390,692,24,804,2334,-14,106,598,40,2017-05-01,d6475bf4,60.956786749383,-107.493880074994
724,291,280,1015,21,304,2631,56,173,982,70,2017-06-01,d6475bf4,60.956786749383,-107.493880074994
528,588,200,1116,46,208,2458,97,214,1329,70,2017-07-01,d6475bf4,60.956786749383,-107.493880074994
563,335,150,898,54,161,1835,93,206,1246,64,2017-08-01,d6475bf4,60.956786749383,-107.493880074994
264,158,-270,422,25,132,1066,41,126,921,29,2017-09-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-220,0,48,132,442,-48,-1,560,9,2017-10-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-240,0,18,132,187,-224,-160,226,1,2017-11-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-250,0,16,132,83,-259,-169,160,0,2017-12-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-240,0,18,132,169,-298,-223,117,-2,2018-01-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-220,0,10,132,474,-322,-210,102,0,2018-02-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-240,0,13,132,1193,-254,-122,167,2,2018-03-01,d6475bf4,60.956786749383,-107.493880074994
0,0,-220,0,18,132,1925,-171,-43,303,9,2018-04-01,d6475bf4,60.956786749383,-107.493880074994
656,0,-120,656,42,804,2462,-22,98,590,38,2018-05-01,d6475bf4,60.956786749383,-107.493880074994
759,183,160,942,42,490,2194,67,182,1058,62,2018-06-01,d6475bf4,60.956786749383,-107.493880074994
893,102,270,995,85,404,2179,94,202,1325,67,2018-07-01,d6475bf4,60.956786749383,-107.493880074994
600,51,330,651,60,371,1668,67,166,1215,46,2018-08-01,d6475bf4,60.956786749383,-107.493880074994
117,0,390,117,34,524,1158,-23,51,749,18,2018-09-01,d6475bf4,60.956786749383,-107.493880074994
0,0,390,0,30,524,578,-74,-21,492,8,2018-10-01,d6475bf4,60.956786749383,-107.493880074994
0,0,400,0,23,524,181,-204,-143,249,-2,2018-11-01,d6475bf4,60.956786749383,-107.493880074994
0,0,440,0,23,524,80,-238,-160,166,-2,2018-12-01,d6475bf4,60.956786749383,-107.493880074994
0,0,430,0,22,524,159,-329,-238,83,0,2019-01-01,d6475bf4,60.956786749383,-107.493880074994
0,0,340,0,5,524,545,-352,-244,56,0,2019-02-01,d6475bf4,60.956786749383,-107.493880074994
0,0,280,0,14,524,1090,-188,-58,227,4,2019-03-01,d6475bf4,60.956786749383,-107.493880074994
0,0,310,0,30,524,1967,-127,-7,277,13,2019-04-01,d6475bf4,60.956786749383,-107.493880074994
640,0,200,640,8,804,2745,-36,74,339,41,2019-05-01,d6475bf4,60.956786749383,-107.493880074994
860,7,230,867,50,793,2132,54,166,920,48,2019-06-01,d6475bf4,60.956786749383,-107.493880074994
858,279,150,1137,41,324,2391,87,193,1087,60,2019-07-01,d6475bf4,60.956786749383,-107.493880074994
668,0,270,668,80,412,1377,72,165,1099,35,2019-08-01,d6475bf4,60.956786749383,-107.493880074994
360,56,210,416,34,374,1057,37,108,805,24,2019-09-01,d6475bf4,60.956786749383,-107.493880074994
0,0,250,0,48,374,510,-51,1,444,7,2019-10-01,d6475bf4,60.956786749383,-107.493880074994
0,0,280,0,28,374,181,-174,-108,225,0,2019-11-01,d6475bf4,60.956786749383,-107.493880074994
0,0,310,0,20,374,89,-271,-188,116,0,2019-12-01,d6475bf4,60.956786749383,-107.493880074994
