aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,822,0,71,381,583,-265,-116,169,0,2015-01-01,d6b8797d,48.1688268177424,-77.1829528692496
0,0,776,0,68,381,1113,-297,-157,107,1,2015-02-01,d6b8797d,48.1688268177424,-77.1829528692496
0,0,769,0,83,381,1681,-187,-40,247,5,2015-03-01,d6b8797d,48.1688268177424,-77.1829528692496
12,0,788,76,95,381,1922,-62,60,477,18,2015-04-01,d6b8797d,48.1688268177424,-77.1829528692496
1010,0,724,1010,110,381,2119,35,180,884,55,2015-05-01,d6b8797d,48.1688268177424,-77.1829528692496
955,106,620,1062,81,198,2420,69,205,1209,50,2015-06-01,d6b8797d,48.1688268177424,-77.1829528692496
743,344,486,1087,70,118,2192,104,228,1474,55,2015-07-01,d6b8797d,48.1688268177424,-77.1829528692496
833,0,476,833,154,381,1700,109,209,1439,45,2015-08-01,d6b8797d,48.1688268177424,-77.1829528692496
692,0,353,692,82,381,1672,86,202,1311,44,2015-09-01,d6b8797d,48.1688268177424,-77.1829528692496
264,0,293,271,74,381,883,-3,85,695,16,2015-10-01,d6b8797d,48.1688268177424,-77.1829528692496
3,0,155,13,51,381,449,-41,45,636,1,2015-11-01,d6b8797d,48.1688268177424,-77.1829528692496
0,0,200,0,96,381,309,-87,-20,551,0,2015-12-01,d6b8797d,48.1688268177424,-77.1829528692496
0,0,200,0,65,381,474,-199,-82,258,1,2016-01-01,d6b8797d,48.1688268177424,-77.1829528692496
0,0,190,0,56,381,894,-209,-70,254,3,2016-02-01,d6b8797d,48.1688268177424,-77.1829528692496
0,0,170,0,58,381,1561,-135,3,371,11,2016-03-01,d6b8797d,48.1688268177424,-77.1829528692496
17,0,180,17,62,381,2159,-82,43,377,19,2016-04-01,d6b8797d,48.1688268177424,-77.1829528692496
888,0,140,888,87,381,2318,19,160,789,50,2016-05-01,d6b8797d,48.1688268177424,-77.1829528692496
1088,36,120,1124,108,318,2334,82,208,1078,64,2016-06-01,d6b8797d,48.1688268177424,-77.1829528692496
1075,8,130,1083,112,308,2166,115,231,1494,57,2016-07-01,d6b8797d,48.1688268177424,-77.1829528692496
922,0,110,922,113,381,1862,113,228,1567,49,2016-08-01,d6b8797d,48.1688268177424,-77.1829528692496
709,0,100,709,111,381,1549,80,191,1173,37,2016-09-01,d6b8797d,48.1688268177424,-77.1829528692496
342,0,80,342,84,381,823,18,103,795,19,2016-10-01,d6b8797d,48.1688268177424,-77.1829528692496
17,0,60,17,89,381,367,-37,36,607,7,2016-11-01,d6b8797d,48.1688268177424,-77.1829528692496
