aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-301,0,83,296,449,-321,-187,73,2,2015-01-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-340,0,19,296,940,-336,-192,58,3,2015-02-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-411,0,10,296,1534,-241,-91,135,6,2015-03-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-439,0,22,296,1952,-124,3,315,12,2015-04-01,d6b9df3a,52.819551867354,-65.3923475155409
581,0,-430,629,50,296,1922,-28,88,532,28,2015-05-01,d6b9df3a,52.819551867354,-65.3923475155409
895,128,-476,1023,56,109,2219,35,169,817,54,2015-06-01,d6b9df3a,52.819551867354,-65.3923475155409
935,0,-406,935,112,233,1818,77,186,1104,50,2015-07-01,d6b9df3a,52.819551867354,-65.3923475155409
810,0,-396,810,88,261,1626,81,196,1224,46,2015-08-01,d6b9df3a,52.819551867354,-65.3923475155409
481,0,-338,481,104,296,1247,26,135,883,26,2015-09-01,d6b9df3a,52.819551867354,-65.3923475155409
3,0,-348,28,54,296,779,-44,37,489,13,2015-10-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-363,0,54,296,359,-121,-27,332,4,2015-11-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-431,0,27,296,300,-206,-92,256,0,2015-12-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-440,0,31,296,396,-247,-126,148,1,2016-01-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-400,0,39,296,827,-271,-119,155,1,2016-02-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-410,0,25,296,1597,-227,-79,164,6,2016-03-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-370,0,43,296,2028,-134,-7,298,10,2016-04-01,d6b9df3a,52.819551867354,-65.3923475155409
680,0,-410,680,42,296,2185,-24,106,582,32,2016-05-01,d6b9df3a,52.819551867354,-65.3923475155409
831,3,-380,834,81,290,1835,36,158,854,39,2016-06-01,d6b9df3a,52.819551867354,-65.3923475155409
960,14,-360,974,99,267,2082,78,194,1140,47,2016-07-01,d6b9df3a,52.819551867354,-65.3923475155409
806,0,-280,806,121,296,1482,75,192,1117,38,2016-08-01,d6b9df3a,52.819551867354,-65.3923475155409
492,0,-280,492,73,296,1121,21,125,823,21,2016-09-01,d6b9df3a,52.819551867354,-65.3923475155409
53,0,-170,53,97,296,657,-37,42,539,10,2016-10-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-220,0,49,296,382,-111,-17,389,1,2016-11-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-280,0,34,296,321,-254,-131,129,2,2016-12-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-260,0,49,296,414,-249,-128,158,0,2017-01-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-270,0,27,296,879,-267,-129,148,0,2017-02-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-290,0,26,296,1557,-225,-74,174,7,2017-03-01,d6b9df3a,52.819551867354,-65.3923475155409
0,0,-300,0,31,296,1989,-114,10,321,14,2017-04-01,d6b9df3a,52.819551867354,-65.3923475155409
605,0,-300,605,57,296,2043,-34,94,542,31,2017-05-01,d6b9df3a,52.819551867354,-65.3923475155409
828,0,-170,828,107,296,2027,35,153,854,39,2017-06-01,d6b9df3a,52.819551867354,-65.3923475155409
1029,16,-140,1045,106,269,2020,74,198,1070,51,2017-07-01,d6b9df3a,52.819551867354,-65.3923475155409
798,0,-70,798,115,296,1449,68,183,1064,35,2017-08-01,d6b9df3a,52.819551867354,-65.3923475155409
523,0,-100,523,72,296,1273,30,135,862,23,2017-09-01,d6b9df3a,52.819551867354,-65.3923475155409
296,0,-130,296,84,296,664,-13,75,617,15,2017-10-01,d6b9df3a,52.819551867354,-65.3923475155409
