aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,555,0,37,655,510,-247,-115,204,0,2015-01-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,521,0,39,655,1012,-296,-143,100,3,2015-02-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,428,0,32,655,1446,-148,-5,297,10,2015-03-01,d78764cd,49.0319409567373,-88.9784981566666
60,0,363,192,38,655,2000,-63,75,426,28,2015-04-01,d78764cd,49.0319409567373,-88.9784981566666
913,0,487,913,132,655,2110,10,151,762,43,2015-05-01,d78764cd,49.0319409567373,-88.9784981566666
944,145,464,1089,73,406,2423,65,205,1146,55,2015-06-01,d78764cd,49.0319409567373,-88.9784981566666
1058,235,454,1293,92,218,2579,108,241,1522,64,2015-07-01,d78764cd,49.0319409567373,-88.9784981566666
772,55,408,828,79,196,1751,95,213,1499,37,2015-08-01,d78764cd,49.0319409567373,-88.9784981566666
626,8,325,634,66,193,1539,75,202,1371,34,2015-09-01,d78764cd,49.0319409567373,-88.9784981566666
319,0,282,324,82,655,813,-5,99,711,20,2015-10-01,d78764cd,49.0319409567373,-88.9784981566666
2,0,387,10,104,655,404,-43,44,631,1,2015-11-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,454,0,83,655,277,-106,-29,454,0,2015-12-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,410,0,38,655,441,-209,-97,263,0,2016-01-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,390,0,39,655,886,-205,-76,242,3,2016-02-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,410,0,67,655,1483,-112,20,406,11,2016-03-01,d78764cd,49.0319409567373,-88.9784981566666
30,0,420,30,59,655,1941,-71,51,453,22,2016-04-01,d78764cd,49.0319409567373,-88.9784981566666
957,0,390,957,74,655,2345,18,162,751,49,2016-05-01,d78764cd,49.0319409567373,-88.9784981566666
956,72,390,1028,88,531,2289,73,202,1176,54,2016-06-01,d78764cd,49.0319409567373,-88.9784981566666
1088,105,410,1193,101,400,2507,110,236,1553,74,2016-07-01,d78764cd,49.0319409567373,-88.9784981566666
908,0,430,908,110,539,1930,103,228,1627,56,2016-08-01,d78764cd,49.0319409567373,-88.9784981566666
567,0,440,567,94,655,1317,78,183,1317,39,2016-09-01,d78764cd,49.0319409567373,-88.9784981566666
321,0,430,321,70,655,711,16,105,825,23,2016-10-01,d78764cd,49.0319409567373,-88.9784981566666
90,0,360,90,41,655,468,-27,64,676,9,2016-11-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,380,0,65,655,336,-169,-75,297,0,2016-12-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,350,0,44,655,462,-189,-83,323,0,2017-01-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,370,0,48,655,856,-177,-54,292,3,2017-02-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,320,0,40,655,1526,-145,-11,306,9,2017-03-01,d78764cd,49.0319409567373,-88.9784981566666
358,0,290,358,62,655,1741,-46,82,521,25,2017-04-01,d78764cd,49.0319409567373,-88.9784981566666
814,0,290,814,74,655,2076,11,134,714,42,2017-05-01,d78764cd,49.0319409567373,-88.9784981566666
973,91,310,1064,86,499,2342,77,206,1139,60,2017-06-01,d78764cd,49.0319409567373,-88.9784981566666
993,208,300,1201,79,261,2514,98,234,1453,74,2017-07-01,d78764cd,49.0319409567373,-88.9784981566666
850,0,350,850,115,504,1912,76,199,1341,50,2017-08-01,d78764cd,49.0319409567373,-88.9784981566666
527,0,330,527,74,655,1258,68,185,1312,32,2017-09-01,d78764cd,49.0319409567373,-88.9784981566666
357,0,390,357,103,655,825,14,108,808,27,2017-10-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,370,0,50,655,403,-95,-9,421,6,2017-11-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,350,0,52,655,386,-208,-103,251,0,2017-12-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,320,0,43,655,468,-232,-105,233,1,2018-01-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,320,0,40,655,966,-251,-100,173,3,2018-02-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,250,0,34,655,1598,-154,-11,254,12,2018-03-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,250,0,44,655,2252,-107,32,309,28,2018-04-01,d78764cd,49.0319409567373,-88.9784981566666
983,0,230,983,73,655,2430,26,187,870,63,2018-05-01,d78764cd,49.0319409567373,-88.9784981566666
1039,52,260,1091,100,566,2501,86,213,1281,73,2018-06-01,d78764cd,49.0319409567373,-88.9784981566666
1082,171,260,1253,89,331,2396,117,250,1568,90,2018-07-01,d78764cd,49.0319409567373,-88.9784981566666
957,0,270,957,103,356,2066,96,227,1575,63,2018-08-01,d78764cd,49.0319409567373,-88.9784981566666
540,0,280,540,93,655,1379,60,172,1235,36,2018-09-01,d78764cd,49.0319409567373,-88.9784981566666
200,0,390,200,109,655,540,-13,57,647,14,2018-10-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,350,0,39,655,369,-107,-33,381,4,2018-11-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,310,0,47,655,382,-153,-47,329,1,2018-12-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,300,0,47,655,483,-263,-132,156,0,2019-01-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,440,0,83,655,800,-241,-101,166,2,2019-02-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,370,0,37,655,1473,-146,-9,259,13,2019-03-01,d78764cd,49.0319409567373,-88.9784981566666
182,0,350,182,55,655,1705,-58,71,404,30,2019-04-01,d78764cd,49.0319409567373,-88.9784981566666
867,0,330,867,67,655,2242,-6,135,609,46,2019-05-01,d78764cd,49.0319409567373,-88.9784981566666
1000,158,280,1158,75,383,2647,70,203,1031,67,2019-06-01,d78764cd,49.0319409567373,-88.9784981566666
1253,72,310,1325,126,326,2600,115,250,1524,75,2019-07-01,d78764cd,49.0319409567373,-88.9784981566666
745,271,220,1016,65,198,1989,90,223,1411,52,2019-08-01,d78764cd,49.0319409567373,-88.9784981566666
509,0,280,509,119,655,1141,61,178,1254,24,2019-09-01,d78764cd,49.0319409567373,-88.9784981566666
353,0,350,353,99,655,724,-5,89,674,19,2019-10-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,320,0,46,655,444,-103,-18,356,5,2019-11-01,d78764cd,49.0319409567373,-88.9784981566666
0,0,350,0,67,655,349,-167,-58,278,0,2019-12-01,d78764cd,49.0319409567373,-88.9784981566666
