aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,450,0,42,1068,579,-193,-68,289,0,2015-01-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,360,0,31,1068,1139,-234,-110,203,0,2015-02-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,254,0,33,1068,1707,-123,2,389,4,2015-03-01,d8cf8646,46.3123883421567,-82.0570693078091
500,0,240,529,63,1068,2053,-20,86,628,20,2015-04-01,d8cf8646,46.3123883421567,-82.0570693078091
958,0,249,958,83,1068,2095,60,186,1118,43,2015-05-01,d8cf8646,46.3123883421567,-82.0570693078091
901,135,251,1036,70,836,2378,92,212,1428,42,2015-06-01,d8cf8646,46.3123883421567,-82.0570693078091
975,343,230,1318,60,428,2590,123,251,1677,64,2015-07-01,d8cf8646,46.3123883421567,-82.0570693078091
822,214,152,1036,75,323,1897,127,231,1556,60,2015-08-01,d8cf8646,46.3123883421567,-82.0570693078091
554,201,-194,755,51,252,1618,106,213,1453,46,2015-09-01,d8cf8646,46.3123883421567,-82.0570693078091
294,0,-194,294,103,941,935,27,117,934,13,2015-10-01,d8cf8646,46.3123883421567,-82.0570693078091
66,0,-196,69,93,1068,568,-8,77,801,1,2015-11-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,171,2,147,1068,348,-44,26,679,0,2015-12-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,140,0,51,1068,500,-136,-40,334,4,2016-01-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,200,0,74,1068,908,-140,-30,336,6,2016-02-01,d8cf8646,46.3123883421567,-82.0570693078091
9,0,290,9,109,1068,1416,-74,37,512,15,2016-03-01,d8cf8646,46.3123883421567,-82.0570693078091
400,0,320,400,76,1068,2089,-36,70,480,31,2016-04-01,d8cf8646,46.3123883421567,-82.0570693078091
1040,0,220,1040,48,1068,2453,48,177,867,62,2016-05-01,d8cf8646,46.3123883421567,-82.0570693078091
1003,318,90,1321,48,521,2649,99,223,1160,81,2016-06-01,d8cf8646,46.3123883421567,-82.0570693078091
909,414,-200,1323,75,320,2455,137,253,1641,75,2016-07-01,d8cf8646,46.3123883421567,-82.0570693078091
880,206,-230,1086,85,248,2008,140,250,1773,65,2016-08-01,d8cf8646,46.3123883421567,-82.0570693078091
759,0,-230,759,105,482,1567,105,206,1428,45,2016-09-01,d8cf8646,46.3123883421567,-82.0570693078091
385,0,-220,385,102,1061,893,41,130,983,26,2016-10-01,d8cf8646,46.3123883421567,-82.0570693078091
165,0,-250,165,75,1068,580,-5,82,759,13,2016-11-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,-170,0,97,1068,410,-108,-32,397,6,2016-12-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,-100,0,73,1068,514,-112,-26,424,4,2017-01-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,200,0,91,1068,833,-110,-2,425,9,2017-02-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,200,0,66,1068,1515,-102,4,393,14,2017-03-01,d8cf8646,46.3123883421567,-82.0570693078091
525,0,250,525,96,1068,1645,3,110,713,33,2017-04-01,d8cf8646,46.3123883421567,-82.0570693078091
803,55,240,858,71,974,1981,47,151,873,46,2017-05-01,d8cf8646,46.3123883421567,-82.0570693078091
1233,29,310,1262,125,931,2331,110,220,1087,61,2017-06-01,d8cf8646,46.3123883421567,-82.0570693078091
1042,196,370,1238,81,658,2397,126,241,1573,68,2017-07-01,d8cf8646,46.3123883421567,-82.0570693078091
931,0,450,931,127,929,1894,109,213,1479,47,2017-08-01,d8cf8646,46.3123883421567,-82.0570693078091
678,56,380,734,63,852,1686,93,210,1407,40,2017-09-01,d8cf8646,46.3123883421567,-82.0570693078091
398,0,570,398,197,1068,954,48,139,1036,31,2017-10-01,d8cf8646,46.3123883421567,-82.0570693078091
7,0,600,7,115,1068,461,-48,24,556,10,2017-11-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,540,0,76,1068,454,-149,-57,337,1,2017-12-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,490,0,57,1068,518,-159,-51,320,4,2018-01-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,460,0,54,1068,942,-151,-33,367,7,2018-02-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,360,0,41,1068,1648,-113,-2,332,13,2018-03-01,d8cf8646,46.3123883421567,-82.0570693078091
48,0,490,48,94,1068,1925,-60,48,409,26,2018-04-01,d8cf8646,46.3123883421567,-82.0570693078091
1012,0,460,1012,83,1068,2350,65,202,1061,65,2018-05-01,d8cf8646,46.3123883421567,-82.0570693078091
897,320,330,1217,37,518,2700,104,224,1369,83,2018-06-01,d8cf8646,46.3123883421567,-82.0570693078091
666,702,210,1368,49,319,2498,140,260,1628,82,2018-07-01,d8cf8646,46.3123883421567,-82.0570693078091
765,283,110,1048,72,237,2136,131,243,1775,68,2018-08-01,d8cf8646,46.3123883421567,-82.0570693078091
643,0,70,643,90,447,1555,98,200,1515,39,2018-09-01,d8cf8646,46.3123883421567,-82.0570693078091
252,0,250,252,192,1068,727,16,91,859,26,2018-10-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,280,0,98,1068,492,-60,-6,500,7,2018-11-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,260,0,81,1068,441,-101,-11,456,4,2018-12-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,290,0,77,1068,546,-205,-92,190,2,2019-01-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,420,0,107,1068,749,-169,-51,240,5,2019-02-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,350,0,51,1068,1418,-117,-2,305,12,2019-03-01,d8cf8646,46.3123883421567,-82.0570693078091
456,0,410,456,99,1068,1741,-30,78,500,28,2019-04-01,d8cf8646,46.3123883421567,-82.0570693078091
828,0,540,828,139,1068,1848,26,149,757,46,2019-05-01,d8cf8646,46.3123883421567,-82.0570693078091
1107,31,570,1138,111,1015,2455,92,213,1190,67,2019-06-01,d8cf8646,46.3123883421567,-82.0570693078091
1090,266,570,1356,70,593,2568,140,258,1677,79,2019-07-01,d8cf8646,46.3123883421567,-82.0570693078091
763,459,400,1222,54,340,2375,118,234,1462,68,2019-08-01,d8cf8646,46.3123883421567,-82.0570693078091
615,0,410,615,122,881,1350,85,189,1342,31,2019-09-01,d8cf8646,46.3123883421567,-82.0570693078091
408,0,560,408,187,1068,842,24,116,821,23,2019-10-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,560,0,98,1068,541,-72,0,420,7,2019-11-01,d8cf8646,46.3123883421567,-82.0570693078091
0,0,500,0,75,1068,366,-106,-11,381,4,2019-12-01,d8cf8646,46.3123883421567,-82.0570693078091
