aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,190,0,28,273,140,-233,-148,180,0,2015-01-01,d91ad688,61.1554536754725,-119.277912941853
0,0,294,0,38,273,414,-248,-142,140,0,2015-02-01,d91ad688,61.1554536754725,-119.277912941853
0,0,258,0,17,273,1117,-177,-37,226,8,2015-03-01,d91ad688,61.1554536754725,-119.277912941853
43,0,217,157,16,533,1926,-62,70,355,34,2015-04-01,d91ad688,61.1554536754725,-119.277912941853
1262,2,76,1264,12,529,2839,19,181,539,85,2015-05-01,d91ad688,61.1554536754725,-119.277912941853
621,801,-205,1421,30,196,2742,86,236,995,103,2015-06-01,d91ad688,61.1554536754725,-119.277912941853
588,569,-166,1157,56,136,2120,110,233,1263,83,2015-07-01,d91ad688,61.1554536754725,-119.277912941853
602,303,-92,905,60,105,1682,90,215,1196,67,2015-08-01,d91ad688,61.1554536754725,-119.277912941853
95,361,-199,456,8,86,990,25,142,807,37,2015-09-01,d91ad688,61.1554536754725,-119.277912941853
17,0,-232,44,16,161,415,-27,42,561,11,2015-10-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-255,0,25,161,181,-149,-66,304,0,2015-11-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-257,0,25,161,80,-215,-146,221,0,2015-12-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-270,0,18,118,140,-215,-146,159,0,2016-01-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-210,0,22,118,445,-204,-108,178,4,2016-02-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-180,0,19,118,1050,-156,-38,248,11,2016-03-01,d91ad688,61.1554536754725,-119.277912941853
41,0,-160,41,15,206,1731,-65,53,370,24,2016-04-01,d91ad688,61.1554536754725,-119.277912941853
1035,0,-150,1035,31,533,2341,35,177,684,73,2016-05-01,d91ad688,61.1554536754725,-119.277912941853
810,522,-140,1332,50,196,2706,92,235,1085,93,2016-06-01,d91ad688,61.1554536754725,-119.277912941853
559,654,-130,1213,53,136,2236,115,248,1364,78,2016-07-01,d91ad688,61.1554536754725,-119.277912941853
534,409,-90,943,53,105,1747,93,224,1227,62,2016-08-01,d91ad688,61.1554536754725,-119.277912941853
423,105,30,528,43,86,1003,30,151,839,35,2016-09-01,d91ad688,61.1554536754725,-119.277912941853
5,0,70,5,24,101,454,-44,14,506,11,2016-10-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-20,0,23,101,218,-128,-47,339,0,2016-11-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-10,0,22,101,82,-249,-175,132,0,2016-12-01,d91ad688,61.1554536754725,-119.277912941853
0,0,50,0,22,101,148,-236,-137,130,0,2017-01-01,d91ad688,61.1554536754725,-119.277912941853
0,0,60,0,19,101,393,-224,-125,169,3,2017-02-01,d91ad688,61.1554536754725,-119.277912941853
0,0,80,0,22,101,1111,-211,-90,208,5,2017-03-01,d91ad688,61.1554536754725,-119.277912941853
22,0,70,22,15,154,2056,-75,48,330,28,2017-04-01,d91ad688,61.1554536754725,-119.277912941853
1065,0,-20,1065,29,533,2436,31,174,631,79,2017-05-01,d91ad688,61.1554536754725,-119.277912941853
889,278,50,1167,58,196,2413,84,215,1004,73,2017-06-01,d91ad688,61.1554536754725,-119.277912941853
677,544,80,1221,65,136,2342,108,242,1294,75,2017-07-01,d91ad688,61.1554536754725,-119.277912941853
313,845,-100,1158,30,105,2041,92,247,1195,91,2017-08-01,d91ad688,61.1554536754725,-119.277912941853
241,340,-170,581,23,86,1199,38,175,912,51,2017-09-01,d91ad688,61.1554536754725,-119.277912941853
45,0,-120,45,30,168,467,-33,40,536,13,2017-10-01,d91ad688,61.1554536754725,-119.277912941853
0,0,100,0,42,168,164,-202,-121,196,2,2017-11-01,d91ad688,61.1554536754725,-119.277912941853
0,0,140,0,19,168,94,-227,-129,180,0,2017-12-01,d91ad688,61.1554536754725,-119.277912941853
0,0,170,0,26,168,131,-241,-175,129,0,2018-01-01,d91ad688,61.1554536754725,-119.277912941853
0,0,170,0,19,168,459,-277,-145,126,4,2018-02-01,d91ad688,61.1554536754725,-119.277912941853
0,0,180,0,23,168,1228,-204,-66,181,9,2018-03-01,d91ad688,61.1554536754725,-119.277912941853
0,0,170,0,15,168,1950,-99,30,328,24,2018-04-01,d91ad688,61.1554536754725,-119.277912941853
1038,0,110,1038,22,533,2426,22,170,608,80,2018-05-01,d91ad688,61.1554536754725,-119.277912941853
801,265,130,1066,49,196,1999,90,223,1165,67,2018-06-01,d91ad688,61.1554536754725,-119.277912941853
433,872,-80,1305,39,136,2342,108,247,1274,85,2018-07-01,d91ad688,61.1554536754725,-119.277912941853
450,449,0,899,44,105,1578,78,211,1117,63,2018-08-01,d91ad688,61.1554536754725,-119.277912941853
249,203,-100,452,24,86,1329,-20,109,652,35,2018-09-01,d91ad688,61.1554536754725,-119.277912941853
10,0,-110,10,17,96,588,-53,33,459,15,2018-10-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-80,0,36,96,169,-156,-92,251,0,2018-11-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-80,0,19,96,91,-212,-133,170,1,2018-12-01,d91ad688,61.1554536754725,-119.277912941853
0,0,40,0,26,96,147,-242,-155,125,1,2019-01-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-50,0,8,96,487,-264,-152,110,2,2019-02-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-130,0,2,96,1164,-105,33,307,22,2019-03-01,d91ad688,61.1554536754725,-119.277912941853
464,0,-190,464,16,533,1814,-42,86,350,44,2019-04-01,d91ad688,61.1554536754725,-119.277912941853
705,429,-350,1134,19,196,2542,15,150,480,72,2019-05-01,d91ad688,61.1554536754725,-119.277912941853
704,270,-200,974,68,136,2077,59,198,1007,62,2019-06-01,d91ad688,61.1554536754725,-119.277912941853
633,528,-140,1161,63,105,2286,100,233,1276,78,2019-07-01,d91ad688,61.1554536754725,-119.277912941853
437,325,-90,762,44,86,1498,60,191,1103,48,2019-08-01,d91ad688,61.1554536754725,-119.277912941853
268,212,-110,480,27,73,1021,42,157,922,39,2019-09-01,d91ad688,61.1554536754725,-119.277912941853
66,0,-70,66,32,184,524,-34,48,522,15,2019-10-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-100,0,18,184,195,-144,-62,256,4,2019-11-01,d91ad688,61.1554536754725,-119.277912941853
0,0,-130,0,16,184,91,-272,-187,111,0,2019-12-01,d91ad688,61.1554536754725,-119.277912941853
