aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-393,0,14,201,319,-287,-182,115,0,2015-01-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-381,0,9,201,786,-335,-238,33,3,2015-02-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-344,0,19,201,1493,-225,-94,190,1,2015-03-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-224,0,46,201,2073,-121,-2,323,10,2015-04-01,d92d9258,56.972600552167,-95.8910624545347
670,0,-285,769,19,335,2681,-40,91,428,38,2015-05-01,d92d9258,56.972600552167,-95.8910624545347
1020,80,-249,1100,73,197,2491,55,176,912,55,2015-06-01,d92d9258,56.972600552167,-95.8910624545347
700,399,-257,1099,64,110,2235,92,208,1265,55,2015-07-01,d92d9258,56.972600552167,-95.8910624545347
355,333,-296,688,34,79,1486,85,179,1257,33,2015-08-01,d92d9258,56.972600552167,-95.8910624545347
359,2,-291,361,38,78,998,46,125,981,17,2015-09-01,d92d9258,56.972600552167,-95.8910624545347
8,0,-302,32,40,236,557,-32,39,581,7,2015-10-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-278,0,36,236,287,-119,-58,334,0,2015-11-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-294,0,12,236,174,-183,-126,261,0,2015-12-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-280,0,18,201,259,-244,-165,112,0,2016-01-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-250,0,15,201,798,-278,-167,92,2,2016-02-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-230,0,19,201,1480,-200,-80,179,4,2016-03-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-210,0,23,201,2411,-146,-6,251,13,2016-04-01,d92d9258,56.972600552167,-95.8910624545347
812,0,-230,812,43,335,2396,-7,113,562,38,2016-05-01,d92d9258,56.972600552167,-95.8910624545347
763,376,-250,1139,56,123,2553,54,178,862,70,2016-06-01,d92d9258,56.972600552167,-95.8910624545347
789,289,-210,1078,79,85,2159,93,208,1237,55,2016-07-01,d92d9258,56.972600552167,-95.8910624545347
654,225,-200,879,67,66,1862,75,186,1140,47,2016-08-01,d92d9258,56.972600552167,-95.8910624545347
480,17,-200,497,50,62,965,37,131,862,27,2016-09-01,d92d9258,56.972600552167,-95.8910624545347
5,0,-210,5,41,89,412,-39,6,523,6,2016-10-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-190,0,34,89,295,-88,-27,322,0,2016-11-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-160,0,23,89,207,-261,-190,114,0,2016-12-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-150,0,18,89,257,-243,-162,119,0,2017-01-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-130,0,15,89,719,-246,-164,105,0,2017-02-01,d92d9258,56.972600552167,-95.8910624545347
0,0,180,0,56,89,1460,-240,-116,149,2,2017-03-01,d92d9258,56.972600552167,-95.8910624545347
0,0,160,0,23,89,2263,-129,-6,283,12,2017-04-01,d92d9258,56.972600552167,-95.8910624545347
657,0,140,657,44,335,2258,-17,82,510,33,2017-05-01,d92d9258,56.972600552167,-95.8910624545347
861,171,130,1032,57,123,2378,50,167,838,62,2017-06-01,d92d9258,56.972600552167,-95.8910624545347
771,536,70,1307,77,85,2503,82,225,1127,76,2017-07-01,d92d9258,56.972600552167,-95.8910624545347
656,357,-40,1013,67,66,2069,68,201,1071,64,2017-08-01,d92d9258,56.972600552167,-95.8910624545347
494,97,-120,591,51,54,1114,38,135,803,29,2017-09-01,d92d9258,56.972600552167,-95.8910624545347
21,0,-150,21,41,113,441,-35,26,527,4,2017-10-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-150,0,34,113,347,-200,-123,187,3,2017-11-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-130,0,23,113,213,-274,-188,114,0,2017-12-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-120,0,19,113,333,-283,-202,79,0,2018-01-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-100,0,15,113,786,-326,-215,62,1,2018-02-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-100,0,19,113,1521,-232,-106,149,4,2018-03-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-90,0,23,113,2228,-174,-35,248,13,2018-04-01,d92d9258,56.972600552167,-95.8910624545347
916,0,-150,916,43,335,2592,-15,121,507,44,2018-05-01,d92d9258,56.972600552167,-95.8910624545347
765,371,-190,1136,56,123,2363,67,189,928,66,2018-06-01,d92d9258,56.972600552167,-95.8910624545347
781,415,-190,1196,78,85,2402,92,209,1192,74,2018-07-01,d92d9258,56.972600552167,-95.8910624545347
659,162,-170,821,67,66,1706,69,180,1121,40,2018-08-01,d92d9258,56.972600552167,-95.8910624545347
329,0,-120,329,50,212,1106,-4,78,708,19,2018-09-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-100,0,40,212,653,-76,-4,427,7,2018-10-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-70,0,34,212,289,-200,-124,197,-2,2018-11-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-60,0,23,212,200,-226,-149,144,-2,2018-12-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-60,0,17,212,340,-314,-214,76,0,2019-01-01,d92d9258,56.972600552167,-95.8910624545347
0,0,-90,0,8,212,800,-304,-194,79,1,2019-02-01,d92d9258,56.972600552167,-95.8910624545347
