aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-321,0,71,220,460,-317,-177,77,2,2015-01-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-359,0,16,220,964,-336,-185,61,3,2015-02-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-423,0,9,220,1546,-241,-87,136,7,2015-03-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-438,0,21,220,1978,-122,3,314,12,2015-04-01,d94ebd22,52.1945724057836,-65.8408048197546
632,0,-441,672,49,220,1937,-29,93,528,31,2015-05-01,d94ebd22,52.1945724057836,-65.8408048197546
802,221,-488,1023,57,81,2169,30,171,806,55,2015-06-01,d94ebd22,52.1945724057836,-65.8408048197546
921,0,-411,921,109,194,1803,71,185,1098,48,2015-07-01,d94ebd22,52.1945724057836,-65.8408048197546
800,0,-399,800,93,220,1612,75,195,1218,44,2015-08-01,d94ebd22,52.1945724057836,-65.8408048197546
497,0,-336,497,99,220,1299,23,138,883,27,2015-09-01,d94ebd22,52.1945724057836,-65.8408048197546
3,0,-336,25,58,220,807,-46,36,481,13,2015-10-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-338,0,53,220,368,-120,-25,331,5,2015-11-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-415,0,24,220,310,-204,-84,260,0,2015-12-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-420,0,34,220,421,-245,-118,149,2,2016-01-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-380,0,33,220,832,-271,-113,155,1,2016-02-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-380,0,25,220,1600,-226,-76,160,6,2016-03-01,d94ebd22,52.1945724057836,-65.8408048197546
0,0,-340,0,36,220,2084,-130,-6,290,10,2016-04-01,d94ebd22,52.1945724057836,-65.8408048197546
693,0,-380,693,44,220,2212,-24,107,587,32,2016-05-01,d94ebd22,52.1945724057836,-65.8408048197546
833,20,-350,853,78,186,1833,33,162,854,41,2016-06-01,d94ebd22,52.1945724057836,-65.8408048197546
