aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,734,0,51,260,430,-298,-175,98,1,2015-01-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,692,0,37,260,974,-339,-203,66,1,2015-02-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,679,0,57,260,1493,-234,-81,163,5,2015-03-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,682,0,56,260,1937,-94,28,413,11,2015-04-01,da1d72c9,52.7203253664277,-76.5624211820551
985,0,627,985,71,260,2186,14,131,592,51,2015-05-01,da1d72c9,52.7203253664277,-76.5624211820551
710,427,512,1137,57,96,2352,65,186,940,62,2015-06-01,da1d72c9,52.7203253664277,-76.5624211820551
532,522,398,1054,53,66,1917,115,215,1382,58,2015-07-01,da1d72c9,52.7203253664277,-76.5624211820551
797,0,454,797,138,260,1471,123,203,1460,46,2015-08-01,da1d72c9,52.7203253664277,-76.5624211820551
434,0,401,434,76,260,1393,60,154,1185,16,2015-09-01,da1d72c9,52.7203253664277,-76.5624211820551
125,0,346,159,72,260,674,-14,56,621,11,2015-10-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,221,0,40,260,272,-59,8,527,0,2015-11-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,238,0,63,260,292,-125,-69,412,0,2015-12-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,260,0,57,260,354,-231,-123,193,4,2016-01-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,270,0,38,260,842,-266,-134,148,3,2016-02-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,180,0,18,260,1616,-199,-59,215,9,2016-03-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,90,0,12,260,2274,-118,-1,284,12,2016-04-01,da1d72c9,52.7203253664277,-76.5624211820551
802,0,120,802,69,260,2311,13,124,669,51,2016-05-01,da1d72c9,52.7203253664277,-76.5624211820551
1029,0,220,1029,120,260,2044,73,190,980,64,2016-06-01,da1d72c9,52.7203253664277,-76.5624211820551
1061,73,270,1134,99,135,2174,112,219,1342,64,2016-07-01,da1d72c9,52.7203253664277,-76.5624211820551
896,0,370,896,144,260,1679,111,210,1375,60,2016-08-01,da1d72c9,52.7203253664277,-76.5624211820551
483,0,400,483,113,260,1164,62,145,1085,27,2016-09-01,da1d72c9,52.7203253664277,-76.5624211820551
209,0,480,209,131,260,633,1,67,711,13,2016-10-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,570,0,122,260,296,-54,7,512,8,2016-11-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,510,0,50,260,307,-192,-102,238,3,2016-12-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,510,0,56,260,373,-217,-112,213,4,2017-01-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,480,0,36,260,814,-250,-122,184,3,2017-02-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,370,0,17,260,1584,-202,-60,194,8,2017-03-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,350,0,38,260,1916,-82,33,384,18,2017-04-01,da1d72c9,52.7203253664277,-76.5624211820551
766,0,360,766,70,260,2191,16,117,683,50,2017-05-01,da1d72c9,52.7203253664277,-76.5624211820551
1041,19,400,1060,106,226,2206,75,189,987,64,2017-06-01,da1d72c9,52.7203253664277,-76.5624211820551
945,352,370,1297,86,95,2452,101,212,1132,79,2017-07-01,da1d72c9,52.7203253664277,-76.5624211820551
900,0,350,900,108,222,1639,94,194,1175,53,2017-08-01,da1d72c9,52.7203253664277,-76.5624211820551
508,0,300,508,92,260,1261,67,146,1069,31,2017-09-01,da1d72c9,52.7203253664277,-76.5624211820551
261,0,420,261,149,260,589,17,82,762,18,2017-10-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,430,0,91,260,307,-83,-18,366,7,2017-11-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,400,0,53,260,280,-200,-108,228,0,2017-12-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,360,0,43,260,459,-268,-156,129,3,2018-01-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,370,0,42,260,912,-267,-135,138,2,2018-02-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,260,0,11,260,1522,-177,-36,224,12,2018-03-01,da1d72c9,52.7203253664277,-76.5624211820551
0,0,180,0,20,260,2218,-118,2,274,18,2018-04-01,da1d72c9,52.7203253664277,-76.5624211820551
814,0,210,814,71,260,2317,-4,109,563,40,2018-05-01,da1d72c9,52.7203253664277,-76.5624211820551
509,765,70,1274,33,96,3010,58,177,787,90,2018-06-01,da1d72c9,52.7203253664277,-76.5624211820551
1100,117,100,1217,113,66,2353,116,227,1382,95,2018-07-01,da1d72c9,52.7203253664277,-76.5624211820551
