aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-150,0,18,150,357,-210,-114,213,0,2015-01-01,dae71da8,54.091061301128,-103.808619650062
0,0,-129,0,22,150,815,-266,-148,110,2,2015-02-01,dae71da8,54.091061301128,-103.808619650062
0,0,-118,0,17,150,1444,-116,-2,307,12,2015-03-01,dae71da8,54.091061301128,-103.808619650062
307,0,-104,452,31,807,2113,-47,80,412,34,2015-04-01,dae71da8,54.091061301128,-103.808619650062
918,240,-178,1158,16,400,2770,-2,151,530,63,2015-05-01,dae71da8,54.091061301128,-103.808619650062
710,599,-222,1309,58,245,2689,77,220,1083,77,2015-06-01,dae71da8,54.091061301128,-103.808619650062
878,505,-218,1383,86,181,2654,121,242,1429,80,2015-07-01,dae71da8,54.091061301128,-103.808619650062
934,90,-143,1024,96,159,1970,102,228,1339,68,2015-08-01,dae71da8,54.091061301128,-103.808619650062
540,0,-94,540,67,252,1241,52,165,1029,36,2015-09-01,dae71da8,54.091061301128,-103.808619650062
299,0,106,304,40,334,765,3,101,677,26,2015-10-01,dae71da8,54.091061301128,-103.808619650062
0,0,120,0,30,334,367,-72,-1,411,7,2015-11-01,dae71da8,54.091061301128,-103.808619650062
0,0,101,0,16,334,260,-144,-75,284,0,2015-12-01,dae71da8,54.091061301128,-103.808619650062
0,0,70,0,19,241,367,-204,-105,216,1,2016-01-01,dae71da8,54.091061301128,-103.808619650062
0,0,80,0,18,241,746,-192,-74,247,6,2016-02-01,dae71da8,54.091061301128,-103.808619650062
0,0,130,0,34,241,1391,-109,1,311,14,2016-03-01,dae71da8,54.091061301128,-103.808619650062
176,0,130,176,24,526,2127,-61,72,418,34,2016-04-01,dae71da8,54.091061301128,-103.808619650062
1069,0,110,1069,31,640,2419,34,175,754,71,2016-05-01,dae71da8,54.091061301128,-103.808619650062
967,281,70,1248,67,304,2601,85,218,1144,74,2016-06-01,dae71da8,54.091061301128,-103.808619650062
1129,0,190,1129,131,419,2143,122,240,1530,65,2016-07-01,dae71da8,54.091061301128,-103.808619650062
900,144,240,1044,85,322,1961,100,224,1305,63,2016-08-01,dae71da8,54.091061301128,-103.808619650062
550,65,220,615,55,290,1292,49,170,1014,42,2016-09-01,dae71da8,54.091061301128,-103.808619650062
176,0,390,176,81,813,510,-12,53,627,11,2016-10-01,dae71da8,54.091061301128,-103.808619650062
15,0,410,15,24,813,385,-41,33,484,11,2016-11-01,dae71da8,54.091061301128,-103.808619650062
0,0,400,0,10,813,276,-212,-129,171,1,2016-12-01,dae71da8,54.091061301128,-103.808619650062
0,0,400,0,18,813,392,-206,-110,213,0,2017-01-01,dae71da8,54.091061301128,-103.808619650062
0,0,360,0,11,813,801,-183,-86,227,5,2017-02-01,dae71da8,54.091061301128,-103.808619650062
0,0,370,0,30,813,1340,-151,-36,271,8,2017-03-01,dae71da8,54.091061301128,-103.808619650062
136,0,370,136,28,813,2101,-52,61,454,28,2017-04-01,dae71da8,54.091061301128,-103.808619650062
1005,0,410,1005,60,813,2130,24,155,641,56,2017-05-01,dae71da8,54.091061301128,-103.808619650062
919,165,410,1084,67,529,2090,79,204,1021,61,2017-06-01,dae71da8,54.091061301128,-103.808619650062
805,662,290,1467,58,276,2770,119,259,1388,85,2017-07-01,dae71da8,54.091061301128,-103.808619650062
416,786,150,1202,35,197,2213,92,241,1232,91,2017-08-01,dae71da8,54.091061301128,-103.808619650062
473,239,90,712,45,154,1435,52,178,962,54,2017-09-01,dae71da8,54.091061301128,-103.808619650062
350,0,100,350,44,224,734,-11,80,581,26,2017-10-01,dae71da8,54.091061301128,-103.808619650062
0,0,80,0,24,224,401,-142,-63,266,7,2017-11-01,dae71da8,54.091061301128,-103.808619650062
0,0,-190,0,10,224,300,-209,-112,211,0,2017-12-01,dae71da8,54.091061301128,-103.808619650062
0,0,-170,0,29,224,353,-239,-142,167,1,2018-01-01,dae71da8,54.091061301128,-103.808619650062
0,0,-200,0,6,224,909,-272,-146,101,3,2018-02-01,dae71da8,54.091061301128,-103.808619650062
0,0,-120,0,37,224,1518,-156,-35,241,11,2018-03-01,dae71da8,54.091061301128,-103.808619650062
0,0,-130,0,8,224,2291,-97,37,355,24,2018-04-01,dae71da8,54.091061301128,-103.808619650062
1146,0,-160,1146,26,411,2564,30,189,740,88,2018-05-01,dae71da8,54.091061301128,-103.808619650062
676,508,-200,1184,54,248,2291,93,222,1184,71,2018-06-01,dae71da8,54.091061301128,-103.808619650062
1096,123,-120,1219,111,204,2241,118,239,1428,59,2018-07-01,dae71da8,54.091061301128,-103.808619650062
618,421,-130,1039,60,159,1964,90,220,1263,63,2018-08-01,dae71da8,54.091061301128,-103.808619650062
389,0,-90,389,50,240,1194,15,113,895,25,2018-09-01,dae71da8,54.091061301128,-103.808619650062
90,0,50,90,25,274,825,-47,58,477,14,2018-10-01,dae71da8,54.091061301128,-103.808619650062
0,0,120,0,29,274,371,-130,-63,305,3,2018-11-01,dae71da8,54.091061301128,-103.808619650062
0,0,110,0,16,274,286,-172,-86,241,1,2018-12-01,dae71da8,54.091061301128,-103.808619650062
0,0,140,0,24,274,369,-257,-150,122,1,2019-01-01,dae71da8,54.091061301128,-103.808619650062
0,0,140,0,12,274,847,-288,-172,88,2,2019-02-01,dae71da8,54.091061301128,-103.808619650062
0,0,80,0,7,274,1532,-122,6,277,16,2019-03-01,dae71da8,54.091061301128,-103.808619650062
408,0,60,408,27,734,2129,-43,76,404,34,2019-04-01,dae71da8,54.091061301128,-103.808619650062
921,141,-10,1062,39,527,2619,10,141,544,59,2019-05-01,dae71da8,54.091061301128,-103.808619650062
1026,43,80,1069,104,488,2354,75,199,1053,63,2019-06-01,dae71da8,54.091061301128,-103.808619650062
985,184,110,1169,88,336,2362,111,230,1439,63,2019-07-01,dae71da8,54.091061301128,-103.808619650062
939,0,210,939,111,455,1899,84,208,1306,48,2019-08-01,dae71da8,54.091061301128,-103.808619650062
477,74,210,551,44,399,1157,48,162,1000,36,2019-09-01,dae71da8,54.091061301128,-103.808619650062
65,0,250,65,29,434,808,-47,50,468,19,2019-10-01,dae71da8,54.091061301128,-103.808619650062
0,0,230,0,16,434,389,-123,-43,293,5,2019-11-01,dae71da8,54.091061301128,-103.808619650062
0,0,210,0,14,434,276,-205,-108,177,2,2019-12-01,dae71da8,54.091061301128,-103.808619650062
