aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-146,0,4,355,196,-314,-252,48,1,2015-01-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-184,0,2,355,597,-343,-276,43,1,2015-02-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-155,0,10,355,1378,-289,-205,84,1,2015-03-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-123,0,18,355,1997,-154,-75,290,0,2015-04-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-103,0,18,355,2331,-60,-7,431,6,2015-05-01,db4dc45f,61.1237860375,-77.6818131193398
551,0,-92,575,19,355,2314,3,68,637,17,2015-06-01,db4dc45f,61.1237860375,-77.6818131193398
609,235,-91,844,36,131,1838,69,152,989,37,2015-07-01,db4dc45f,61.1237860375,-77.6818131193398
317,428,-184,745,29,90,1670,73,151,997,38,2015-08-01,db4dc45f,61.1237860375,-77.6818131193398
264,0,-89,269,67,355,1012,15,77,755,12,2015-09-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-63,0,26,355,444,-44,0,487,4,2015-10-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,131,0,43,355,188,-127,-61,320,0,2015-11-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,140,0,23,355,90,-201,-119,211,0,2015-12-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,130,0,11,355,177,-248,-173,94,4,2016-01-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,100,0,9,355,567,-292,-218,71,3,2016-02-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,90,0,8,355,1332,-262,-179,117,3,2016-03-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,60,0,12,355,2220,-186,-107,239,0,2016-04-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,60,0,18,355,2515,-46,6,518,9,2016-05-01,db4dc45f,61.1237860375,-77.6818131193398
687,0,-20,687,27,355,2700,19,94,733,30,2016-06-01,db4dc45f,61.1237860375,-77.6818131193398
602,333,-80,935,38,131,2306,85,163,1071,55,2016-07-01,db4dc45f,61.1237860375,-77.6818131193398
491,229,-90,720,48,90,1430,87,157,1091,50,2016-08-01,db4dc45f,61.1237860375,-77.6818131193398
279,0,-120,279,37,160,950,22,81,803,18,2016-09-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-170,0,32,160,512,-42,2,542,9,2016-10-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-200,0,29,160,157,-106,-45,355,7,2016-11-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-180,0,17,160,89,-208,-139,177,2,2016-12-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-140,0,15,160,173,-240,-168,103,3,2017-01-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,120,0,27,160,570,-292,-221,74,3,2017-02-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,120,0,11,160,1313,-249,-164,137,3,2017-03-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,150,0,24,160,2087,-163,-83,263,5,2017-04-01,db4dc45f,61.1237860375,-77.6818131193398
16,0,100,16,12,220,2722,-39,9,528,11,2017-05-01,db4dc45f,61.1237860375,-77.6818131193398
734,0,-120,734,17,355,2409,34,104,743,32,2017-06-01,db4dc45f,61.1237860375,-77.6818131193398
721,204,-110,925,52,131,2260,68,149,949,44,2017-07-01,db4dc45f,61.1237860375,-77.6818131193398
453,228,-120,681,44,90,1553,74,146,1020,43,2017-08-01,db4dc45f,61.1237860375,-77.6818131193398
304,0,-160,304,38,145,880,35,84,820,14,2017-09-01,db4dc45f,61.1237860375,-77.6818131193398
19,0,-180,19,43,246,422,-23,21,566,8,2017-10-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-150,0,34,246,174,-109,-52,313,8,2017-11-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-120,0,22,246,83,-184,-118,179,0,2017-12-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-120,0,9,246,203,-304,-240,62,2,2018-01-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-120,0,10,246,538,-326,-250,61,2,2018-02-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-110,0,9,246,1231,-211,-127,143,4,2018-03-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-110,0,12,246,2089,-189,-90,231,2,2018-04-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-100,0,17,246,2541,-98,-42,423,5,2018-05-01,db4dc45f,61.1237860375,-77.6818131193398
435,0,-70,435,17,355,2692,-6,55,647,21,2018-06-01,db4dc45f,61.1237860375,-77.6818131193398
696,210,-110,906,29,131,2399,63,157,977,49,2018-07-01,db4dc45f,61.1237860375,-77.6818131193398
532,53,50,585,54,107,1307,67,128,988,34,2018-08-01,db4dc45f,61.1237860375,-77.6818131193398
242,0,80,242,51,349,1011,8,64,728,16,2018-09-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,90,0,34,349,432,-62,-12,490,8,2018-10-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,60,0,27,349,166,-143,-78,291,7,2018-11-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,0,0,18,349,73,-181,-116,189,4,2018-12-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,20,0,15,349,184,-303,-231,50,2,2019-01-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-20,0,7,349,562,-267,-189,69,4,2019-02-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,40,0,15,349,1242,-233,-146,120,3,2019-03-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,110,0,28,349,2099,-160,-75,233,3,2019-04-01,db4dc45f,61.1237860375,-77.6818131193398
78,0,70,78,20,355,2355,-29,32,550,8,2019-05-01,db4dc45f,61.1237860375,-77.6818131193398
922,0,-110,922,34,355,2495,61,127,807,40,2019-06-01,db4dc45f,61.1237860375,-77.6818131193398
647,483,-180,1130,45,131,2089,106,190,1076,67,2019-07-01,db4dc45f,61.1237860375,-77.6818131193398
590,425,-230,1015,58,90,1439,112,180,1134,57,2019-08-01,db4dc45f,61.1237860375,-77.6818131193398
381,6,-280,387,40,89,830,47,97,859,17,2019-09-01,db4dc45f,61.1237860375,-77.6818131193398
273,0,-390,273,42,212,356,23,68,692,17,2019-10-01,db4dc45f,61.1237860375,-77.6818131193398
7,0,-460,7,41,232,161,-51,13,414,13,2019-11-01,db4dc45f,61.1237860375,-77.6818131193398
0,0,-290,0,43,232,85,-141,-70,220,7,2019-12-01,db4dc45f,61.1237860375,-77.6818131193398
