aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,747,0,33,300,393,-309,-194,80,1,2015-01-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,707,0,29,300,890,-354,-229,34,3,2015-02-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,680,0,27,300,1482,-245,-102,154,3,2015-03-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,676,0,39,300,1908,-112,5,376,7,2015-04-01,db5788e6,54.2259953249951,-83.8738156195234
639,0,641,673,48,300,2355,-22,89,580,25,2015-05-01,db5788e6,54.2259953249951,-83.8738156195234
793,223,524,1016,51,110,2721,39,163,910,43,2015-06-01,db5788e6,54.2259953249951,-83.8738156195234
506,383,392,889,50,76,1995,77,199,1326,37,2015-07-01,db5788e6,54.2259953249951,-83.8738156195234
601,0,458,601,103,300,1496,76,180,1356,21,2015-08-01,db5788e6,54.2259953249951,-83.8738156195234
400,0,419,400,51,300,1227,49,150,1121,17,2015-09-01,db5788e6,54.2259953249951,-83.8738156195234
79,0,377,127,47,300,666,-27,58,582,13,2015-10-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,268,0,23,300,255,-84,-10,483,0,2015-11-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,281,0,39,300,238,-169,-86,321,0,2015-12-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,250,0,26,300,348,-263,-156,140,3,2016-01-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,230,0,23,300,847,-292,-160,105,3,2016-02-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,170,0,12,300,1641,-215,-77,193,5,2016-03-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,90,0,11,300,2068,-136,-21,285,6,2016-04-01,db5788e6,54.2259953249951,-83.8738156195234
651,0,90,651,41,300,2339,-13,100,621,32,2016-05-01,db5788e6,54.2259953249951,-83.8738156195234
849,43,110,892,79,226,2246,48,165,941,44,2016-06-01,db5788e6,54.2259953249951,-83.8738156195234
856,75,110,931,81,141,2233,80,195,1296,41,2016-07-01,db5788e6,54.2259953249951,-83.8738156195234
712,0,100,712,75,142,1710,78,186,1310,39,2016-08-01,db5788e6,54.2259953249951,-83.8738156195234
442,0,110,442,80,300,1174,51,143,1039,25,2016-09-01,db5788e6,54.2259953249951,-83.8738156195234
156,0,200,156,76,300,509,-16,58,651,12,2016-10-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,180,0,39,300,253,-73,0,452,6,2016-11-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,140,0,25,300,265,-228,-132,184,0,2016-12-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,130,0,29,300,318,-244,-142,150,0,2017-01-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,230,0,46,300,784,-268,-139,135,3,2017-02-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,190,0,14,300,1466,-221,-81,173,4,2017-03-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,200,0,30,300,2003,-107,9,345,11,2017-04-01,db5788e6,54.2259953249951,-83.8738156195234
619,0,160,619,33,300,2441,-16,87,618,30,2017-05-01,db5788e6,54.2259953249951,-83.8738156195234
703,265,60,968,46,110,2527,56,167,931,48,2017-06-01,db5788e6,54.2259953249951,-83.8738156195234
628,474,-190,1102,63,76,2681,70,188,1119,62,2017-07-01,db5788e6,54.2259953249951,-83.8738156195234
514,236,-270,750,52,59,1857,64,170,1122,35,2017-08-01,db5788e6,54.2259953249951,-83.8738156195234
449,0,-280,449,69,268,1157,55,142,1011,31,2017-09-01,db5788e6,54.2259953249951,-83.8738156195234
207,0,-360,207,32,300,645,-9,65,661,18,2017-10-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,-380,0,35,300,375,-124,-49,312,5,2017-11-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,-280,0,43,300,279,-249,-150,171,0,2017-12-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,-220,0,33,300,394,-294,-185,100,2,2018-01-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,-220,0,18,300,876,-309,-176,85,3,2018-02-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,-220,0,13,300,1433,-222,-79,173,5,2018-03-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,-240,0,15,300,2130,-149,-28,245,11,2018-04-01,db5788e6,54.2259953249951,-83.8738156195234
686,0,-180,686,55,300,2469,-21,95,553,31,2018-05-01,db5788e6,54.2259953249951,-83.8738156195234
421,607,-310,1028,19,110,2834,44,161,833,63,2018-06-01,db5788e6,54.2259953249951,-83.8738156195234
904,51,-260,955,93,88,2290,80,199,1299,47,2018-07-01,db5788e6,54.2259953249951,-83.8738156195234
751,0,-180,751,99,278,1817,66,175,1165,40,2018-08-01,db5788e6,54.2259953249951,-83.8738156195234
402,0,-60,402,89,300,1050,31,123,910,24,2018-09-01,db5788e6,54.2259953249951,-83.8738156195234
15,0,170,15,40,300,595,-44,26,483,11,2018-10-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,160,0,40,300,299,-139,-64,312,2,2018-11-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,140,0,29,300,257,-210,-112,211,1,2018-12-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,120,0,26,300,391,-302,-191,77,2,2019-01-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,70,0,15,300,857,-284,-153,89,3,2019-02-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,130,0,32,300,1392,-208,-73,186,5,2019-03-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,60,0,13,300,2177,-110,3,314,13,2019-04-01,db5788e6,54.2259953249951,-83.8738156195234
597,0,70,597,38,300,2252,-24,86,566,25,2019-05-01,db5788e6,54.2259953249951,-83.8738156195234
710,83,-30,793,47,156,1959,44,159,931,40,2019-06-01,db5788e6,54.2259953249951,-83.8738156195234
816,0,340,816,199,300,1853,82,197,1340,36,2019-07-01,db5788e6,54.2259953249951,-83.8738156195234
746,0,420,746,98,300,1682,89,195,1375,33,2019-08-01,db5788e6,54.2259953249951,-83.8738156195234
467,0,400,467,60,300,1084,50,138,969,26,2019-09-01,db5788e6,54.2259953249951,-83.8738156195234
250,0,310,250,45,300,548,11,83,709,17,2019-10-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,250,0,31,300,338,-110,-37,341,3,2019-11-01,db5788e6,54.2259953249951,-83.8738156195234
0,0,220,0,29,300,265,-211,-111,182,1,2019-12-01,db5788e6,54.2259953249951,-83.8738156195234
