aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,682,0,41,295,404,-297,-179,115,0,2015-01-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,641,0,32,295,916,-347,-218,54,2,2015-02-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,620,0,39,295,1472,-223,-73,198,3,2015-03-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,620,0,52,295,1842,-99,25,392,12,2015-04-01,db5e59e4,52.9889781247451,-86.0300913952314
766,0,602,777,61,295,2289,-9,112,631,33,2015-05-01,db5e59e4,52.9889781247451,-86.0300913952314
841,254,511,1095,65,109,2668,57,187,1011,53,2015-06-01,db5e59e4,52.9889781247451,-86.0300913952314
627,451,389,1078,62,75,2215,103,223,1438,54,2015-07-01,db5e59e4,52.9889781247451,-86.0300913952314
741,0,414,741,105,295,1642,97,197,1421,34,2015-08-01,db5e59e4,52.9889781247451,-86.0300913952314
460,0,358,460,63,295,1341,61,165,1202,21,2015-09-01,db5e59e4,52.9889781247451,-86.0300913952314
143,0,326,170,53,295,719,-22,69,631,13,2015-10-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,232,0,34,295,254,-75,-4,504,0,2015-11-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,245,0,45,295,237,-153,-83,342,0,2015-12-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,220,0,35,295,338,-253,-150,177,1,2016-01-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,200,0,26,295,849,-277,-144,150,2,2016-02-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,120,0,17,295,1609,-193,-47,249,7,2016-03-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,80,0,26,295,2035,-119,6,338,10,2016-04-01,db5e59e4,52.9889781247451,-86.0300913952314
744,0,90,744,55,295,2268,1,125,669,45,2016-05-01,db5e59e4,52.9889781247451,-86.0300913952314
894,54,100,948,82,203,2209,64,184,1036,58,2016-06-01,db5e59e4,52.9889781247451,-86.0300913952314
785,289,60,1074,72,102,2339,105,217,1404,67,2016-07-01,db5e59e4,52.9889781247451,-86.0300913952314
820,0,70,820,87,107,1761,99,207,1421,55,2016-08-01,db5e59e4,52.9889781247451,-86.0300913952314
462,0,160,462,117,295,1164,62,153,1129,27,2016-09-01,db5e59e4,52.9889781247451,-86.0300913952314
203,0,200,203,69,295,544,-9,71,699,10,2016-10-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,150,0,42,295,318,-66,11,500,5,2016-11-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,190,0,48,295,259,-223,-133,208,0,2016-12-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,150,0,32,295,297,-235,-138,173,0,2017-01-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,210,0,42,295,743,-249,-124,182,1,2017-02-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,170,0,25,295,1445,-212,-60,208,5,2017-03-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,210,0,50,295,1930,-91,33,394,17,2017-04-01,db5e59e4,52.9889781247451,-86.0300913952314
678,0,220,678,55,295,2209,-4,105,642,38,2017-05-01,db5e59e4,52.9889781247451,-86.0300913952314
1001,19,250,1020,98,262,2466,70,187,1016,59,2017-06-01,db5e59e4,52.9889781247451,-86.0300913952314
633,571,130,1204,50,108,2665,93,215,1247,90,2017-07-01,db5e59e4,52.9889781247451,-86.0300913952314
408,448,-220,856,40,75,2009,79,186,1198,53,2017-08-01,db5e59e4,52.9889781247451,-86.0300913952314
460,0,-150,460,103,295,1168,60,152,1095,32,2017-09-01,db5e59e4,52.9889781247451,-86.0300913952314
224,5,-240,229,23,287,695,-5,76,707,19,2017-10-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,-230,0,47,287,393,-131,-49,325,5,2017-11-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,-170,0,44,287,316,-253,-154,177,0,2017-12-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,-120,0,43,287,385,-283,-170,134,0,2018-01-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,-110,0,25,287,853,-304,-164,114,0,2018-02-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,-160,0,16,287,1508,-215,-58,185,6,2018-03-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,-210,0,16,287,2269,-141,-6,265,14,2018-04-01,db5e59e4,52.9889781247451,-86.0300913952314
799,0,-130,799,70,295,2426,-2,132,653,43,2018-05-01,db5e59e4,52.9889781247451,-86.0300913952314
515,585,-240,1100,32,109,2722,66,191,999,82,2018-06-01,db5e59e4,52.9889781247451,-86.0300913952314
1065,0,-100,1065,137,295,2182,109,225,1434,61,2018-07-01,db5e59e4,52.9889781247451,-86.0300913952314
881,0,180,881,102,295,1936,86,203,1315,49,2018-08-01,db5e59e4,52.9889781247451,-86.0300913952314
436,0,380,436,125,295,1133,39,136,994,26,2018-09-01,db5e59e4,52.9889781247451,-86.0300913952314
25,0,380,25,46,295,567,-36,30,540,7,2018-10-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,330,0,47,295,327,-143,-66,320,-1,2018-11-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,260,0,26,295,284,-205,-109,233,-1,2018-12-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,200,0,28,295,406,-297,-185,95,0,2019-01-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,150,0,20,295,831,-279,-149,112,2,2019-02-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,230,0,50,295,1352,-194,-53,216,6,2019-03-01,db5e59e4,52.9889781247451,-86.0300913952314
0,0,170,0,26,295,2124,-94,24,337,18,2019-04-01,db5e59e4,52.9889781247451,-86.0300913952314
730,0,150,730,45,295,2198,-7,109,581,37,2019-05-01,db5e59e4,52.9889781247451,-86.0300913952314
947,0,190,947,101,295,2157,71,187,1030,56,2019-06-01,db5e59e4,52.9889781247451,-86.0300913952314
