aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-400,0,53,385,454,-233,-116,148,3,2015-01-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-420,0,24,385,938,-249,-132,116,4,2015-02-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-483,0,13,385,1582,-165,-51,198,10,2015-03-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-426,0,51,385,1802,-71,19,394,14,2015-04-01,db720dcd,50.4253283806319,-63.1580449065475
780,0,-445,789,64,385,2235,7,109,642,34,2015-05-01,db720dcd,50.4253283806319,-63.1580449065475
950,25,-431,975,92,343,2062,70,164,903,54,2015-06-01,db720dcd,50.4253283806319,-63.1580449065475
848,29,-380,877,85,302,1828,102,180,1245,42,2015-07-01,db720dcd,50.4253283806319,-63.1580449065475
855,0,-376,855,92,322,1909,113,201,1452,40,2015-08-01,db720dcd,50.4253283806319,-63.1580449065475
593,0,-411,593,76,385,1384,70,165,1084,36,2015-09-01,db720dcd,50.4253283806319,-63.1580449065475
320,0,-379,328,105,385,865,5,77,627,22,2015-10-01,db720dcd,50.4253283806319,-63.1580449065475
1,0,-350,10,104,385,429,-48,24,432,15,2015-11-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-443,0,33,385,395,-113,-40,308,5,2015-12-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-480,0,28,385,482,-169,-70,189,5,2016-01-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-410,0,54,385,830,-185,-66,222,4,2016-02-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-420,0,32,385,1581,-150,-40,211,10,2016-03-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-330,0,65,385,1996,-69,19,388,15,2016-04-01,db720dcd,50.4253283806319,-63.1580449065475
754,0,-400,754,37,385,2263,20,116,683,30,2016-05-01,db720dcd,50.4253283806319,-63.1580449065475
873,0,-310,873,145,385,1808,74,160,956,41,2016-06-01,db720dcd,50.4253283806319,-63.1580449065475
824,160,-320,984,61,142,2223,106,194,1304,40,2016-07-01,db720dcd,50.4253283806319,-63.1580449065475
913,0,-310,913,114,308,1895,105,202,1303,39,2016-08-01,db720dcd,50.4253283806319,-63.1580449065475
601,0,-280,601,104,385,1296,63,154,1006,27,2016-09-01,db720dcd,50.4253283806319,-63.1580449065475
352,0,-280,352,96,385,871,7,88,676,20,2016-10-01,db720dcd,50.4253283806319,-63.1580449065475
32,0,-370,32,54,385,420,-35,38,518,10,2016-11-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-460,0,34,385,342,-163,-68,207,5,2016-12-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-460,0,51,385,461,-170,-70,211,3,2017-01-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-450,0,33,385,927,-182,-77,203,5,2017-02-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-460,0,33,385,1469,-144,-42,220,10,2017-03-01,db720dcd,50.4253283806319,-63.1580449065475
21,0,-420,21,47,385,1858,-53,28,422,15,2017-04-01,db720dcd,50.4253283806319,-63.1580449065475
694,0,-240,694,163,385,2000,10,101,628,30,2017-05-01,db720dcd,50.4253283806319,-63.1580449065475
760,108,-270,868,58,200,2076,72,160,976,41,2017-06-01,db720dcd,50.4253283806319,-63.1580449065475
511,558,-370,1069,45,119,2380,104,196,1264,49,2017-07-01,db720dcd,50.4253283806319,-63.1580449065475
859,14,-400,873,90,114,1833,99,194,1277,34,2017-08-01,db720dcd,50.4253283806319,-63.1580449065475
557,0,-420,557,105,385,1215,71,165,1079,28,2017-09-01,db720dcd,50.4253283806319,-63.1580449065475
455,0,-500,455,56,385,923,31,119,766,24,2017-10-01,db720dcd,50.4253283806319,-63.1580449065475
12,0,-300,12,172,385,483,-59,30,406,12,2017-11-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-300,0,76,385,340,-138,-47,254,4,2017-12-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-280,0,67,385,458,-197,-94,177,4,2018-01-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-280,0,36,385,959,-203,-77,171,5,2018-02-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-350,0,18,385,1404,-67,7,327,11,2018-03-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-350,0,33,385,1903,-67,18,346,18,2018-04-01,db720dcd,50.4253283806319,-63.1580449065475
771,0,-390,771,60,385,2441,-7,91,525,34,2018-05-01,db720dcd,50.4253283806319,-63.1580449065475
968,0,-360,968,112,385,2424,54,151,807,48,2018-06-01,db720dcd,50.4253283806319,-63.1580449065475
827,331,-400,1158,61,142,2369,118,224,1371,52,2018-07-01,db720dcd,50.4253283806319,-63.1580449065475
623,360,-490,983,61,98,2035,111,214,1375,44,2018-08-01,db720dcd,50.4253283806319,-63.1580449065475
419,277,-610,696,42,76,1445,59,163,962,32,2018-09-01,db720dcd,50.4253283806319,-63.1580449065475
267,0,-670,267,90,385,744,-7,58,594,17,2018-10-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-710,0,58,385,445,-74,-2,409,10,2018-11-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-710,0,57,385,431,-145,-49,268,5,2018-12-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-490,0,130,385,469,-204,-98,182,3,2019-01-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-420,0,52,385,915,-215,-104,139,6,2019-02-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-370,0,55,385,1437,-142,-45,231,9,2019-03-01,db720dcd,50.4253283806319,-63.1580449065475
19,0,-230,19,91,385,1762,-52,24,402,17,2019-04-01,db720dcd,50.4253283806319,-63.1580449065475
684,0,-260,684,68,385,2199,6,93,625,28,2019-05-01,db720dcd,50.4253283806319,-63.1580449065475
771,48,-270,819,66,302,2052,63,152,936,41,2019-06-01,db720dcd,50.4253283806319,-63.1580449065475
681,371,-330,1052,54,138,2330,110,200,1296,54,2019-07-01,db720dcd,50.4253283806319,-63.1580449065475
904,0,-340,904,106,243,2028,113,205,1459,42,2019-08-01,db720dcd,50.4253283806319,-63.1580449065475
595,0,-360,595,100,385,1358,60,143,968,32,2019-09-01,db720dcd,50.4253283806319,-63.1580449065475
337,0,-430,337,55,385,863,19,89,714,21,2019-10-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-350,0,121,385,471,-62,14,421,11,2019-11-01,db720dcd,50.4253283806319,-63.1580449065475
0,0,-370,0,65,385,396,-145,-52,261,5,2019-12-01,db720dcd,50.4253283806319,-63.1580449065475
