aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,488,0,14,469,374,-253,-147,151,0,2015-01-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,504,0,28,469,928,-298,-193,53,4,2015-02-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,408,0,15,469,1452,-167,-33,226,10,2015-03-01,dc2ddbdb,54.2612452327306,-94.4262199068557
2,0,295,31,9,469,2024,-76,53,389,23,2015-04-01,dc2ddbdb,54.2612452327306,-94.4262199068557
920,0,315,931,55,469,2549,-9,125,579,44,2015-05-01,dc2ddbdb,54.2612452327306,-94.4262199068557
826,308,255,1135,55,172,2582,72,195,1085,57,2015-06-01,dc2ddbdb,54.2612452327306,-94.4262199068557
990,291,256,1282,99,119,2502,126,234,1475,70,2015-07-01,dc2ddbdb,54.2612452327306,-94.4262199068557
913,0,390,913,117,315,1559,124,218,1419,62,2015-08-01,dc2ddbdb,54.2612452327306,-94.4262199068557
427,34,322,460,41,283,1101,73,156,1154,25,2015-09-01,dc2ddbdb,54.2612452327306,-94.4262199068557
209,0,357,220,76,469,689,-2,69,653,15,2015-10-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,429,0,52,469,309,-67,-19,423,3,2015-11-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,475,0,44,469,244,-138,-73,314,0,2015-12-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,430,0,22,469,337,-224,-135,179,0,2016-01-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,380,0,17,469,872,-227,-111,154,4,2016-02-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,340,0,23,469,1501,-149,-11,267,13,2016-03-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,320,0,26,469,2335,-97,41,346,25,2016-04-01,dc2ddbdb,54.2612452327306,-94.4262199068557
906,0,290,906,45,469,2371,19,147,714,55,2016-05-01,dc2ddbdb,54.2612452327306,-94.4262199068557
907,160,260,1067,67,194,2504,74,191,1098,68,2016-06-01,dc2ddbdb,54.2612452327306,-94.4262199068557
902,205,250,1107,88,128,2163,127,229,1503,79,2016-07-01,dc2ddbdb,54.2612452327306,-94.4262199068557
772,239,240,1011,78,98,1810,122,224,1420,70,2016-08-01,dc2ddbdb,54.2612452327306,-94.4262199068557
486,0,210,486,63,208,1080,69,150,1119,28,2016-09-01,dc2ddbdb,54.2612452327306,-94.4262199068557
152,0,180,152,49,469,419,-6,47,651,8,2016-10-01,dc2ddbdb,54.2612452327306,-94.4262199068557
5,0,160,5,35,469,365,-44,19,502,6,2016-11-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,150,0,27,469,267,-214,-133,173,1,2016-12-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,130,0,22,469,338,-219,-127,191,0,2017-01-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,110,0,17,469,869,-202,-103,184,2,2017-02-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,100,0,23,469,1458,-189,-50,207,8,2017-03-01,dc2ddbdb,54.2612452327306,-94.4262199068557
20,0,100,20,26,469,2056,-81,50,380,25,2017-04-01,dc2ddbdb,54.2612452327306,-94.4262199068557
799,0,120,799,44,469,2226,4,119,614,51,2017-05-01,dc2ddbdb,54.2612452327306,-94.4262199068557
851,121,150,972,66,261,2151,72,186,1034,61,2017-06-01,dc2ddbdb,54.2612452327306,-94.4262199068557
948,378,100,1326,88,150,2633,118,237,1387,97,2017-07-01,dc2ddbdb,54.2612452327306,-94.4262199068557
773,345,70,1118,77,109,2156,111,221,1244,94,2017-08-01,dc2ddbdb,54.2612452327306,-94.4262199068557
542,0,-20,542,63,169,1179,64,151,1053,33,2017-09-01,dc2ddbdb,54.2612452327306,-94.4262199068557
241,0,-100,241,49,390,560,-6,61,632,14,2017-10-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,-130,0,35,390,384,-149,-73,248,5,2017-11-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,-110,0,27,390,287,-237,-142,153,0,2017-12-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,-110,0,22,390,374,-261,-160,134,0,2018-01-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,-100,0,17,390,911,-286,-156,84,2,2018-02-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,-90,0,23,390,1571,-183,-40,177,11,2018-03-01,dc2ddbdb,54.2612452327306,-94.4262199068557
0,0,-70,0,25,390,2363,-133,19,277,23,2018-04-01,dc2ddbdb,54.2612452327306,-94.4262199068557
