aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-477,0,17,144,241,-287,-191,107,0,2015-01-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-455,0,8,144,721,-331,-231,42,3,2015-02-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-411,0,15,144,1405,-221,-93,165,4,2015-03-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-269,0,50,144,2164,-128,-8,275,13,2015-04-01,e0e5eec8,58.3166468193385,-100.895855018065
759,0,-355,859,14,441,2816,-40,93,354,46,2015-05-01,e0e5eec8,58.3166468193385,-100.895855018065
1137,124,-340,1261,79,228,2640,63,182,825,70,2015-06-01,e0e5eec8,58.3166468193385,-100.895855018065
665,498,-352,1163,60,136,2273,98,201,1140,65,2015-07-01,e0e5eec8,58.3166468193385,-100.895855018065
302,498,-394,799,28,100,1570,90,178,1123,47,2015-08-01,e0e5eec8,58.3166468193385,-100.895855018065
372,8,-389,380,39,98,1077,36,106,840,20,2015-09-01,e0e5eec8,58.3166468193385,-100.895855018065
1,0,-392,14,44,174,467,-37,25,521,8,2015-10-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-371,0,30,174,241,-141,-73,279,0,2015-11-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-381,0,12,174,126,-201,-145,224,0,2015-12-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-380,0,17,155,217,-248,-172,121,0,2016-01-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-350,0,12,155,728,-278,-169,113,2,2016-02-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-310,0,16,155,1375,-199,-85,168,6,2016-03-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-280,0,26,155,2170,-148,-15,232,10,2016-04-01,e0e5eec8,58.3166468193385,-100.895855018065
824,0,-330,824,28,441,2408,-4,109,530,41,2016-05-01,e0e5eec8,58.3166468193385,-100.895855018065
812,345,-370,1157,54,162,2351,67,181,834,70,2016-06-01,e0e5eec8,58.3166468193385,-100.895855018065
989,143,-250,1132,99,112,2126,108,204,1169,67,2016-07-01,e0e5eec8,58.3166468193385,-100.895855018065
498,382,-250,880,50,87,1721,86,178,1074,46,2016-08-01,e0e5eec8,58.3166468193385,-100.895855018065
488,0,-230,488,54,112,944,37,113,774,23,2016-09-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-140,0,71,112,493,-51,-14,465,8,2016-10-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-120,0,24,112,242,-109,-47,300,1,2016-11-01,e0e5eec8,58.3166468193385,-100.895855018065
0,0,-130,0,18,112,152,-271,-201,104,0,2016-12-01,e0e5eec8,58.3166468193385,-100.895855018065
