aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-102,0,6,395,96,-383,-298,42,0,2015-01-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-128,0,3,395,361,-397,-311,38,0,2015-02-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-118,0,11,395,1130,-340,-251,59,0,2015-03-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-99,0,14,395,1891,-217,-124,193,0,2015-04-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-110,0,11,395,2661,-123,-39,317,3,2015-05-01,e268d65d,64.509830404721,-85.1742541228339
169,0,-135,295,8,528,2416,-16,43,589,10,2015-06-01,e268d65d,64.509830404721,-85.1742541228339
719,0,-99,719,30,528,1889,46,124,870,28,2015-07-01,e268d65d,64.509830404721,-85.1742541228339
466,151,-189,616,22,269,1557,32,118,785,29,2015-08-01,e268d65d,64.509830404721,-85.1742541228339
225,0,-222,262,33,353,878,-10,59,569,18,2015-09-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-296,0,19,353,426,-113,-42,294,6,2015-10-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-349,0,20,353,133,-221,-122,189,0,2015-11-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-340,0,13,353,56,-297,-207,77,1,2015-12-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-240,0,22,293,101,-321,-219,73,0,2016-01-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-200,0,11,293,380,-358,-272,49,2,2016-02-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-210,0,7,293,1114,-324,-232,77,2,2016-03-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-160,0,16,293,1983,-233,-153,177,3,2016-04-01,e268d65d,64.509830404721,-85.1742541228339
0,0,-170,0,10,293,2565,-94,-31,400,8,2016-05-01,e268d65d,64.509830404721,-85.1742541228339
