aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-104,0,82,386,588,-225,-112,137,4,2015-01-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-179,0,25,386,1166,-259,-140,83,6,2015-02-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-208,0,43,386,1679,-163,-41,204,11,2015-03-01,e3416fc5,48.751993321901,-69.521620999022
8,0,-200,64,58,386,1943,-55,48,427,21,2015-04-01,e3416fc5,48.751993321901,-69.521620999022
1065,0,-238,1065,76,386,2241,32,161,740,56,2015-05-01,e3416fc5,48.751993321901,-69.521620999022
1069,43,-226,1112,105,313,2236,70,192,970,65,2015-06-01,e3416fc5,48.751993321901,-69.521620999022
1134,13,-194,1147,118,297,2070,112,220,1306,69,2015-07-01,e3416fc5,48.751993321901,-69.521620999022
956,102,-217,1058,88,179,1767,130,233,1445,75,2015-08-01,e3416fc5,48.751993321901,-69.521620999022
663,57,-295,720,66,146,1610,80,193,1206,46,2015-09-01,e3416fc5,48.751993321901,-69.521620999022
350,0,-360,362,80,386,960,-3,78,599,23,2015-10-01,e3416fc5,48.751993321901,-69.521620999022
4,0,-398,25,66,386,456,-32,30,525,10,2015-11-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-338,0,96,386,351,-85,-26,419,0,2015-12-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-340,0,50,386,566,-164,-70,205,7,2016-01-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-180,0,109,386,906,-179,-54,242,6,2016-02-01,e3416fc5,48.751993321901,-69.521620999022
0,0,230,0,111,386,1525,-127,-8,290,11,2016-03-01,e3416fc5,48.751993321901,-69.521620999022
23,0,200,23,58,386,2348,-75,42,356,20,2016-04-01,e3416fc5,48.751993321901,-69.521620999022
939,0,140,939,84,386,2243,28,153,712,41,2016-05-01,e3416fc5,48.751993321901,-69.521620999022
1125,0,230,1125,153,386,2090,80,205,993,55,2016-06-01,e3416fc5,48.751993321901,-69.521620999022
1221,0,340,1221,178,386,2167,120,234,1344,60,2016-07-01,e3416fc5,48.751993321901,-69.521620999022
1128,32,320,1160,113,331,1935,119,237,1336,67,2016-08-01,e3416fc5,48.751993321901,-69.521620999022
710,11,220,721,73,315,1463,68,180,1083,34,2016-09-01,e3416fc5,48.751993321901,-69.521620999022
395,0,250,395,118,386,821,14,104,740,20,2016-10-01,e3416fc5,48.751993321901,-69.521620999022
25,0,200,25,87,386,434,-30,28,536,7,2016-11-01,e3416fc5,48.751993321901,-69.521620999022
0,0,160,0,80,386,411,-154,-68,259,3,2016-12-01,e3416fc5,48.751993321901,-69.521620999022
0,0,180,0,86,386,543,-157,-64,264,5,2017-01-01,e3416fc5,48.751993321901,-69.521620999022
0,0,150,0,55,386,976,-167,-56,262,6,2017-02-01,e3416fc5,48.751993321901,-69.521620999022
0,0,230,0,98,386,1564,-149,-38,215,11,2017-03-01,e3416fc5,48.751993321901,-69.521620999022
253,0,270,253,116,386,1655,-28,59,551,18,2017-04-01,e3416fc5,48.751993321901,-69.521620999022
827,0,310,827,123,386,1949,32,137,732,39,2017-05-01,e3416fc5,48.751993321901,-69.521620999022
1033,87,270,1120,93,237,2395,77,204,1092,63,2017-06-01,e3416fc5,48.751993321901,-69.521620999022
856,439,150,1295,79,128,2511,104,233,1288,73,2017-07-01,e3416fc5,48.751993321901,-69.521620999022
881,201,70,1082,89,92,1855,99,217,1196,60,2017-08-01,e3416fc5,48.751993321901,-69.521620999022
664,0,-210,664,88,264,1440,77,188,1192,35,2017-09-01,e3416fc5,48.751993321901,-69.521620999022
439,0,-110,439,160,386,876,35,132,889,24,2017-10-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-100,0,95,386,514,-68,20,415,9,2017-11-01,e3416fc5,48.751993321901,-69.521620999022
0,0,-110,0,78,386,458,-161,-75,229,3,2017-12-01,e3416fc5,48.751993321901,-69.521620999022
0,0,190,0,132,386,593,-200,-92,189,5,2018-01-01,e3416fc5,48.751993321901,-69.521620999022
0,0,160,0,54,386,986,-170,-49,272,6,2018-02-01,e3416fc5,48.751993321901,-69.521620999022
0,0,110,0,49,386,1376,-91,-6,305,9,2018-03-01,e3416fc5,48.751993321901,-69.521620999022
22,0,180,22,101,386,1948,-64,35,386,17,2018-04-01,e3416fc5,48.751993321901,-69.521620999022
