aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,447,0,18,702,494,-200,-95,218,0,2015-01-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,446,0,20,702,979,-250,-135,97,5,2015-02-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,388,0,12,702,1449,-97,23,356,15,2015-03-01,e37869bd,49.1883064427506,-96.5233370362397
792,0,283,806,18,844,2015,-27,119,495,45,2015-04-01,e37869bd,49.1883064427506,-96.5233370362397
1037,0,366,1037,118,946,2098,33,176,845,55,2015-05-01,e37869bd,49.1883064427506,-96.5233370362397
1028,180,338,1209,85,720,2461,100,235,1435,64,2015-06-01,e37869bd,49.1883064427506,-96.5233370362397
1135,121,364,1256,109,616,2512,130,257,1851,56,2015-07-01,e37869bd,49.1883064427506,-96.5233370362397
907,164,382,1071,83,502,2175,106,247,1670,53,2015-08-01,e37869bd,49.1883064427506,-96.5233370362397
511,316,279,827,36,332,1683,93,228,1415,56,2015-09-01,e37869bd,49.1883064427506,-96.5233370362397
461,2,261,463,48,331,892,17,132,771,34,2015-10-01,e37869bd,49.1883064427506,-96.5233370362397
3,0,294,17,51,464,382,-42,39,566,6,2015-11-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,319,0,40,464,331,-114,-40,352,0,2015-12-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,320,0,16,466,499,-191,-98,230,1,2016-01-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,320,0,15,466,871,-154,-50,256,6,2016-02-01,e37869bd,49.1883064427506,-96.5233370362397
15,0,310,15,26,521,1474,-76,47,431,15,2016-03-01,e37869bd,49.1883064427506,-96.5233370362397
491,0,340,491,57,1164,1729,-28,88,585,29,2016-04-01,e37869bd,49.1883064427506,-96.5233370362397
1058,112,360,1170,81,972,2272,49,198,866,80,2016-05-01,e37869bd,49.1883064427506,-96.5233370362397
1168,72,380,1240,113,878,2483,104,239,1429,61,2016-06-01,e37869bd,49.1883064427506,-96.5233370362397
1109,60,440,1169,110,810,2425,129,250,1839,54,2016-07-01,e37869bd,49.1883064427506,-96.5233370362397
951,157,480,1108,84,653,2170,114,252,1699,60,2016-08-01,e37869bd,49.1883064427506,-96.5233370362397
731,0,520,731,86,742,1438,87,202,1310,45,2016-09-01,e37869bd,49.1883064427506,-96.5233370362397
376,55,480,431,34,693,777,22,126,831,26,2016-10-01,e37869bd,49.1883064427506,-96.5233370362397
167,0,460,167,44,929,475,-25,70,627,14,2016-11-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,540,0,53,929,341,-180,-96,229,0,2016-12-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,530,0,23,929,488,-192,-101,239,0,2017-01-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,520,0,20,929,978,-148,-47,277,6,2017-02-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,470,0,18,929,1533,-116,0,350,8,2017-03-01,e37869bd,49.1883064427506,-96.5233370362397
604,0,420,604,37,1164,1969,-21,109,599,35,2017-04-01,e37869bd,49.1883064427506,-96.5233370362397
824,295,340,1119,31,657,2209,39,177,766,68,2017-05-01,e37869bd,49.1883064427506,-96.5233370362397
1078,219,270,1297,96,491,2324,99,241,1264,73,2017-06-01,e37869bd,49.1883064427506,-96.5233370362397
609,690,140,1299,46,322,2571,123,261,1759,69,2017-07-01,e37869bd,49.1883064427506,-96.5233370362397
565,434,90,999,51,244,2082,95,231,1534,69,2017-08-01,e37869bd,49.1883064427506,-96.5233370362397
722,0,160,722,104,511,1437,79,205,1311,52,2017-09-01,e37869bd,49.1883064427506,-96.5233370362397
324,221,110,545,21,389,952,7,126,711,40,2017-10-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,90,0,26,389,467,-100,-2,392,6,2017-11-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,70,0,28,389,340,-193,-98,229,0,2017-12-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,-130,0,17,389,491,-219,-103,204,4,2018-01-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,-130,0,17,389,997,-247,-110,106,5,2018-02-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,-120,0,27,389,1525,-118,-8,310,12,2018-03-01,e37869bd,49.1883064427506,-96.5233370362397
35,0,-130,35,8,435,2354,-77,57,424,31,2018-04-01,e37869bd,49.1883064427506,-96.5233370362397
1154,0,-110,1154,55,882,2410,61,223,1029,90,2018-05-01,e37869bd,49.1883064427506,-96.5233370362397
1134,92,-70,1226,108,777,2319,121,249,1556,82,2018-06-01,e37869bd,49.1883064427506,-96.5233370362397
1008,288,-70,1296,77,504,2551,129,260,1819,77,2018-07-01,e37869bd,49.1883064427506,-96.5233370362397
703,456,-100,1159,55,327,2313,110,253,1658,99,2018-08-01,e37869bd,49.1883064427506,-96.5233370362397
708,0,50,708,87,446,1449,66,185,1131,46,2018-09-01,e37869bd,49.1883064427506,-96.5233370362397
308,0,160,308,74,839,717,-12,76,641,17,2018-10-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,160,0,20,839,448,-110,-36,367,4,2018-11-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,180,0,27,839,378,-145,-55,289,1,2018-12-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,190,0,17,839,498,-235,-127,142,2,2019-01-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,260,0,33,839,844,-236,-125,132,3,2019-02-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,250,0,19,839,1534,-134,-25,312,5,2019-03-01,e37869bd,49.1883064427506,-96.5233370362397
524,0,190,524,20,1164,1922,-29,95,560,28,2019-04-01,e37869bd,49.1883064427506,-96.5233370362397
847,223,150,1070,43,782,2311,28,166,721,60,2019-05-01,e37869bd,49.1883064427506,-96.5233370362397
943,333,60,1276,66,464,2549,106,236,1278,83,2019-06-01,e37869bd,49.1883064427506,-96.5233370362397
1293,0,130,1293,145,548,2585,126,254,1751,61,2019-07-01,e37869bd,49.1883064427506,-96.5233370362397
762,381,110,1143,59,342,2168,102,241,1513,62,2019-08-01,e37869bd,49.1883064427506,-96.5233370362397
589,0,370,589,192,1164,1169,72,200,1345,34,2019-09-01,e37869bd,49.1883064427506,-96.5233370362397
335,0,530,335,102,1164,675,-22,89,661,17,2019-10-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,560,0,31,1164,465,-103,-20,366,4,2019-11-01,e37869bd,49.1883064427506,-96.5233370362397
0,0,540,0,19,1164,371,-173,-79,236,1,2019-12-01,e37869bd,49.1883064427506,-96.5233370362397
