aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,865,0,69,490,517,-280,-140,159,0,2015-01-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,819,0,60,490,1081,-323,-174,111,0,2015-02-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,798,0,66,490,1526,-202,-44,259,2,2015-03-01,e406ed75,49.8117198476682,-80.8563981368335
1,0,797,16,69,490,1854,-85,49,457,14,2015-04-01,e406ed75,49.8117198476682,-80.8563981368335
921,0,752,921,82,490,2121,20,161,831,44,2015-05-01,e406ed75,49.8117198476682,-80.8563981368335
897,158,660,1055,66,218,2388,62,202,1152,51,2015-06-01,e406ed75,49.8117198476682,-80.8563981368335
724,415,517,1139,68,140,2219,105,238,1526,59,2015-07-01,e406ed75,49.8117198476682,-80.8563981368335
832,0,534,832,126,490,1644,105,217,1492,45,2015-08-01,e406ed75,49.8117198476682,-80.8563981368335
608,0,429,608,78,490,1557,76,192,1317,33,2015-09-01,e406ed75,49.8117198476682,-80.8563981368335
207,0,387,217,73,490,799,-13,81,700,12,2015-10-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,265,2,43,490,400,-54,34,628,0,2015-11-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,300,0,89,490,303,-105,-34,510,0,2015-12-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,430,0,111,490,435,-217,-106,248,2,2016-01-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,490,0,84,490,820,-230,-91,230,3,2016-02-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,440,0,45,490,1538,-152,-13,343,10,2016-03-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,410,0,43,490,2096,-99,29,392,18,2016-04-01,e406ed75,49.8117198476682,-80.8563981368335
855,0,360,855,62,490,2335,11,156,792,47,2016-05-01,e406ed75,49.8117198476682,-80.8563981368335
950,75,330,1025,86,360,2202,68,206,1140,60,2016-06-01,e406ed75,49.8117198476682,-80.8563981368335
1088,16,310,1104,113,342,2174,111,240,1537,65,2016-07-01,e406ed75,49.8117198476682,-80.8563981368335
909,12,290,921,94,330,1744,114,236,1584,60,2016-08-01,e406ed75,49.8117198476682,-80.8563981368335
616,0,240,616,104,490,1392,75,182,1227,34,2016-09-01,e406ed75,49.8117198476682,-80.8563981368335
305,0,220,305,81,490,731,10,96,776,16,2016-10-01,e406ed75,49.8117198476682,-80.8563981368335
9,0,200,9,75,490,315,-46,36,594,7,2016-11-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,180,0,68,490,331,-180,-90,305,0,2016-12-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,160,0,57,490,423,-189,-96,278,1,2017-01-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,150,0,46,490,819,-197,-70,280,3,2017-02-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,130,0,44,490,1623,-182,-39,283,8,2017-03-01,e406ed75,49.8117198476682,-80.8563981368335
126,0,110,126,44,490,1778,-58,69,526,22,2017-04-01,e406ed75,49.8117198476682,-80.8563981368335
632,0,130,632,63,490,1739,15,125,800,28,2017-05-01,e406ed75,49.8117198476682,-80.8563981368335
928,56,160,984,88,394,2201,78,204,1181,56,2017-06-01,e406ed75,49.8117198476682,-80.8563981368335
1166,68,160,1234,114,310,2609,95,233,1384,80,2017-07-01,e406ed75,49.8117198476682,-80.8563981368335
788,0,190,788,96,430,1656,83,200,1345,46,2017-08-01,e406ed75,49.8117198476682,-80.8563981368335
528,0,210,528,101,490,1301,70,181,1273,33,2017-09-01,e406ed75,49.8117198476682,-80.8563981368335
286,0,210,286,83,490,799,23,110,890,25,2017-10-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,190,0,76,490,375,-97,-18,448,4,2017-11-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,170,0,68,490,401,-224,-119,267,0,2017-12-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,150,0,56,490,536,-244,-122,207,3,2018-01-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,130,0,45,490,870,-237,-91,227,3,2018-02-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,120,0,44,490,1584,-184,-33,275,8,2018-03-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,120,0,43,490,2219,-119,19,350,20,2018-04-01,e406ed75,49.8117198476682,-80.8563981368335
962,0,80,962,63,490,2326,16,176,797,58,2018-05-01,e406ed75,49.8117198476682,-80.8563981368335
1066,145,-40,1211,86,241,2759,68,214,1096,78,2018-06-01,e406ed75,49.8117198476682,-80.8563981368335
1131,123,-90,1254,111,163,2426,119,254,1587,96,2018-07-01,e406ed75,49.8117198476682,-80.8563981368335
919,92,-110,1011,93,126,2010,101,236,1510,65,2018-08-01,e406ed75,49.8117198476682,-80.8563981368335
543,0,-150,543,102,490,1269,64,177,1242,29,2018-09-01,e406ed75,49.8117198476682,-80.8563981368335
167,0,-100,167,84,490,536,-13,53,660,11,2018-10-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,-90,0,76,490,354,-110,-43,439,2,2018-11-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,-130,0,51,490,365,-178,-73,335,1,2018-12-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,-140,0,47,490,527,-275,-146,117,1,2019-01-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,130,0,91,490,885,-250,-105,155,2,2019-02-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,110,0,42,490,1454,-168,-28,236,10,2019-03-01,e406ed75,49.8117198476682,-80.8563981368335
20,0,190,20,72,490,1910,-80,49,390,21,2019-04-01,e406ed75,49.8117198476682,-80.8563981368335
808,0,120,808,42,490,2205,-9,127,617,41,2019-05-01,e406ed75,49.8117198476682,-80.8563981368335
1017,46,110,1063,94,410,2331,65,204,1075,61,2019-06-01,e406ed75,49.8117198476682,-80.8563981368335
942,359,-140,1301,75,178,2309,119,254,1495,83,2019-07-01,e406ed75,49.8117198476682,-80.8563981368335
708,316,-220,1024,69,124,1938,94,223,1382,56,2019-08-01,e406ed75,49.8117198476682,-80.8563981368335
532,0,-270,532,80,355,1210,60,167,1147,28,2019-09-01,e406ed75,49.8117198476682,-80.8563981368335
333,0,-330,333,70,490,761,6,91,716,18,2019-10-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,-350,0,55,490,462,-110,-34,345,3,2019-11-01,e406ed75,49.8117198476682,-80.8563981368335
0,0,-330,0,60,490,337,-183,-76,240,1,2019-12-01,e406ed75,49.8117198476682,-80.8563981368335
