aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,364,0,18,414,390,-253,-146,150,0,2015-01-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,387,0,32,414,941,-300,-190,58,4,2015-02-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,318,0,20,414,1464,-163,-29,240,9,2015-03-01,e56da6c6,53.5852173303972,-93.9969220772318
7,0,237,61,15,414,2017,-71,61,388,27,2015-04-01,e56da6c6,53.5852173303972,-93.9969220772318
962,0,309,962,72,414,2498,-1,133,611,46,2015-05-01,e56da6c6,53.5852173303972,-93.9969220772318
867,266,281,1133,64,152,2588,73,198,1115,55,2015-06-01,e56da6c6,53.5852173303972,-93.9969220772318
1155,115,324,1270,117,106,2507,125,236,1511,68,2015-07-01,e56da6c6,53.5852173303972,-93.9969220772318
828,0,348,828,90,133,1595,113,210,1450,47,2015-08-01,e56da6c6,53.5852173303972,-93.9969220772318
466,0,283,466,50,143,1157,73,161,1193,24,2015-09-01,e56da6c6,53.5852173303972,-93.9969220772318
196,0,263,207,69,414,714,-3,69,665,13,2015-10-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,373,0,69,414,296,-65,-16,466,0,2015-11-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,384,0,39,414,252,-143,-75,328,0,2015-12-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,350,0,23,414,355,-225,-133,177,0,2016-01-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,310,0,18,414,863,-227,-108,163,3,2016-02-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,260,0,24,414,1513,-146,-5,283,13,2016-03-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,260,0,32,414,2264,-89,47,360,27,2016-04-01,e56da6c6,53.5852173303972,-93.9969220772318
939,0,260,939,51,414,2313,25,156,724,61,2016-05-01,e56da6c6,53.5852173303972,-93.9969220772318
941,131,240,1072,75,190,2496,77,194,1129,67,2016-06-01,e56da6c6,53.5852173303972,-93.9969220772318
882,222,230,1104,86,120,2180,126,229,1521,80,2016-07-01,e56da6c6,53.5852173303972,-93.9969220772318
830,88,230,918,84,90,1793,113,214,1449,57,2016-08-01,e56da6c6,53.5852173303972,-93.9969220772318
484,0,210,484,68,252,1090,71,152,1138,24,2016-09-01,e56da6c6,53.5852173303972,-93.9969220772318
149,0,190,149,50,414,443,-7,51,677,5,2016-10-01,e56da6c6,53.5852173303972,-93.9969220772318
5,0,200,5,38,414,358,-45,20,517,3,2016-11-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,190,0,30,414,272,-216,-132,181,0,2016-12-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,160,0,23,414,355,-220,-124,184,0,2017-01-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,130,0,17,414,866,-203,-98,193,1,2017-02-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,100,0,24,414,1476,-185,-43,223,7,2017-03-01,e56da6c6,53.5852173303972,-93.9969220772318
36,0,100,36,28,414,2043,-75,58,400,27,2017-04-01,e56da6c6,53.5852173303972,-93.9969220772318
847,0,110,847,41,414,2203,11,129,631,57,2017-05-01,e56da6c6,53.5852173303972,-93.9969220772318
865,111,110,976,71,225,2109,75,191,1063,61,2017-06-01,e56da6c6,53.5852173303972,-93.9969220772318
882,425,70,1307,83,131,2629,119,236,1417,95,2017-07-01,e56da6c6,53.5852173303972,-93.9969220772318
732,311,-30,1043,73,95,2170,102,211,1270,76,2017-08-01,e56da6c6,53.5852173303972,-93.9969220772318
526,0,20,526,75,285,1172,66,153,1084,31,2017-09-01,e56da6c6,53.5852173303972,-93.9969220772318
230,0,-50,230,51,414,600,-7,62,647,13,2017-10-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-20,0,38,414,383,-145,-69,274,3,2017-11-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-10,0,26,414,294,-239,-143,161,0,2017-12-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-10,0,23,414,392,-262,-156,137,0,2018-01-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-10,0,17,414,928,-286,-151,93,1,2018-02-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-20,0,22,414,1569,-180,-35,193,10,2018-03-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-10,0,23,414,2350,-125,25,288,24,2018-04-01,e56da6c6,53.5852173303972,-93.9969220772318
996,0,-50,996,44,414,2482,22,171,737,63,2018-05-01,e56da6c6,53.5852173303972,-93.9969220772318
931,142,-60,1073,72,171,2361,94,206,1233,83,2018-06-01,e56da6c6,53.5852173303972,-93.9969220772318
839,360,-70,1199,82,113,2266,127,234,1501,75,2018-07-01,e56da6c6,53.5852173303972,-93.9969220772318
746,241,-70,987,76,86,2054,108,211,1407,72,2018-08-01,e56da6c6,53.5852173303972,-93.9969220772318
436,0,40,436,76,369,1206,34,115,905,20,2018-09-01,e56da6c6,53.5852173303972,-93.9969220772318
12,0,120,12,58,414,641,-39,20,520,8,2018-10-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,130,0,35,414,356,-150,-83,274,0,2018-11-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,120,0,27,414,289,-184,-99,221,0,2018-12-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,120,0,29,414,451,-284,-178,104,0,2019-01-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,90,0,16,414,910,-271,-151,113,2,2019-02-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,-40,0,18,414,1433,-166,-25,241,10,2019-03-01,e56da6c6,53.5852173303972,-93.9969220772318
42,0,10,42,31,414,2151,-72,56,336,30,2019-04-01,e56da6c6,53.5852173303972,-93.9969220772318
936,0,-60,936,34,414,2442,3,128,554,50,2019-05-01,e56da6c6,53.5852173303972,-93.9969220772318
706,479,-160,1185,47,152,2621,91,204,1049,73,2019-06-01,e56da6c6,53.5852173303972,-93.9969220772318
753,622,-220,1375,74,106,2380,142,247,1452,92,2019-07-01,e56da6c6,53.5852173303972,-93.9969220772318
1006,0,-120,1006,109,132,1698,117,216,1396,59,2019-08-01,e56da6c6,53.5852173303972,-93.9969220772318
439,60,-160,499,44,110,1124,65,148,1069,26,2019-09-01,e56da6c6,53.5852173303972,-93.9969220772318
105,0,240,105,131,414,596,-21,45,612,7,2019-10-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,250,0,37,414,385,-127,-62,297,1,2019-11-01,e56da6c6,53.5852173303972,-93.9969220772318
0,0,200,0,23,414,273,-212,-121,178,0,2019-12-01,e56da6c6,53.5852173303972,-93.9969220772318
