aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,204,0,117,250,399,-288,-181,62,4,2015-01-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,245,0,89,250,836,-302,-186,49,5,2015-02-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,113,0,25,250,1483,-227,-100,109,8,2015-03-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,113,0,55,250,1772,-116,-13,292,11,2015-04-01,e58a2691,53.9809379299112,-61.5001025155286
299,0,110,430,73,250,1921,-29,64,485,25,2015-05-01,e58a2691,53.9809379299112,-61.5001025155286
1010,0,-140,1010,59,250,2268,40,156,770,53,2015-06-01,e58a2691,53.9809379299112,-61.5001025155286
811,21,-180,832,82,214,1827,70,161,1031,39,2015-07-01,e58a2691,53.9809379299112,-61.5001025155286
703,8,-227,711,73,203,1496,70,170,1103,37,2015-08-01,e58a2691,53.9809379299112,-61.5001025155286
495,0,-273,495,75,250,1203,28,124,796,30,2015-09-01,e58a2691,53.9809379299112,-61.5001025155286
18,0,-336,70,44,250,715,-32,39,467,18,2015-10-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-364,0,62,250,327,-106,-27,279,11,2015-11-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-428,0,38,250,293,-176,-84,168,7,2015-12-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-360,0,76,250,367,-218,-120,116,7,2016-01-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-240,0,100,250,779,-243,-115,119,7,2016-02-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-250,0,53,250,1518,-214,-87,104,10,2016-03-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-200,0,60,250,1745,-126,-15,277,12,2016-04-01,e58a2691,53.9809379299112,-61.5001025155286
584,0,-240,584,60,250,2123,-25,84,532,28,2016-05-01,e58a2691,53.9809379299112,-61.5001025155286
843,0,-110,843,141,250,1956,34,141,758,43,2016-06-01,e58a2691,53.9809379299112,-61.5001025155286
869,8,-140,877,90,237,1910,71,174,1050,43,2016-07-01,e58a2691,53.9809379299112,-61.5001025155286
795,0,-80,795,120,250,1460,70,177,1023,40,2016-08-01,e58a2691,53.9809379299112,-61.5001025155286
538,0,-130,538,59,250,1154,22,117,711,28,2016-09-01,e58a2691,53.9809379299112,-61.5001025155286
76,0,70,76,102,250,612,-33,40,470,17,2016-10-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-50,0,68,250,345,-93,-14,344,8,2016-11-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-100,0,58,250,308,-218,-121,95,7,2016-12-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-100,0,65,250,385,-220,-119,124,6,2017-01-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-120,0,52,250,801,-240,-129,109,6,2017-02-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-120,0,60,250,1487,-204,-77,124,10,2017-03-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-170,0,28,250,2001,-116,-3,267,15,2017-04-01,e58a2691,53.9809379299112,-61.5001025155286
427,0,-150,427,74,250,2005,-36,71,472,21,2017-05-01,e58a2691,53.9809379299112,-61.5001025155286
788,0,-160,788,75,250,1862,32,137,758,39,2017-06-01,e58a2691,53.9809379299112,-61.5001025155286
947,0,-150,947,114,250,1915,67,182,1027,48,2017-07-01,e58a2691,53.9809379299112,-61.5001025155286
776,0,-80,776,122,250,1446,67,174,1038,40,2017-08-01,e58a2691,53.9809379299112,-61.5001025155286
548,0,-70,548,85,250,1230,30,127,781,33,2017-09-01,e58a2691,53.9809379299112,-61.5001025155286
368,0,-140,368,74,250,662,-7,75,554,25,2017-10-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-60,0,112,250,319,-98,-22,281,11,2017-11-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,110,0,105,250,254,-171,-81,179,8,2017-12-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,100,0,71,250,389,-246,-147,94,5,2018-01-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,120,0,77,250,869,-266,-136,69,5,2018-02-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-70,0,37,250,1260,-116,-23,263,10,2018-03-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,0,0,51,250,1916,-124,-13,227,14,2018-04-01,e58a2691,53.9809379299112,-61.5001025155286
42,0,40,42,53,250,2239,-59,40,360,25,2018-05-01,e58a2691,53.9809379299112,-61.5001025155286
855,0,-70,855,64,250,2230,11,121,608,44,2018-06-01,e58a2691,53.9809379299112,-61.5001025155286
1045,0,40,1045,155,250,2136,74,202,1102,60,2018-07-01,e58a2691,53.9809379299112,-61.5001025155286
835,0,90,835,124,250,1664,73,186,1098,53,2018-08-01,e58a2691,53.9809379299112,-61.5001025155286
553,74,-90,627,45,123,1319,18,121,698,38,2018-09-01,e58a2691,53.9809379299112,-61.5001025155286
17,0,70,17,113,222,538,-42,18,404,15,2018-10-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-10,0,82,222,341,-121,-48,264,7,2018-11-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-90,0,54,222,260,-186,-96,152,7,2018-12-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,70,0,98,222,367,-264,-158,77,5,2019-01-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,90,0,75,222,796,-259,-145,74,6,2019-02-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,100,0,73,222,1346,-190,-75,139,10,2019-03-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,180,0,86,222,1808,-98,3,302,16,2019-04-01,e58a2691,53.9809379299112,-61.5001025155286
448,0,90,448,41,250,2016,-27,68,529,22,2019-05-01,e58a2691,53.9809379299112,-61.5001025155286
712,0,100,712,94,250,1706,36,147,859,38,2019-06-01,e58a2691,53.9809379299112,-61.5001025155286
831,0,120,831,115,250,1779,72,180,1121,42,2019-07-01,e58a2691,53.9809379299112,-61.5001025155286
626,0,180,626,113,250,1316,75,180,1214,34,2019-08-01,e58a2691,53.9809379299112,-61.5001025155286
566,0,120,566,70,250,1172,36,123,786,33,2019-09-01,e58a2691,53.9809379299112,-61.5001025155286
336,0,-180,336,44,250,658,1,69,580,23,2019-10-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-70,0,126,250,329,-96,-21,322,9,2019-11-01,e58a2691,53.9809379299112,-61.5001025155286
0,0,-90,0,68,250,271,-177,-85,167,7,2019-12-01,e58a2691,53.9809379299112,-61.5001025155286
