aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-172,0,46,471,226,-103,-13,447,0,2015-01-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-182,0,22,471,529,-96,15,390,10,2015-02-01,e6b2f717,53.8500499604338,-123.477755229309
38,0,-156,115,39,1124,978,-56,69,466,23,2015-03-01,e6b2f717,53.8500499604338,-123.477755229309
656,0,-136,674,30,1124,1626,-30,110,462,44,2015-04-01,e6b2f717,53.8500499604338,-123.477755229309
766,342,-223,1108,15,536,2303,18,194,676,80,2015-05-01,e6b2f717,53.8500499604338,-123.477755229309
411,881,-360,1292,22,333,2528,63,224,901,93,2015-06-01,e6b2f717,53.8500499604338,-123.477755229309
558,829,-391,1387,50,247,2542,77,241,1014,102,2015-07-01,e6b2f717,53.8500499604338,-123.477755229309
436,663,-408,1099,41,198,1933,71,240,972,103,2015-08-01,e6b2f717,53.8500499604338,-123.477755229309
532,0,-310,532,68,311,1189,19,156,778,46,2015-09-01,e6b2f717,53.8500499604338,-123.477755229309
280,0,-261,283,56,567,657,-2,117,687,30,2015-10-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-274,0,30,567,359,-87,7,383,10,2015-11-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-239,0,56,567,208,-112,-26,342,4,2015-12-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-200,0,51,488,275,-127,-27,389,2,2016-01-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-170,0,29,488,571,-90,27,435,15,2016-02-01,e6b2f717,53.8500499604338,-123.477755229309
87,0,-180,87,28,916,1168,-62,69,450,29,2016-03-01,e6b2f717,53.8500499604338,-123.477755229309
632,0,-190,632,24,1124,1626,-15,130,564,57,2016-04-01,e6b2f717,53.8500499604338,-123.477755229309
809,250,-200,1059,38,694,2219,22,178,655,73,2016-05-01,e6b2f717,53.8500499604338,-123.477755229309
815,300,-200,1115,59,438,2267,59,209,900,76,2016-06-01,e6b2f717,53.8500499604338,-123.477755229309
711,388,-180,1099,60,296,1958,85,228,1112,76,2016-07-01,e6b2f717,53.8500499604338,-123.477755229309
563,473,-180,1036,52,228,1886,74,236,1043,92,2016-08-01,e6b2f717,53.8500499604338,-123.477755229309
527,77,-150,604,54,210,1139,25,168,811,50,2016-09-01,e6b2f717,53.8500499604338,-123.477755229309
281,0,-130,281,52,420,577,-13,92,605,23,2016-10-01,e6b2f717,53.8500499604338,-123.477755229309
12,0,-130,12,46,494,266,-47,37,542,18,2016-11-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-140,0,47,494,260,-154,-53,190,5,2016-12-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-90,0,51,494,306,-143,-29,272,3,2017-01-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-80,0,29,494,645,-135,-12,233,9,2017-02-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-60,0,28,494,1082,-101,22,345,20,2017-03-01,e6b2f717,53.8500499604338,-123.477755229309
581,0,-60,581,24,1124,1582,-27,109,484,40,2017-04-01,e6b2f717,53.8500499604338,-123.477755229309
765,204,-60,969,39,773,2107,17,173,672,68,2017-05-01,e6b2f717,53.8500499604338,-123.477755229309
907,357,-90,1264,58,420,2633,44,201,778,86,2017-06-01,e6b2f717,53.8500499604338,-123.477755229309
696,599,-110,1295,60,289,2595,61,223,950,94,2017-07-01,e6b2f717,53.8500499604338,-123.477755229309
558,564,-130,1122,52,223,2094,63,239,981,103,2017-08-01,e6b2f717,53.8500499604338,-123.477755229309
529,96,-120,625,54,202,1233,35,183,848,60,2017-09-01,e6b2f717,53.8500499604338,-123.477755229309
395,0,-140,395,52,299,667,-14,105,547,32,2017-10-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-150,0,45,299,291,-83,2,356,13,2017-11-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-170,0,47,299,279,-130,-27,309,5,2017-12-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-150,0,51,299,245,-135,-34,368,2,2018-01-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-130,0,30,299,629,-151,-21,234,8,2018-02-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-110,0,28,299,1115,-95,38,331,23,2018-03-01,e6b2f717,53.8500499604338,-123.477755229309
583,0,-110,583,24,1124,1769,-41,102,424,44,2018-04-01,e6b2f717,53.8500499604338,-123.477755229309
860,210,-120,1070,38,763,2436,25,186,693,91,2018-05-01,e6b2f717,53.8500499604338,-123.477755229309
856,305,-140,1161,59,466,2341,50,200,850,77,2018-06-01,e6b2f717,53.8500499604338,-123.477755229309
723,524,-150,1247,59,308,2364,69,238,1000,90,2018-07-01,e6b2f717,53.8500499604338,-123.477755229309
566,605,-170,1171,52,234,2189,60,234,961,117,2018-08-01,e6b2f717,53.8500499604338,-123.477755229309
519,32,-130,551,54,227,1099,14,146,710,39,2018-09-01,e6b2f717,53.8500499604338,-123.477755229309
298,0,-120,298,52,419,830,-20,103,571,31,2018-10-01,e6b2f717,53.8500499604338,-123.477755229309
8,0,-120,8,45,465,258,-54,34,496,6,2018-11-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-130,0,48,465,251,-116,-21,330,8,2018-12-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-60,0,59,465,238,-97,5,438,3,2019-01-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-60,0,27,465,785,-232,-115,114,6,2019-02-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,-120,0,11,465,1396,-103,23,306,20,2019-03-01,e6b2f717,53.8500499604338,-123.477755229309
652,0,-130,652,23,1124,1837,-28,111,436,48,2019-04-01,e6b2f717,53.8500499604338,-123.477755229309
811,304,-220,1115,26,601,2277,48,195,712,86,2019-05-01,e6b2f717,53.8500499604338,-123.477755229309
886,260,-200,1146,74,417,2258,58,202,906,74,2019-06-01,e6b2f717,53.8500499604338,-123.477755229309
1027,5,130,1032,108,415,2031,72,222,1147,71,2019-07-01,e6b2f717,53.8500499604338,-123.477755229309
564,390,120,954,46,287,1904,64,222,1051,77,2019-08-01,e6b2f717,53.8500499604338,-123.477755229309
415,152,70,567,39,242,1225,33,178,863,55,2019-09-01,e6b2f717,53.8500499604338,-123.477755229309
284,0,90,284,57,494,682,-30,83,528,27,2019-10-01,e6b2f717,53.8500499604338,-123.477755229309
6,0,170,6,74,556,277,-56,29,456,12,2019-11-01,e6b2f717,53.8500499604338,-123.477755229309
0,0,220,0,51,556,190,-114,-19,336,6,2019-12-01,e6b2f717,53.8500499604338,-123.477755229309
