aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,882,0,58,402,453,-285,-158,147,0,2015-01-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,837,0,56,402,1019,-331,-187,77,1,2015-02-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,819,0,61,402,1513,-203,-44,241,4,2015-03-01,e77fc3e7,51.0898237263997,-84.8614489356991
1,0,815,18,65,402,1879,-82,48,426,17,2015-04-01,e77fc3e7,51.0898237263997,-84.8614489356991
869,0,790,869,86,402,2232,8,147,758,41,2015-05-01,e77fc3e7,51.0898237263997,-84.8614489356991
889,195,686,1084,67,148,2569,59,200,1108,54,2015-06-01,e77fc3e7,51.0898237263997,-84.8614489356991
561,632,527,1193,54,102,2416,109,241,1524,64,2015-07-01,e77fc3e7,51.0898237263997,-84.8614489356991
814,0,564,814,119,402,1680,101,218,1505,42,2015-08-01,e77fc3e7,51.0898237263997,-84.8614489356991
548,0,476,548,59,402,1487,72,190,1337,28,2015-09-01,e77fc3e7,51.0898237263997,-84.8614489356991
202,0,421,211,55,402,776,-15,85,692,14,2015-10-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,300,1,37,402,309,-58,23,584,0,2015-11-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,320,0,61,402,249,-124,-51,424,0,2015-12-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,330,0,66,402,391,-235,-130,226,1,2016-01-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,340,0,54,402,864,-243,-108,197,3,2016-02-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,230,0,19,402,1652,-161,-14,326,10,2016-03-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,200,0,36,402,2072,-98,33,400,17,2016-04-01,e77fc3e7,51.0898237263997,-84.8614489356991
822,0,180,822,64,402,2281,10,154,768,51,2016-05-01,e77fc3e7,51.0898237263997,-84.8614489356991
993,0,220,993,116,402,2325,62,199,1122,62,2016-06-01,e77fc3e7,51.0898237263997,-84.8614489356991
1026,84,250,1110,93,258,2349,109,237,1526,77,2016-07-01,e77fc3e7,51.0898237263997,-84.8614489356991
814,66,240,880,79,199,1762,107,233,1581,62,2016-08-01,e77fc3e7,51.0898237263997,-84.8614489356991
527,0,270,527,95,402,1254,72,179,1265,32,2016-09-01,e77fc3e7,51.0898237263997,-84.8614489356991
262,0,280,262,67,402,614,5,96,783,15,2016-10-01,e77fc3e7,51.0898237263997,-84.8614489356991
7,0,270,7,69,402,362,-45,37,622,6,2016-11-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,310,0,65,402,285,-197,-107,267,0,2016-12-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,270,0,48,402,338,-211,-118,220,0,2017-01-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,250,0,44,402,779,-211,-85,240,3,2017-02-01,e77fc3e7,51.0898237263997,-84.8614489356991
0,0,190,0,31,402,1565,-192,-39,261,8,2017-03-01,e77fc3e7,51.0898237263997,-84.8614489356991
75,0,250,75,67,402,1907,-65,65,480,25,2017-04-01,e77fc3e7,51.0898237263997,-84.8614489356991
721,0,240,721,62,402,2182,7,124,738,44,2017-05-01,e77fc3e7,51.0898237263997,-84.8614489356991
1019,5,260,1024,106,394,2468,71,202,1130,62,2017-06-01,e77fc3e7,51.0898237263997,-84.8614489356991
837,380,180,1217,62,148,2663,94,234,1376,99,2017-07-01,e77fc3e7,51.0898237263997,-84.8614489356991
673,181,120,854,66,102,1964,78,201,1319,59,2017-08-01,e77fc3e7,51.0898237263997,-84.8614489356991
