aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,310,0,32,360,449,-272,-156,138,0,2015-01-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,340,0,38,360,969,-319,-190,52,4,2015-02-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,296,0,32,360,1489,-184,-34,226,8,2015-03-01,e86337b0,52.4400213134718,-89.4685364626625
1,0,253,21,34,360,1933,-82,49,379,22,2015-04-01,e86337b0,52.4400213134718,-89.4685364626625
823,0,398,833,122,360,2327,-5,122,648,36,2015-05-01,e86337b0,52.4400213134718,-89.4685364626625
971,115,372,1086,79,162,2528,60,193,1058,54,2015-06-01,e86337b0,52.4400213134718,-89.4685364626625
1185,0,498,1185,171,360,2299,116,234,1478,65,2015-07-01,e86337b0,52.4400213134718,-89.4685364626625
645,87,436,732,52,211,1551,99,198,1427,35,2015-08-01,e86337b0,52.4400213134718,-89.4685364626625
484,0,402,484,79,360,1348,66,166,1207,23,2015-09-01,e86337b0,52.4400213134718,-89.4685364626625
158,0,396,185,69,360,740,-18,66,624,14,2015-10-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,562,0,111,360,282,-70,-6,498,0,2015-11-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,498,0,31,360,267,-142,-74,344,0,2015-12-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,430,0,29,360,374,-232,-136,185,2,2016-01-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,380,0,21,360,924,-248,-116,157,4,2016-02-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,330,0,32,360,1584,-163,-9,290,14,2016-03-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,320,0,45,360,2079,-99,33,364,19,2016-04-01,e86337b0,52.4400213134718,-89.4685364626625
833,0,280,833,52,360,2259,9,140,693,52,2016-05-01,e86337b0,52.4400213134718,-89.4685364626625
893,99,240,992,76,190,2298,67,188,1071,61,2016-06-01,e86337b0,52.4400213134718,-89.4685364626625
1111,25,250,1136,115,173,2326,120,226,1461,79,2016-07-01,e86337b0,52.4400213134718,-89.4685364626625
847,0,240,847,94,220,1696,105,210,1441,54,2016-08-01,e86337b0,52.4400213134718,-89.4685364626625
462,0,270,462,94,360,1120,69,150,1145,24,2016-09-01,e86337b0,52.4400213134718,-89.4685364626625
197,0,260,197,62,360,528,-6,64,693,10,2016-10-01,e86337b0,52.4400213134718,-89.4685364626625
3,0,190,3,27,360,373,-56,22,522,5,2016-11-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,180,0,35,360,292,-215,-129,199,0,2016-12-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,160,0,32,360,370,-219,-123,206,0,2017-01-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,150,0,26,360,836,-216,-97,196,3,2017-02-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,140,0,36,360,1502,-192,-36,224,10,2017-03-01,e86337b0,52.4400213134718,-89.4685364626625
28,0,150,28,46,360,1889,-79,57,404,25,2017-04-01,e86337b0,52.4400213134718,-89.4685364626625
747,0,160,747,58,360,2220,-1,115,633,46,2017-05-01,e86337b0,52.4400213134718,-89.4685364626625
955,53,160,1008,89,268,2328,70,190,1028,62,2017-06-01,e86337b0,52.4400213134718,-89.4685364626625
1053,203,130,1256,96,127,2663,111,225,1339,98,2017-07-01,e86337b0,52.4400213134718,-89.4685364626625
768,150,90,918,77,89,2098,85,190,1211,58,2017-08-01,e86337b0,52.4400213134718,-89.4685364626625
472,0,80,472,90,360,1168,61,151,1098,31,2017-09-01,e86337b0,52.4400213134718,-89.4685364626625
247,0,-20,247,54,360,711,-7,71,670,20,2017-10-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,20,0,48,360,394,-142,-57,302,4,2017-11-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,10,0,35,360,356,-251,-153,164,0,2017-12-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,10,0,35,360,413,-266,-149,147,1,2018-01-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,-10,0,22,360,923,-290,-138,107,2,2018-02-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,-20,0,30,360,1562,-195,-30,194,10,2018-03-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,0,0,37,360,2280,-132,20,269,21,2018-04-01,e86337b0,52.4400213134718,-89.4685364626625
896,0,0,896,60,360,2344,10,158,720,49,2018-05-01,e86337b0,52.4400213134718,-89.4685364626625
950,136,-50,1086,76,132,2516,82,200,1135,80,2018-06-01,e86337b0,52.4400213134718,-89.4685364626625
1089,99,-40,1188,110,92,2217,126,238,1480,77,2018-07-01,e86337b0,52.4400213134718,-89.4685364626625
914,38,-30,952,95,81,2051,98,208,1372,63,2018-08-01,e86337b0,52.4400213134718,-89.4685364626625
428,0,10,428,90,360,1185,40,129,1001,24,2018-09-01,e86337b0,52.4400213134718,-89.4685364626625
15,0,70,15,58,360,559,-34,18,521,6,2018-10-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,-40,0,29,360,358,-150,-76,284,0,2018-11-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,-70,0,24,360,315,-192,-100,230,0,2018-12-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,-90,0,26,360,478,-282,-171,104,1,2019-01-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,-70,0,26,360,888,-264,-132,113,3,2019-02-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,30,0,44,360,1371,-174,-25,228,11,2019-03-01,e86337b0,52.4400213134718,-89.4685364626625
23,0,0,23,40,360,2166,-79,49,318,29,2019-04-01,e86337b0,52.4400213134718,-89.4685364626625
802,0,-10,802,48,360,2239,-8,115,556,41,2019-05-01,e86337b0,52.4400213134718,-89.4685364626625
985,86,-10,1071,85,213,2502,76,192,1020,62,2019-06-01,e86337b0,52.4400213134718,-89.4685364626625
1271,0,110,1271,157,360,2383,132,239,1462,79,2019-07-01,e86337b0,52.4400213134718,-89.4685364626625
916,0,140,916,101,360,1797,100,203,1343,47,2019-08-01,e86337b0,52.4400213134718,-89.4685364626625
457,0,160,457,67,360,1178,54,141,1054,20,2019-09-01,e86337b0,52.4400213134718,-89.4685364626625
198,0,240,198,90,360,645,-11,58,634,11,2019-10-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,190,0,34,360,384,-129,-58,299,1,2019-11-01,e86337b0,52.4400213134718,-89.4685364626625
0,0,150,0,26,360,314,-208,-114,187,0,2019-12-01,e86337b0,52.4400213134718,-89.4685364626625
