aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-284,0,89,212,471,-317,-192,86,0,2015-01-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-344,0,12,212,986,-336,-198,48,3,2015-02-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-416,0,11,212,1533,-239,-94,143,5,2015-03-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-456,0,17,212,2034,-123,-1,331,9,2015-04-01,e96e076f,52.4608275510905,-66.8654493403072
627,0,-455,668,49,212,1939,-25,88,521,30,2015-05-01,e96e076f,52.4608275510905,-66.8654493403072
852,171,-494,1024,61,78,2158,37,168,815,54,2015-06-01,e96e076f,52.4608275510905,-66.8654493403072
925,0,-403,925,131,212,1794,80,183,1121,47,2015-07-01,e96e076f,52.4608275510905,-66.8654493403072
815,0,-377,815,100,212,1603,84,193,1219,46,2015-08-01,e96e076f,52.4608275510905,-66.8654493403072
438,0,-270,438,123,212,1276,24,130,916,20,2015-09-01,e96e076f,52.4608275510905,-66.8654493403072
1,0,-279,14,57,212,780,-49,30,481,11,2015-10-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-280,0,60,212,364,-120,-37,338,2,2015-11-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-352,0,28,212,303,-201,-103,276,0,2015-12-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-370,0,35,212,420,-244,-132,147,1,2016-01-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-350,0,34,212,845,-270,-124,144,2,2016-02-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-380,0,25,212,1607,-225,-83,167,5,2016-03-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-350,0,38,212,2154,-135,-13,288,9,2016-04-01,e96e076f,52.4608275510905,-66.8654493403072
690,0,-390,690,43,212,2226,-21,103,581,33,2016-05-01,e96e076f,52.4608275510905,-66.8654493403072
826,29,-390,855,75,163,1878,41,159,867,41,2016-06-01,e96e076f,52.4608275510905,-66.8654493403072
970,0,-350,970,117,212,2052,82,189,1145,45,2016-07-01,e96e076f,52.4608275510905,-66.8654493403072
815,0,-260,815,133,212,1512,75,188,1114,39,2016-08-01,e96e076f,52.4608275510905,-66.8654493403072
466,0,-270,466,83,212,1106,20,119,835,18,2016-09-01,e96e076f,52.4608275510905,-66.8654493403072
30,0,-170,30,94,212,658,-40,36,539,9,2016-10-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-210,0,51,212,386,-110,-27,389,0,2016-11-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-270,0,38,212,325,-251,-142,136,1,2016-12-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-240,0,52,212,442,-245,-132,167,0,2017-01-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-260,0,27,212,918,-265,-132,144,1,2017-02-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-290,0,26,212,1563,-224,-79,169,6,2017-03-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-300,0,31,212,1983,-111,2,334,13,2017-04-01,e96e076f,52.4608275510905,-66.8654493403072
617,0,-300,617,54,212,2099,-28,90,545,33,2017-05-01,e96e076f,52.4608275510905,-66.8654493403072
873,0,-160,873,126,212,2115,41,155,864,42,2017-06-01,e96e076f,52.4608275510905,-66.8654493403072
1064,0,-130,1064,121,212,2081,76,193,1059,50,2017-07-01,e96e076f,52.4608275510905,-66.8654493403072
803,0,-60,803,129,212,1451,68,177,1036,34,2017-08-01,e96e076f,52.4608275510905,-66.8654493403072
502,0,-130,502,68,212,1313,28,127,865,20,2017-09-01,e96e076f,52.4608275510905,-66.8654493403072
276,0,-120,276,94,212,649,-15,68,602,11,2017-10-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-120,0,66,212,376,-126,-41,293,3,2017-11-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-110,0,61,212,301,-222,-117,184,0,2017-12-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-110,0,50,212,484,-278,-163,117,1,2018-01-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-140,0,27,212,953,-282,-136,114,2,2018-02-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-170,0,30,212,1501,-142,-27,267,6,2018-03-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-150,0,43,212,2016,-126,-10,268,11,2018-04-01,e96e076f,52.4608275510905,-66.8654493403072
295,0,-90,295,55,212,2525,-49,67,433,24,2018-05-01,e96e076f,52.4608275510905,-66.8654493403072
980,0,-90,980,83,212,2456,21,143,679,47,2018-06-01,e96e076f,52.4608275510905,-66.8654493403072
1074,7,-100,1081,112,201,2101,90,210,1218,55,2018-07-01,e96e076f,52.4608275510905,-66.8654493403072
916,0,-130,916,105,212,1735,79,193,1105,50,2018-08-01,e96e076f,52.4608275510905,-66.8654493403072
555,0,-120,555,103,212,1406,17,117,776,27,2018-09-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-100,0,72,212,666,-54,11,429,7,2018-10-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-90,0,68,212,374,-144,-66,290,1,2018-11-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-80,0,61,212,340,-231,-121,187,0,2018-12-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-80,0,51,212,455,-283,-164,110,1,2019-01-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-60,0,43,212,923,-293,-161,96,2,2019-02-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,10,0,49,212,1370,-213,-84,178,4,2019-03-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,20,0,50,212,1965,-111,-2,310,12,2019-04-01,e96e076f,52.4608275510905,-66.8654493403072
458,0,60,458,58,212,2407,-35,73,557,19,2019-05-01,e96e076f,52.4608275510905,-66.8654493403072
804,0,100,804,90,212,2053,35,154,899,37,2019-06-01,e96e076f,52.4608275510905,-66.8654493403072
916,38,60,954,90,147,1910,90,199,1257,48,2019-07-01,e96e076f,52.4608275510905,-66.8654493403072
825,0,80,825,123,212,1689,82,189,1217,42,2019-08-01,e96e076f,52.4608275510905,-66.8654493403072
458,0,-30,458,82,212,1221,20,108,807,20,2019-09-01,e96e076f,52.4608275510905,-66.8654493403072
134,0,-110,134,53,212,771,-21,48,583,11,2019-10-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-80,0,74,212,423,-145,-63,280,1,2019-11-01,e96e076f,52.4608275510905,-66.8654493403072
0,0,-70,0,65,212,309,-222,-114,181,0,2019-12-01,e96e076f,52.4608275510905,-66.8654493403072
