aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,793,0,55,457,473,-279,-142,128,1,2015-01-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,746,0,43,457,1035,-325,-178,89,1,2015-02-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,730,0,60,457,1510,-210,-51,223,5,2015-03-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,737,0,69,457,1850,-88,43,431,14,2015-04-01,e9caa2ee,50.6190891913295,-79.9114119086143
948,0,697,948,82,457,2044,22,158,748,52,2015-05-01,e9caa2ee,50.6190891913295,-79.9114119086143
884,190,608,1073,63,168,2395,59,198,1064,56,2015-06-01,e9caa2ee,50.6190891913295,-79.9114119086143
676,442,468,1119,66,116,2122,108,235,1484,62,2015-07-01,e9caa2ee,50.6190891913295,-79.9114119086143
849,0,502,849,125,452,1575,114,221,1479,53,2015-08-01,e9caa2ee,50.6190891913295,-79.9114119086143
611,0,401,611,73,457,1519,77,192,1270,37,2015-09-01,e9caa2ee,50.6190891913295,-79.9114119086143
229,0,355,239,74,457,754,-11,81,663,16,2015-10-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,241,6,38,457,361,-50,36,579,3,2015-11-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,265,0,69,457,307,-109,-38,431,0,2015-12-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,360,0,88,457,408,-214,-104,222,6,2016-01-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,420,0,62,457,813,-238,-93,186,5,2016-02-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,320,0,21,457,1583,-164,-18,307,11,2016-03-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,220,0,16,457,2056,-106,24,358,16,2016-04-01,e9caa2ee,50.6190891913295,-79.9114119086143
852,0,200,852,66,457,2249,12,156,760,51,2016-05-01,e9caa2ee,50.6190891913295,-79.9114119086143
1005,0,240,1005,109,457,2081,66,203,1079,60,2016-06-01,e9caa2ee,50.6190891913295,-79.9114119086143
1086,17,260,1103,111,427,2156,110,238,1489,68,2016-07-01,e9caa2ee,50.6190891913295,-79.9114119086143
941,0,370,941,138,457,1735,116,239,1535,68,2016-08-01,e9caa2ee,50.6190891913295,-79.9114119086143
633,0,420,633,127,457,1355,76,186,1184,39,2016-09-01,e9caa2ee,50.6190891913295,-79.9114119086143
331,0,450,331,112,457,686,11,98,744,20,2016-10-01,e9caa2ee,50.6190891913295,-79.9114119086143
19,0,480,19,98,457,286,-38,37,587,11,2016-11-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,450,0,61,457,308,-176,-89,265,3,2016-12-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,420,0,50,457,407,-185,-95,266,6,2017-01-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,420,0,45,457,813,-206,-74,236,7,2017-02-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,310,0,17,457,1605,-195,-41,249,9,2017-03-01,e9caa2ee,50.6190891913295,-79.9114119086143
65,0,310,65,58,457,1792,-64,62,484,22,2017-04-01,e9caa2ee,50.6190891913295,-79.9114119086143
663,0,430,663,109,457,1758,19,125,770,34,2017-05-01,e9caa2ee,50.6190891913295,-79.9114119086143
1015,0,470,1015,109,457,2212,76,204,1114,60,2017-06-01,e9caa2ee,50.6190891913295,-79.9114119086143
878,397,350,1275,62,168,2580,93,238,1322,82,2017-07-01,e9caa2ee,50.6190891913295,-79.9114119086143
846,0,380,846,118,438,1689,86,207,1310,55,2017-08-01,e9caa2ee,50.6190891913295,-79.9114119086143
557,0,370,557,105,457,1272,76,183,1226,39,2017-09-01,e9caa2ee,50.6190891913295,-79.9114119086143
314,0,490,314,152,457,743,24,109,846,28,2017-10-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,430,0,61,457,368,-95,-13,422,6,2017-11-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,330,0,33,457,359,-220,-118,235,2,2017-12-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,300,0,47,457,498,-243,-123,174,5,2018-01-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,320,0,49,457,840,-244,-96,184,6,2018-02-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,210,0,12,457,1517,-191,-30,254,8,2018-03-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,160,0,33,457,2172,-124,18,328,18,2018-04-01,e9caa2ee,50.6190891913295,-79.9114119086143
974,0,110,974,60,457,2285,12,173,736,54,2018-05-01,e9caa2ee,50.6190891913295,-79.9114119086143
828,392,-200,1220,57,168,2718,62,212,992,79,2018-06-01,e9caa2ee,50.6190891913295,-79.9114119086143
952,324,-240,1276,95,116,2401,120,256,1549,96,2018-07-01,e9caa2ee,50.6190891913295,-79.9114119086143
546,512,-340,1058,55,90,1967,103,243,1436,71,2018-08-01,e9caa2ee,50.6190891913295,-79.9114119086143
594,0,-290,594,132,457,1245,63,181,1172,35,2018-09-01,e9caa2ee,50.6190891913295,-79.9114119086143
194,0,-160,194,115,457,557,-12,52,614,15,2018-10-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-180,0,51,457,356,-108,-37,420,4,2018-11-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-200,0,39,457,330,-179,-75,296,5,2018-12-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-220,0,33,457,485,-268,-139,103,4,2019-01-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-110,0,59,457,891,-248,-102,131,5,2019-02-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-100,0,40,457,1413,-172,-27,224,11,2019-03-01,e9caa2ee,50.6190891913295,-79.9114119086143
17,0,110,17,55,457,1952,-81,44,374,21,2019-04-01,e9caa2ee,50.6190891913295,-79.9114119086143
831,0,60,831,45,457,2207,-3,128,597,44,2019-05-01,e9caa2ee,50.6190891913295,-79.9114119086143
959,44,60,1003,90,382,2132,61,199,1037,60,2019-06-01,e9caa2ee,50.6190891913295,-79.9114119086143
880,390,-120,1270,70,166,2142,125,259,1518,89,2019-07-01,e9caa2ee,50.6190891913295,-79.9114119086143
758,313,-190,1071,75,115,1829,105,233,1400,67,2019-08-01,e9caa2ee,50.6190891913295,-79.9114119086143
573,0,-230,573,84,341,1279,61,165,1084,33,2019-09-01,e9caa2ee,50.6190891913295,-79.9114119086143
359,0,-290,359,69,457,767,15,98,720,23,2019-10-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-320,0,43,457,436,-97,-21,350,6,2019-11-01,e9caa2ee,50.6190891913295,-79.9114119086143
0,0,-290,0,50,457,327,-178,-72,214,4,2019-12-01,e9caa2ee,50.6190891913295,-79.9114119086143
