aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,849,0,62,381,529,-275,-135,138,0,2015-01-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,799,0,46,381,1104,-320,-173,89,1,2015-02-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,784,0,64,381,1572,-204,-47,224,5,2015-03-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1,0,793,20,74,381,1902,-82,52,444,16,2015-04-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1001,0,741,1001,92,381,2086,23,170,789,54,2015-05-01,ec4ba4c9,49.7779830470574,-78.7385179151611
893,187,643,1080,69,140,2402,59,203,1119,54,2015-06-01,ec4ba4c9,49.7779830470574,-78.7385179151611
726,378,497,1105,72,97,2056,105,235,1487,60,2015-07-01,ec4ba4c9,49.7779830470574,-78.7385179151611
858,0,519,858,145,381,1570,113,218,1465,52,2015-08-01,ec4ba4c9,49.7779830470574,-78.7385179151611
642,0,407,642,82,381,1580,79,194,1287,37,2015-09-01,ec4ba4c9,49.7779830470574,-78.7385179151611
227,0,356,238,78,381,799,-9,77,672,14,2015-10-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,229,4,39,381,380,-50,37,600,1,2015-11-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,263,0,79,381,325,-99,-30,466,0,2015-12-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,360,0,95,381,447,-208,-99,230,5,2016-01-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,410,0,61,381,881,-231,-85,203,5,2016-02-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,350,0,37,381,1589,-156,-10,315,12,2016-03-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,260,0,22,381,2137,-103,35,358,18,2016-04-01,ec4ba4c9,49.7779830470574,-78.7385179151611
883,0,260,883,87,381,2270,9,160,769,50,2016-05-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1049,16,280,1065,108,354,2205,69,206,1093,61,2016-06-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1101,0,340,1101,142,381,2108,111,237,1490,64,2016-07-01,ec4ba4c9,49.7779830470574,-78.7385179151611
962,0,390,962,135,381,1749,117,238,1540,64,2016-08-01,ec4ba4c9,49.7779830470574,-78.7385179151611
670,0,360,670,110,381,1439,76,185,1180,36,2016-09-01,ec4ba4c9,49.7779830470574,-78.7385179151611
345,0,350,345,103,381,778,13,98,754,19,2016-10-01,ec4ba4c9,49.7779830470574,-78.7385179151611
13,0,380,13,97,381,295,-41,33,577,8,2016-11-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,360,0,66,381,331,-171,-80,274,3,2016-12-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,350,0,59,381,452,-181,-86,269,5,2017-01-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,380,0,55,381,853,-199,-66,253,6,2017-02-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,280,0,23,381,1620,-189,-38,255,10,2017-03-01,ec4ba4c9,49.7779830470574,-78.7385179151611
164,0,310,164,75,381,1776,-54,70,516,23,2017-04-01,ec4ba4c9,49.7779830470574,-78.7385179151611
642,0,520,642,150,381,1608,14,132,799,27,2017-05-01,ec4ba4c9,49.7779830470574,-78.7385179151611
968,53,490,1021,92,290,2264,73,204,1143,56,2017-06-01,ec4ba4c9,49.7779830470574,-78.7385179151611
882,416,360,1298,77,135,2657,93,237,1349,76,2017-07-01,ec4ba4c9,49.7779830470574,-78.7385179151611
827,0,450,827,167,381,1630,85,205,1329,45,2017-08-01,ec4ba4c9,49.7779830470574,-78.7385179151611
569,0,370,569,83,381,1369,75,183,1259,35,2017-09-01,ec4ba4c9,49.7779830470574,-78.7385179151611
302,0,470,302,143,381,788,23,111,883,26,2017-10-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,410,0,67,381,356,-95,-9,437,5,2017-11-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,310,0,44,381,393,-215,-113,244,2,2017-12-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,320,0,64,381,536,-238,-115,190,4,2018-01-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,320,0,45,381,899,-229,-82,213,6,2018-02-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,200,0,13,381,1576,-180,-30,266,10,2018-03-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,170,0,39,381,2172,-114,26,347,21,2018-04-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1019,0,70,1019,49,381,2376,12,179,769,58,2018-05-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1181,75,-170,1256,111,252,2772,63,214,1032,82,2018-06-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1197,93,-190,1290,117,164,2357,120,257,1540,90,2018-07-01,ec4ba4c9,49.7779830470574,-78.7385179151611
734,340,-290,1074,71,107,2045,106,241,1479,72,2018-08-01,ec4ba4c9,49.7779830470574,-78.7385179151611
615,0,-270,615,140,381,1344,66,184,1220,37,2018-09-01,ec4ba4c9,49.7779830470574,-78.7385179151611
210,0,-80,210,149,381,579,-9,55,643,14,2018-10-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,-120,0,52,381,360,-106,-36,436,3,2018-11-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,-120,0,58,381,362,-180,-72,304,4,2018-12-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,-130,0,42,381,559,-267,-140,109,3,2019-01-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,140,0,68,381,949,-243,-99,142,5,2019-02-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,120,0,39,381,1478,-170,-28,215,12,2019-03-01,ec4ba4c9,49.7779830470574,-78.7385179151611
20,0,250,20,93,381,1867,-80,48,387,21,2019-04-01,ec4ba4c9,49.7779830470574,-78.7385179151611
806,0,190,806,51,381,2185,-14,126,609,40,2019-05-01,ec4ba4c9,49.7779830470574,-78.7385179151611
1028,0,270,1028,147,381,2212,61,200,1058,59,2019-06-01,ec4ba4c9,49.7779830470574,-78.7385179151611
976,316,170,1292,77,140,2275,119,252,1480,83,2019-07-01,ec4ba4c9,49.7779830470574,-78.7385179151611
953,63,110,1016,97,112,1844,98,224,1390,58,2019-08-01,ec4ba4c9,49.7779830470574,-78.7385179151611
549,0,-170,549,100,381,1238,60,163,1111,29,2019-09-01,ec4ba4c9,49.7779830470574,-78.7385179151611
335,0,-120,335,100,381,749,11,92,728,19,2019-10-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,-150,0,58,381,487,-111,-34,345,3,2019-11-01,ec4ba4c9,49.7779830470574,-78.7385179151611
0,0,-140,0,59,381,358,-173,-66,229,4,2019-12-01,ec4ba4c9,49.7779830470574,-78.7385179151611
