aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,70,0,26,295,383,-285,-178,131,0,2015-01-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,-25,0,13,295,889,-330,-221,47,3,2015-02-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,5,0,24,295,1491,-201,-63,209,5,2015-03-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,35,0,31,295,1969,-94,28,383,14,2015-04-01,ec81f063,54.5115931500062,-90.5132793295963
782,0,8,799,45,295,2488,-16,102,570,33,2015-05-01,ec81f063,54.5115931500062,-90.5132793295963
815,243,-21,1059,63,108,2534,61,178,987,50,2015-06-01,ec81f063,54.5115931500062,-90.5132793295963
982,193,62,1175,100,75,2330,114,220,1399,61,2015-07-01,ec81f063,54.5115931500062,-90.5132793295963
704,0,174,704,106,295,1614,97,186,1377,30,2015-08-01,ec81f063,54.5115931500062,-90.5132793295963
405,0,264,405,84,295,1108,62,144,1106,19,2015-09-01,ec81f063,54.5115931500062,-90.5132793295963
64,0,219,106,47,295,678,-21,50,602,10,2015-10-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,340,0,66,295,281,-81,-27,423,0,2015-11-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,302,0,29,295,234,-154,-97,299,0,2015-12-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,280,0,28,295,342,-251,-161,159,0,2016-01-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,220,0,13,295,875,-271,-149,142,0,2016-02-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,180,0,21,295,1523,-186,-44,238,8,2016-03-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,130,0,16,295,2287,-115,11,339,14,2016-04-01,ec81f063,54.5115931500062,-90.5132793295963
748,0,130,748,47,295,2280,5,118,660,41,2016-05-01,ec81f063,54.5115931500062,-90.5132793295963
924,71,180,995,82,173,2452,64,173,993,58,2016-06-01,ec81f063,54.5115931500062,-90.5132793295963
1029,41,250,1070,105,140,2192,118,212,1380,68,2016-07-01,ec81f063,54.5115931500062,-90.5132793295963
797,29,240,826,82,122,1812,99,191,1333,43,2016-08-01,ec81f063,54.5115931500062,-90.5132793295963
449,0,190,449,68,295,1123,61,134,1029,22,2016-09-01,ec81f063,54.5115931500062,-90.5132793295963
80,0,280,80,80,295,455,-17,38,618,5,2016-10-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,250,0,38,295,347,-67,-2,439,4,2016-11-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,170,0,21,295,266,-232,-151,164,0,2016-12-01,ec81f063,54.5115931500062,-90.5132793295963
0,0,140,0,25,295,345,-243,-149,157,0,2017-01-01,ec81f063,54.5115931500062,-90.5132793295963
