aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-509,0,18,197,248,-246,-140,122,2,2015-01-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-452,0,20,197,741,-288,-176,73,3,2015-02-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-423,0,18,197,1442,-174,-40,194,11,2015-03-01,ecc3fced,57.3663802638915,-105.837136279579
1,0,-287,21,40,258,2214,-86,46,273,31,2015-04-01,ecc3fced,57.3663802638915,-105.837136279579
1118,0,-374,1132,15,372,2904,-18,134,386,65,2015-05-01,ecc3fced,57.3663802638915,-105.837136279579
883,456,-333,1340,67,137,2678,71,204,850,86,2015-06-01,ecc3fced,57.3663802638915,-105.837136279579
795,465,-346,1259,79,95,2449,101,217,1167,75,2015-07-01,ecc3fced,57.3663802638915,-105.837136279579
493,469,-407,962,50,73,1916,91,203,1127,65,2015-08-01,ecc3fced,57.3663802638915,-105.837136279579
466,0,-345,466,74,308,1115,34,130,830,31,2015-09-01,ecc3fced,57.3663802638915,-105.837136279579
143,0,-315,184,44,372,634,-16,57,533,20,2015-10-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-257,0,32,372,283,-115,-40,312,4,2015-11-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-286,0,12,372,144,-177,-108,213,0,2015-12-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-310,0,16,372,240,-219,-122,157,5,2016-01-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-300,0,16,372,700,-227,-113,159,7,2016-02-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-260,0,23,372,1317,-152,-43,228,13,2016-03-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-200,0,27,372,2053,-94,33,258,27,2016-04-01,ecc3fced,57.3663802638915,-105.837136279579
1010,0,-220,1010,31,372,2499,18,146,589,69,2016-05-01,ecc3fced,57.3663802638915,-105.837136279579
759,472,-230,1231,55,137,2502,80,200,921,76,2016-06-01,ecc3fced,57.3663802638915,-105.837136279579
1211,0,-70,1211,133,186,2359,112,220,1240,79,2016-07-01,ecc3fced,57.3663802638915,-105.837136279579
658,291,-90,949,62,113,1825,93,198,1122,62,2016-08-01,ecc3fced,57.3663802638915,-105.837136279579
512,25,-130,537,53,104,1032,43,135,824,32,2016-09-01,ecc3fced,57.3663802638915,-105.837136279579
12,0,120,12,67,163,575,-31,8,462,16,2016-10-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,110,0,25,163,281,-81,-13,372,8,2016-11-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,70,0,17,163,170,-243,-157,126,2,2016-12-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-30,0,17,163,249,-221,-120,135,2,2017-01-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-70,0,16,163,637,-213,-118,162,6,2017-02-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-70,0,20,163,1395,-197,-83,185,8,2017-03-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,40,0,29,163,2183,-87,23,268,29,2017-04-01,ecc3fced,57.3663802638915,-105.837136279579
927,0,80,927,44,372,2253,10,129,511,57,2017-05-01,ecc3fced,57.3663802638915,-105.837136279579
892,233,130,1125,69,137,2373,72,182,841,76,2017-06-01,ecc3fced,57.3663802638915,-105.837136279579
760,575,-80,1335,76,95,2549,107,230,1161,86,2017-07-01,ecc3fced,57.3663802638915,-105.837136279579
655,478,-160,1133,67,73,2112,93,218,1062,87,2017-08-01,ecc3fced,57.3663802638915,-105.837136279579
596,0,-140,596,75,186,1112,49,146,844,40,2017-09-01,ecc3fced,57.3663802638915,-105.837136279579
100,0,-130,100,42,323,507,-24,39,491,17,2017-10-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-110,0,31,323,306,-185,-111,171,6,2017-11-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-130,0,15,323,175,-234,-137,156,1,2017-12-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-90,0,27,323,264,-256,-161,109,3,2018-01-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-120,0,14,323,735,-284,-165,82,4,2018-02-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-100,0,21,323,1393,-194,-69,155,11,2018-03-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-130,0,15,323,2152,-130,3,219,25,2018-04-01,ecc3fced,57.3663802638915,-105.837136279579
1058,0,-200,1058,23,372,2454,14,154,539,73,2018-05-01,ecc3fced,57.3663802638915,-105.837136279579
746,393,-200,1139,54,137,2314,86,200,1030,76,2018-06-01,ecc3fced,57.3663802638915,-105.837136279579
1049,173,-140,1222,106,95,2308,105,214,1160,85,2018-07-01,ecc3fced,57.3663802638915,-105.837136279579
779,159,-120,938,80,73,1865,82,189,1062,69,2018-08-01,ecc3fced,57.3663802638915,-105.837136279579
418,0,-120,418,53,160,1194,-3,75,612,25,2018-09-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-100,0,38,160,725,-58,18,371,19,2018-10-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-100,0,26,160,300,-166,-101,211,5,2018-11-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-110,0,19,160,165,-205,-117,166,2,2018-12-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,40,0,30,160,266,-280,-173,77,3,2019-01-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-60,0,9,160,739,-312,-199,43,4,2019-02-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,-120,0,8,160,1407,-152,-23,206,15,2019-03-01,ecc3fced,57.3663802638915,-105.837136279579
22,0,70,22,35,215,1995,-75,42,274,31,2019-04-01,ecc3fced,57.3663802638915,-105.837136279579
952,0,0,952,34,372,2586,-9,109,394,55,2019-05-01,ecc3fced,57.3663802638915,-105.837136279579
970,34,220,1004,94,314,2185,68,181,866,67,2019-06-01,ecc3fced,57.3663802638915,-105.837136279579
749,562,70,1311,60,135,2501,103,213,1056,84,2019-07-01,ecc3fced,57.3663802638915,-105.837136279579
758,0,300,758,137,372,1398,75,181,1130,43,2019-08-01,ecc3fced,57.3663802638915,-105.837136279579
446,48,260,494,38,290,1130,43,129,853,31,2019-09-01,ecc3fced,57.3663802638915,-105.837136279579
16,0,270,16,26,303,661,-46,24,405,18,2019-10-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,240,0,25,303,289,-142,-67,231,6,2019-11-01,ecc3fced,57.3663802638915,-105.837136279579
0,0,200,0,19,303,177,-232,-137,124,3,2019-12-01,ecc3fced,57.3663802638915,-105.837136279579
