aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,137,0,24,347,356,-284,-177,131,0,2015-01-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,95,0,9,347,855,-330,-226,48,2,2015-02-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,84,0,24,347,1474,-201,-65,199,5,2015-03-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,91,0,27,347,1999,-94,26,372,15,2015-04-01,ecfe7f71,54.9773660506693,-91.6899977108655
806,0,95,824,50,347,2525,-18,103,548,35,2015-05-01,ecfe7f71,54.9773660506693,-91.6899977108655
779,275,61,1054,56,128,2546,61,177,998,49,2015-06-01,ecfe7f71,54.9773660506693,-91.6899977108655
987,170,92,1157,100,88,2433,109,216,1407,54,2015-07-01,ecfe7f71,54.9773660506693,-91.6899977108655
713,0,223,713,118,347,1563,100,188,1373,33,2015-08-01,ecfe7f71,54.9773660506693,-91.6899977108655
400,0,371,400,90,347,1034,64,143,1103,20,2015-09-01,ecfe7f71,54.9773660506693,-91.6899977108655
67,0,357,106,39,347,665,-19,50,613,9,2015-10-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,472,0,71,347,281,-83,-29,418,0,2015-11-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,411,0,28,347,220,-161,-101,301,0,2015-12-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,380,0,29,347,323,-247,-160,169,0,2016-01-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,330,0,13,347,841,-271,-152,134,1,2016-02-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,290,0,22,347,1490,-184,-46,235,8,2016-03-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,190,0,5,347,2379,-118,13,317,16,2016-04-01,ecfe7f71,54.9773660506693,-91.6899977108655
772,0,180,772,48,347,2320,7,122,665,43,2016-05-01,ecfe7f71,54.9773660506693,-91.6899977108655
931,66,220,997,84,233,2525,63,173,1011,60,2016-06-01,ecfe7f71,54.9773660506693,-91.6899977108655
1024,0,310,1024,119,343,2176,112,211,1410,62,2016-07-01,ecfe7f71,54.9773660506693,-91.6899977108655
829,15,340,844,85,318,1847,98,195,1341,44,2016-08-01,ecfe7f71,54.9773660506693,-91.6899977108655
442,0,360,442,59,347,1106,61,138,1058,24,2016-09-01,ecfe7f71,54.9773660506693,-91.6899977108655
53,0,570,53,98,347,431,-19,33,617,5,2016-10-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,490,0,26,347,350,-64,1,459,3,2016-11-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,390,0,19,347,254,-238,-156,164,0,2016-12-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,320,0,22,347,325,-240,-148,165,0,2017-01-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,370,0,30,347,769,-240,-136,168,0,2017-02-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,440,0,49,347,1361,-214,-73,191,5,2017-03-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,370,0,17,347,2028,-98,26,352,18,2017-04-01,ecfe7f71,54.9773660506693,-91.6899977108655
707,0,330,707,40,347,2283,-6,98,585,42,2017-05-01,ecfe7f71,54.9773660506693,-91.6899977108655
855,109,310,964,67,160,2342,63,171,961,57,2017-06-01,ecfe7f71,54.9773660506693,-91.6899977108655
642,565,190,1207,61,101,2560,102,216,1290,81,2017-07-01,ecfe7f71,54.9773660506693,-91.6899977108655
348,591,-200,939,34,75,2138,90,187,1176,56,2017-08-01,ecfe7f71,54.9773660506693,-91.6899977108655
496,0,-160,496,72,259,1141,57,139,989,27,2017-09-01,ecfe7f71,54.9773660506693,-91.6899977108655
113,0,-150,113,52,347,568,-17,45,617,8,2017-10-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,-90,0,42,347,357,-159,-83,243,4,2017-11-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,-100,0,27,347,273,-263,-169,144,0,2017-12-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,50,0,37,347,362,-284,-187,120,-1,2018-01-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,-40,0,6,347,862,-311,-183,89,0,2018-02-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,-100,0,9,347,1528,-207,-64,165,6,2018-03-01,ecfe7f71,54.9773660506693,-91.6899977108655
0,0,-120,0,17,347,2256,-144,-6,261,16,2018-04-01,ecfe7f71,54.9773660506693,-91.6899977108655
870,0,-250,870,9,347,2641,0,131,645,50,2018-05-01,ecfe7f71,54.9773660506693,-91.6899977108655
499,536,-360,1035,29,128,2600,78,181,1089,85,2018-06-01,ecfe7f71,54.9773660506693,-91.6899977108655
914,202,-310,1116,92,88,2326,115,214,1396,64,2018-07-01,ecfe7f71,54.9773660506693,-91.6899977108655
764,76,-260,840,78,68,1864,93,188,1291,55,2018-08-01,ecfe7f71,54.9773660506693,-91.6899977108655
381,0,-120,381,93,347,1028,26,102,839,18,2018-09-01,ecfe7f71,54.9773660506693,-91.6899977108655
