aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-352,0,19,113,336,-224,-121,203,0,2015-01-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-322,0,19,113,810,-276,-153,100,3,2015-02-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-302,0,21,113,1444,-138,-7,284,11,2015-03-01,edfe42b3,55.0322842930286,-103.714626593808
62,0,-223,198,35,545,2155,-60,71,380,32,2015-04-01,edfe42b3,55.0322842930286,-103.714626593808
1078,44,-278,1122,17,478,2782,-11,145,496,61,2015-05-01,edfe42b3,55.0322842930286,-103.714626593808
973,315,-270,1288,75,213,2671,75,216,1039,77,2015-06-01,edfe42b3,55.0322842930286,-103.714626593808
870,512,-280,1382,85,148,2656,118,239,1365,82,2015-07-01,edfe42b3,55.0322842930286,-103.714626593808
701,300,-276,1001,70,115,1962,99,223,1303,66,2015-08-01,edfe42b3,55.0322842930286,-103.714626593808
490,0,-241,490,66,251,1153,49,157,1016,31,2015-09-01,edfe42b3,55.0322842930286,-103.714626593808
259,0,-209,263,38,353,705,2,90,667,22,2015-10-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-189,0,32,353,340,-82,-11,404,5,2015-11-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-193,0,15,353,224,-154,-85,267,0,2015-12-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-200,0,18,269,340,-209,-110,209,0,2016-01-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-180,0,19,269,775,-207,-82,228,6,2016-02-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-120,0,35,269,1378,-124,-6,293,15,2016-03-01,edfe42b3,55.0322842930286,-103.714626593808
55,0,-80,55,24,369,2158,-74,63,373,33,2016-04-01,edfe42b3,55.0322842930286,-103.714626593808
1001,0,-100,1001,30,591,2362,27,167,724,67,2016-05-01,edfe42b3,55.0322842930286,-103.714626593808
991,218,-130,1209,65,217,2480,83,214,1091,71,2016-06-01,edfe42b3,55.0322842930286,-103.714626593808
1146,0,160,1146,153,527,2140,120,237,1448,67,2016-07-01,edfe42b3,55.0322842930286,-103.714626593808
921,115,210,1036,79,360,2003,99,218,1275,64,2016-08-01,edfe42b3,55.0322842930286,-103.714626593808
568,14,190,582,59,348,1219,48,164,990,39,2016-09-01,edfe42b3,55.0322842930286,-103.714626593808
129,0,390,129,91,591,492,-12,41,597,11,2016-10-01,edfe42b3,55.0322842930286,-103.714626593808
4,0,410,4,25,591,364,-51,21,481,8,2016-11-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,360,0,11,591,242,-224,-139,167,1,2016-12-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,330,0,19,591,360,-213,-113,209,0,2017-01-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,260,0,12,591,776,-194,-91,219,4,2017-02-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,260,0,29,591,1332,-166,-42,253,8,2017-03-01,edfe42b3,55.0322842930286,-103.714626593808
46,0,270,46,28,591,2174,-64,52,403,27,2017-04-01,edfe42b3,55.0322842930286,-103.714626593808
919,0,330,919,61,591,2054,16,145,620,51,2017-05-01,edfe42b3,55.0322842930286,-103.714626593808
924,131,360,1055,74,366,2097,77,198,996,62,2017-06-01,edfe42b3,55.0322842930286,-103.714626593808
743,703,230,1446,60,197,2745,118,254,1338,89,2017-07-01,edfe42b3,55.0322842930286,-103.714626593808
419,762,70,1181,38,141,2194,91,237,1201,90,2017-08-01,edfe42b3,55.0322842930286,-103.714626593808
593,70,-220,663,60,122,1362,51,172,956,48,2017-09-01,edfe42b3,55.0322842930286,-103.714626593808
296,0,-190,296,45,252,641,-12,70,578,23,2017-10-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-190,0,28,252,376,-154,-76,246,6,2017-11-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-240,0,9,252,271,-220,-122,201,0,2017-12-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-200,0,33,252,341,-245,-149,159,0,2018-01-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-230,0,7,252,884,-279,-148,104,3,2018-02-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-150,0,37,252,1510,-170,-36,223,13,2018-03-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-180,0,5,252,2271,-110,31,319,24,2018-04-01,edfe42b3,55.0322842930286,-103.714626593808
1101,0,-240,1101,21,484,2566,20,179,689,82,2018-05-01,edfe42b3,55.0322842930286,-103.714626593808
768,374,-280,1142,52,213,2240,92,217,1151,68,2018-06-01,edfe42b3,55.0322842930286,-103.714626593808
1169,50,-190,1219,121,191,2216,116,234,1363,73,2018-07-01,edfe42b3,55.0322842930286,-103.714626593808
688,289,-190,977,67,138,1855,89,212,1235,57,2018-08-01,edfe42b3,55.0322842930286,-103.714626593808
374,0,-160,374,55,283,1206,12,104,858,24,2018-09-01,edfe42b3,55.0322842930286,-103.714626593808
48,0,-100,48,28,322,757,-49,49,462,14,2018-10-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-70,0,31,322,356,-141,-75,281,2,2018-11-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,100,0,17,322,247,-184,-98,226,0,2018-12-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,120,0,24,322,360,-265,-155,117,1,2019-01-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,70,0,11,322,842,-297,-173,85,2,2019-02-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,-110,0,6,322,1512,-135,5,267,16,2019-03-01,edfe42b3,55.0322842930286,-103.714626593808
209,0,-110,209,21,591,2105,-54,69,385,32,2019-04-01,edfe42b3,55.0322842930286,-103.714626593808
982,0,-120,982,29,591,2566,2,132,522,55,2019-05-01,edfe42b3,55.0322842930286,-103.714626593808
1034,0,130,1034,121,591,2229,76,199,1000,69,2019-06-01,edfe42b3,55.0322842930286,-103.714626593808
1172,0,240,1172,126,591,2307,110,228,1357,69,2019-07-01,edfe42b3,55.0322842930286,-103.714626593808
907,6,350,913,94,580,1790,84,204,1265,49,2019-08-01,edfe42b3,55.0322842930286,-103.714626593808
484,53,300,537,42,491,1162,49,156,968,36,2019-09-01,edfe42b3,55.0322842930286,-103.714626593808
99,0,300,99,25,518,772,-39,51,476,19,2019-10-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,270,0,16,518,377,-127,-48,278,5,2019-11-01,edfe42b3,55.0322842930286,-103.714626593808
0,0,270,0,21,518,250,-216,-116,169,1,2019-12-01,edfe42b3,55.0322842930286,-103.714626593808
