aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,214,0,74,673,183,-100,-28,377,2,2015-01-01,f089dc4c,55.584378020797,-123.761158720656
0,0,355,0,94,673,529,-108,-21,327,7,2015-02-01,f089dc4c,55.584378020797,-123.761158720656
2,0,304,25,33,673,1060,-65,49,408,22,2015-03-01,f089dc4c,55.584378020797,-123.761158720656
560,0,228,595,19,673,1651,-27,92,438,40,2015-04-01,f089dc4c,55.584378020797,-123.761158720656
790,282,63,1073,21,248,2389,20,173,623,72,2015-05-01,f089dc4c,55.584378020797,-123.761158720656
510,656,-256,1167,46,171,2380,70,203,900,80,2015-06-01,f089dc4c,55.584378020797,-123.761158720656
677,561,-249,1239,67,133,2405,80,221,1045,83,2015-07-01,f089dc4c,55.584378020797,-123.761158720656
833,96,-171,929,85,112,1767,71,210,981,78,2015-08-01,f089dc4c,55.584378020797,-123.761158720656
147,326,-257,472,14,95,1158,21,137,747,40,2015-09-01,f089dc4c,55.584378020797,-123.761158720656
224,0,-309,228,35,202,618,-4,91,630,25,2015-10-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-357,0,46,202,327,-87,-12,328,11,2015-11-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-340,0,66,202,173,-121,-53,285,4,2015-12-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-330,0,54,173,234,-118,-38,316,8,2016-01-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-280,0,46,173,530,-91,3,369,15,2016-02-01,f089dc4c,55.584378020797,-123.761158720656
19,0,-260,19,35,336,1072,-67,48,393,25,2016-03-01,f089dc4c,55.584378020797,-123.761158720656
535,0,-270,535,20,673,1598,-22,101,516,45,2016-04-01,f089dc4c,55.584378020797,-123.761158720656
795,158,-280,953,49,401,2188,19,158,620,63,2016-05-01,f089dc4c,55.584378020797,-123.761158720656
815,245,-270,1060,67,221,2307,63,196,911,68,2016-06-01,f089dc4c,55.584378020797,-123.761158720656
668,361,-240,1029,64,159,1992,88,216,1129,72,2016-07-01,f089dc4c,55.584378020797,-123.761158720656
648,283,-210,931,65,126,1766,79,216,1044,80,2016-08-01,f089dc4c,55.584378020797,-123.761158720656
525,0,-170,525,59,164,1103,28,147,793,43,2016-09-01,f089dc4c,55.584378020797,-123.761158720656
205,0,-150,205,52,438,500,-17,62,542,20,2016-10-01,f089dc4c,55.584378020797,-123.761158720656
3,0,-150,3,48,468,225,-52,14,469,13,2016-11-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-120,0,56,468,213,-158,-78,152,6,2016-12-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-100,0,59,468,260,-128,-33,242,6,2017-01-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-90,0,43,468,580,-132,-30,195,9,2017-02-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-70,0,39,468,1057,-115,-4,283,16,2017-03-01,f089dc4c,55.584378020797,-123.761158720656
483,0,-90,483,20,673,1647,-32,87,436,37,2017-04-01,f089dc4c,55.584378020797,-123.761158720656
819,81,-100,900,47,534,2047,19,157,624,58,2017-05-01,f089dc4c,55.584378020797,-123.761158720656
940,211,-100,1151,72,279,2506,50,185,771,72,2017-06-01,f089dc4c,55.584378020797,-123.761158720656
760,412,-100,1172,70,184,2443,70,205,969,75,2017-07-01,f089dc4c,55.584378020797,-123.761158720656
533,492,-130,1025,52,140,2024,68,219,968,83,2017-08-01,f089dc4c,55.584378020797,-123.761158720656
465,106,-140,571,46,115,1253,38,164,823,52,2017-09-01,f089dc4c,55.584378020797,-123.761158720656
302,0,-150,302,58,363,663,-11,76,508,28,2017-10-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-140,0,64,363,244,-100,-33,288,10,2017-11-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-110,0,53,363,228,-131,-44,276,5,2017-12-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-90,0,62,363,194,-132,-54,290,5,2018-01-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-70,0,43,363,629,-158,-48,195,8,2018-02-01,f089dc4c,55.584378020797,-123.761158720656
0,0,10,0,39,363,1142,-105,16,283,21,2018-03-01,f089dc4c,55.584378020797,-123.761158720656
273,0,20,273,20,673,1867,-50,72,383,38,2018-04-01,f089dc4c,55.584378020797,-123.761158720656
1030,0,-30,1030,43,673,2474,24,170,643,83,2018-05-01,f089dc4c,55.584378020797,-123.761158720656
893,153,0,1046,66,410,2252,56,185,857,70,2018-06-01,f089dc4c,55.584378020797,-123.761158720656
730,434,-60,1164,57,223,2327,77,222,1003,80,2018-07-01,f089dc4c,55.584378020797,-123.761158720656
631,424,-80,1055,60,160,2034,66,212,938,93,2018-08-01,f089dc4c,55.584378020797,-123.761158720656
458,44,-80,502,47,148,1188,8,122,653,35,2018-09-01,f089dc4c,55.584378020797,-123.761158720656
235,0,-110,235,46,347,765,-17,74,512,30,2018-10-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-120,0,58,347,217,-61,0,423,7,2018-11-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-100,0,52,347,180,-123,-45,286,8,2018-12-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-80,0,62,347,203,-94,-9,343,9,2019-01-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-120,0,25,347,705,-213,-114,110,7,2019-02-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-190,0,12,347,1336,-86,29,287,25,2019-03-01,f089dc4c,55.584378020797,-123.761158720656
601,0,-220,601,21,673,1794,-25,96,401,45,2019-04-01,f089dc4c,55.584378020797,-123.761158720656
704,336,-350,1040,21,248,2185,46,177,641,80,2019-05-01,f089dc4c,55.584378020797,-123.761158720656
437,637,-410,1074,38,171,2232,66,194,876,74,2019-06-01,f089dc4c,55.584378020797,-123.761158720656
878,114,-300,992,89,138,1989,83,214,1107,72,2019-07-01,f089dc4c,55.584378020797,-123.761158720656
796,50,-210,846,83,127,1823,63,197,988,64,2019-08-01,f089dc4c,55.584378020797,-123.761158720656
379,97,-220,476,38,107,1120,38,155,838,45,2019-09-01,f089dc4c,55.584378020797,-123.761158720656
206,0,-180,206,60,434,633,-22,60,488,24,2019-10-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-90,0,81,434,241,-69,-4,375,11,2019-11-01,f089dc4c,55.584378020797,-123.761158720656
0,0,-100,0,43,434,142,-105,-28,301,9,2019-12-01,f089dc4c,55.584378020797,-123.761158720656
