aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,205,0,36,355,246,-157,-68,211,6,2015-01-01,f11b3838,57.3507932254961,-120.26882341237
0,0,316,0,49,355,560,-161,-73,175,9,2015-02-01,f11b3838,57.3507932254961,-120.26882341237
0,0,301,0,24,355,1216,-102,11,265,21,2015-03-01,f11b3838,57.3507932254961,-120.26882341237
559,0,214,648,23,1030,1953,-33,83,344,44,2015-04-01,f11b3838,57.3507932254961,-120.26882341237
963,319,-210,1282,20,482,2732,19,162,496,78,2015-05-01,f11b3838,57.3507932254961,-120.26882341237
686,639,-294,1326,53,302,2588,71,202,853,84,2015-06-01,f11b3838,57.3507932254961,-120.26882341237
936,350,-292,1286,90,225,2471,84,213,1059,77,2015-07-01,f11b3838,57.3507932254961,-120.26882341237
818,146,-222,965,82,189,1839,71,196,999,65,2015-08-01,f11b3838,57.3507932254961,-120.26882341237
124,471,-302,595,10,158,1347,13,137,691,43,2015-09-01,f11b3838,57.3507932254961,-120.26882341237
168,141,-332,326,15,135,661,-20,87,518,31,2015-10-01,f11b3838,57.3507932254961,-120.26882341237
0,0,-332,0,25,135,331,-129,-29,261,10,2015-11-01,f11b3838,57.3507932254961,-120.26882341237
0,0,-320,0,29,135,170,-165,-87,200,4,2015-12-01,f11b3838,57.3507932254961,-120.26882341237
0,0,-350,0,18,136,246,-160,-81,217,11,2016-01-01,f11b3838,57.3507932254961,-120.26882341237
0,0,-320,0,34,136,575,-127,-39,264,18,2016-02-01,f11b3838,57.3507932254961,-120.26882341237
0,0,-270,0,28,136,1100,-86,-5,296,22,2016-03-01,f11b3838,57.3507932254961,-120.26882341237
517,0,-300,517,18,871,1818,-27,76,406,48,2016-04-01,f11b3838,57.3507932254961,-120.26882341237
932,160,-270,1092,57,658,2292,20,155,573,63,2016-05-01,f11b3838,57.3507932254961,-120.26882341237
1088,74,-190,1162,108,592,2346,68,196,911,66,2016-06-01,f11b3838,57.3507932254961,-120.26882341237
937,214,-170,1151,81,426,2336,91,212,1171,66,2016-07-01,f11b3838,57.3507932254961,-120.26882341237
867,66,-80,933,88,393,1718,80,199,1048,64,2016-08-01,f11b3838,57.3507932254961,-120.26882341237
615,0,180,615,67,416,1183,21,140,721,45,2016-09-01,f11b3838,57.3507932254961,-120.26882341237
82,0,210,82,21,431,559,-36,45,440,17,2016-10-01,f11b3838,57.3507932254961,-120.26882341237
0,0,180,0,19,431,295,-93,-7,382,11,2016-11-01,f11b3838,57.3507932254961,-120.26882341237
0,0,180,0,25,431,186,-204,-119,98,6,2016-12-01,f11b3838,57.3507932254961,-120.26882341237
0,0,190,0,30,431,243,-173,-69,157,10,2017-01-01,f11b3838,57.3507932254961,-120.26882341237
0,0,230,0,26,431,588,-161,-66,151,12,2017-02-01,f11b3838,57.3507932254961,-120.26882341237
0,0,270,0,40,431,1193,-145,-50,206,11,2017-03-01,f11b3838,57.3507932254961,-120.26882341237
268,0,220,268,17,941,1869,-41,62,346,32,2017-04-01,f11b3838,57.3507932254961,-120.26882341237
1091,0,210,1091,50,1030,2284,23,154,554,67,2017-05-01,f11b3838,57.3507932254961,-120.26882341237
1185,0,330,1185,139,1030,2487,60,176,778,66,2017-06-01,f11b3838,57.3507932254961,-120.26882341237
