aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-318,0,28,439,198,-249,-147,171,0,2015-01-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-333,0,16,439,587,-281,-164,111,1,2015-02-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-325,0,17,439,1323,-176,-29,235,9,2015-03-01,f1ef87fa,59.2854675025627,-110.882726771921
9,0,-337,74,6,550,2231,-74,67,326,34,2015-04-01,f1ef87fa,59.2854675025627,-110.882726771921
1002,212,-413,1215,3,415,2925,2,155,450,74,2015-05-01,f1ef87fa,59.2854675025627,-110.882726771921
412,996,-530,1408,30,286,2804,79,220,937,93,2015-06-01,f1ef87fa,59.2854675025627,-110.882726771921
1049,22,-322,1070,110,280,2046,101,221,1288,67,2015-07-01,f1ef87fa,59.2854675025627,-110.882726771921
502,411,-305,913,46,218,1773,91,209,1193,63,2015-08-01,f1ef87fa,59.2854675025627,-110.882726771921
469,0,-256,469,57,290,1214,25,138,816,34,2015-09-01,f1ef87fa,59.2854675025627,-110.882726771921
75,0,-181,116,50,630,504,-22,54,553,16,2015-10-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-172,0,22,630,258,-120,-39,360,0,2015-11-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-160,0,20,630,104,-193,-116,284,0,2015-12-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-170,0,22,499,185,-224,-128,200,0,2016-01-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-90,0,24,499,559,-222,-105,193,3,2016-02-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,-70,0,17,499,1193,-148,-26,268,9,2016-03-01,f1ef87fa,59.2854675025627,-110.882726771921
21,0,140,21,20,547,1828,-77,49,390,23,2016-04-01,f1ef87fa,59.2854675025627,-110.882726771921
950,0,180,950,39,1118,2350,31,162,734,60,2016-05-01,f1ef87fa,59.2854675025627,-110.882726771921
1079,104,350,1183,95,940,2504,91,219,1154,77,2016-06-01,f1ef87fa,59.2854675025627,-110.882726771921
945,170,400,1115,76,716,2263,115,234,1520,72,2016-07-01,f1ef87fa,59.2854675025627,-110.882726771921
877,0,590,877,100,792,1847,95,213,1386,55,2016-08-01,f1ef87fa,59.2854675025627,-110.882726771921
447,0,690,447,79,1096,1069,40,139,955,29,2016-09-01,f1ef87fa,59.2854675025627,-110.882726771921
6,0,780,6,49,1118,501,-35,13,583,13,2016-10-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,800,0,22,1118,227,-93,-18,452,0,2016-11-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,790,0,18,1118,126,-245,-156,180,0,2016-12-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,760,0,21,1118,218,-229,-119,177,0,2017-01-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,710,0,17,1118,512,-218,-112,186,1,2017-02-01,f1ef87fa,59.2854675025627,-110.882726771921
0,0,650,0,17,1118,1290,-195,-74,269,3,2017-03-01,f1ef87fa,59.2854675025627,-110.882726771921
16,0,530,16,4,1118,2251,-78,41,384,29,2017-04-01,f1ef87fa,59.2854675025627,-110.882726771921
983,0,480,983,26,1118,2469,24,155,673,64,2017-05-01,f1ef87fa,59.2854675025627,-110.882726771921
847,320,380,1167,31,567,2664,80,201,1076,80,2017-06-01,f1ef87fa,59.2854675025627,-110.882726771921
1066,111,450,1177,105,494,2386,110,236,1450,77,2017-07-01,f1ef87fa,59.2854675025627,-110.882726771921
615,433,360,1048,46,318,2051,98,231,1327,78,2017-08-01,f1ef87fa,59.2854675025627,-110.882726771921
