aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-203,0,87,493,416,-153,-44,271,4,2015-01-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-191,0,90,493,794,-186,-77,217,3,2015-02-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-307,0,27,493,1322,-134,-30,250,11,2015-03-01,f2c6e8d6,49.2940591124652,-55.7386933671637
1,0,-258,18,64,493,1752,-59,29,440,14,2015-04-01,f2c6e8d6,49.2940591124652,-55.7386933671637
874,0,-307,884,52,493,2292,1,124,644,39,2015-05-01,f2c6e8d6,49.2940591124652,-55.7386933671637
1098,13,-269,1110,108,471,2260,54,179,870,61,2015-06-01,f2c6e8d6,49.2940591124652,-55.7386933671637
669,441,-325,1110,40,181,2056,95,205,1196,61,2015-07-01,f2c6e8d6,49.2940591124652,-55.7386933671637
795,198,-368,993,78,125,1859,98,216,1340,56,2015-08-01,f2c6e8d6,49.2940591124652,-55.7386933671637
696,0,-251,696,152,493,1197,66,175,1046,45,2015-09-01,f2c6e8d6,49.2940591124652,-55.7386933671637
417,0,-135,423,131,493,811,9,103,700,26,2015-10-01,f2c6e8d6,49.2940591124652,-55.7386933671637
32,0,-60,93,115,493,479,-30,44,483,18,2015-11-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-146,0,60,493,342,-66,10,396,12,2015-12-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-200,0,45,493,416,-104,-15,302,7,2016-01-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-170,0,96,493,710,-130,-25,307,3,2016-02-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-120,0,90,493,1299,-119,-16,282,12,2016-03-01,f2c6e8d6,49.2940591124652,-55.7386933671637
68,0,-60,68,80,493,1566,-46,44,456,17,2016-04-01,f2c6e8d6,49.2940591124652,-55.7386933671637
821,0,-180,821,25,493,1881,18,127,653,33,2016-05-01,f2c6e8d6,49.2940591124652,-55.7386933671637
977,0,-130,977,116,493,2039,57,171,913,51,2016-06-01,f2c6e8d6,49.2940591124652,-55.7386933671637
1049,65,-70,1114,99,381,2026,103,217,1270,58,2016-07-01,f2c6e8d6,49.2940591124652,-55.7386933671637
868,203,-150,1071,70,176,1792,108,222,1310,64,2016-08-01,f2c6e8d6,49.2940591124652,-55.7386933671637
667,0,-80,667,136,493,1208,58,162,1001,27,2016-09-01,f2c6e8d6,49.2940591124652,-55.7386933671637
405,0,130,405,121,493,781,14,104,739,19,2016-10-01,f2c6e8d6,49.2940591124652,-55.7386933671637
195,0,110,195,102,493,367,-13,58,584,7,2016-11-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-50,0,75,493,325,-103,-15,347,5,2016-12-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,30,0,99,493,465,-106,-15,312,7,2017-01-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,100,0,128,493,783,-133,-42,297,3,2017-02-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,90,0,74,493,1144,-110,-15,302,10,2017-03-01,f2c6e8d6,49.2940591124652,-55.7386933671637
66,0,150,66,91,493,1749,-45,41,437,14,2017-04-01,f2c6e8d6,49.2940591124652,-55.7386933671637
816,0,120,816,80,493,2209,3,113,601,28,2017-05-01,f2c6e8d6,49.2940591124652,-55.7386933671637
878,84,80,962,72,348,2069,55,171,923,50,2017-06-01,f2c6e8d6,49.2940591124652,-55.7386933671637
780,473,-50,1253,64,172,2461,104,221,1270,77,2017-07-01,f2c6e8d6,49.2940591124652,-55.7386933671637
852,262,-160,1114,84,121,1914,110,223,1301,61,2017-08-01,f2c6e8d6,49.2940591124652,-55.7386933671637
431,279,-310,710,43,95,1187,61,173,1024,26,2017-09-01,f2c6e8d6,49.2940591124652,-55.7386933671637
384,161,-480,545,39,78,869,32,130,770,21,2017-10-01,f2c6e8d6,49.2940591124652,-55.7386933671637
142,0,-470,142,148,493,513,-30,54,524,12,2017-11-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-260,0,154,493,307,-66,14,407,6,2017-12-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,390,0,180,493,414,-120,-27,302,7,2018-01-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,500,0,159,493,711,-165,-49,267,6,2018-02-01,f2c6e8d6,49.2940591124652,-55.7386933671637
57,0,430,57,77,493,1113,-35,29,383,6,2018-03-01,f2c6e8d6,49.2940591124652,-55.7386933671637
34,0,410,34,69,493,1852,-53,35,427,17,2018-04-01,f2c6e8d6,49.2940591124652,-55.7386933671637
699,0,370,699,74,493,2079,-11,95,591,36,2018-05-01,f2c6e8d6,49.2940591124652,-55.7386933671637
904,0,350,904,90,493,2076,36,159,861,39,2018-06-01,f2c6e8d6,49.2940591124652,-55.7386933671637
1057,267,310,1324,79,181,2251,112,242,1330,68,2018-07-01,f2c6e8d6,49.2940591124652,-55.7386933671637
1080,52,250,1132,111,158,1782,115,231,1360,67,2018-08-01,f2c6e8d6,49.2940591124652,-55.7386933671637
737,0,180,737,89,263,1344,55,166,984,37,2018-09-01,f2c6e8d6,49.2940591124652,-55.7386933671637
278,0,140,278,94,493,636,1,81,729,16,2018-10-01,f2c6e8d6,49.2940591124652,-55.7386933671637
6,0,150,6,91,493,416,-47,25,544,8,2018-11-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,130,0,92,493,337,-83,0,407,4,2018-12-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,180,0,113,493,414,-120,-18,339,5,2019-01-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,70,0,57,493,820,-160,-58,248,4,2019-02-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,-200,0,31,493,1425,-99,-1,302,15,2019-03-01,f2c6e8d6,49.2940591124652,-55.7386933671637
165,0,-140,165,90,493,1535,-34,49,481,19,2019-04-01,f2c6e8d6,49.2940591124652,-55.7386933671637
647,0,-160,647,50,493,1710,-6,98,624,28,2019-05-01,f2c6e8d6,49.2940591124652,-55.7386933671637
884,0,130,884,138,493,2028,55,175,995,46,2019-06-01,f2c6e8d6,49.2940591124652,-55.7386933671637
921,168,130,1089,67,204,2193,97,213,1274,60,2019-07-01,f2c6e8d6,49.2940591124652,-55.7386933671637
546,548,-140,1094,50,135,1877,122,232,1468,67,2019-08-01,f2c6e8d6,49.2940591124652,-55.7386933671637
616,0,-100,616,118,493,1228,57,157,1042,31,2019-09-01,f2c6e8d6,49.2940591124652,-55.7386933671637
336,0,-160,336,50,493,883,18,101,799,17,2019-10-01,f2c6e8d6,49.2940591124652,-55.7386933671637
76,0,220,76,169,493,373,-25,45,592,9,2019-11-01,f2c6e8d6,49.2940591124652,-55.7386933671637
0,0,210,0,97,493,300,-81,4,425,6,2019-12-01,f2c6e8d6,49.2940591124652,-55.7386933671637
