aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,122,0,61,869,128,-159,-70,237,3,2015-01-01,f3324846,59.5469188095265,-129.771654412652
0,0,261,0,82,869,384,-172,-56,202,8,2015-02-01,f3324846,59.5469188095265,-129.771654412652
0,0,228,0,31,869,1038,-134,5,285,14,2015-03-01,f3324846,59.5469188095265,-129.771654412652
10,0,181,71,16,869,1645,-59,54,352,30,2015-04-01,f3324846,59.5469188095265,-129.771654412652
945,0,74,945,15,869,2306,2,141,528,59,2015-05-01,f3324846,59.5469188095265,-129.771654412652
810,250,-188,1060,40,439,2224,51,179,804,66,2015-06-01,f3324846,59.5469188095265,-129.771654412652
760,168,-167,928,68,329,1790,75,179,980,57,2015-07-01,f3324846,59.5469188095265,-129.771654412652
690,0,-76,690,86,452,1332,67,165,923,51,2015-08-01,f3324846,59.5469188095265,-129.771654412652
256,125,-203,386,18,367,910,13,100,630,32,2015-09-01,f3324846,59.5469188095265,-129.771654412652
143,0,-316,160,41,609,478,-12,66,501,27,2015-10-01,f3324846,59.5469188095265,-129.771654412652
0,0,-423,0,37,609,182,-129,-27,213,15,2015-11-01,f3324846,59.5469188095265,-129.771654412652
0,0,-443,0,49,609,82,-186,-104,160,5,2015-12-01,f3324846,59.5469188095265,-129.771654412652
0,0,-420,0,46,565,136,-158,-70,211,10,2016-01-01,f3324846,59.5469188095265,-129.771654412652
0,0,-370,0,38,565,398,-138,-23,242,15,2016-02-01,f3324846,59.5469188095265,-129.771654412652
0,0,-330,0,33,565,962,-129,18,296,19,2016-03-01,f3324846,59.5469188095265,-129.771654412652
178,0,-360,178,17,869,1448,-51,68,417,35,2016-04-01,f3324846,59.5469188095265,-129.771654412652
793,0,-340,793,32,869,1904,6,127,543,52,2016-05-01,f3324846,59.5469188095265,-129.771654412652
841,197,-330,1038,53,531,2384,49,176,810,72,2016-06-01,f3324846,59.5469188095265,-129.771654412652
772,179,-300,951,65,380,1899,77,192,1035,66,2016-07-01,f3324846,59.5469188095265,-129.771654412652
653,150,-290,803,60,297,1488,71,184,960,63,2016-08-01,f3324846,59.5469188095265,-129.771654412652
437,0,-260,437,67,498,929,17,116,697,38,2016-09-01,f3324846,59.5469188095265,-129.771654412652
24,0,-240,24,62,608,565,-39,32,398,23,2016-10-01,f3324846,59.5469188095265,-129.771654412652
0,0,-190,0,40,608,192,-107,-18,277,15,2016-11-01,f3324846,59.5469188095265,-129.771654412652
0,0,-170,0,41,608,96,-220,-126,79,5,2016-12-01,f3324846,59.5469188095265,-129.771654412652
0,0,-150,0,47,608,172,-184,-81,134,9,2017-01-01,f3324846,59.5469188095265,-129.771654412652
0,0,-130,0,38,608,495,-185,-56,110,13,2017-02-01,f3324846,59.5469188095265,-129.771654412652
0,0,-120,0,33,608,910,-193,-60,162,9,2017-03-01,f3324846,59.5469188095265,-129.771654412652
45,0,-120,45,17,839,1677,-67,57,347,32,2017-04-01,f3324846,59.5469188095265,-129.771654412652
831,0,-130,831,32,869,2135,2,120,513,51,2017-05-01,f3324846,59.5469188095265,-129.771654412652
801,155,-120,956,54,602,2075,39,160,727,58,2017-06-01,f3324846,59.5469188095265,-129.771654412652
759,130,-100,889,66,472,1725,63,179,942,52,2017-07-01,f3324846,59.5469188095265,-129.771654412652
675,168,-110,843,58,351,1699,60,186,900,69,2017-08-01,f3324846,59.5469188095265,-129.771654412652
449,0,-120,449,65,519,988,22,132,727,42,2017-09-01,f3324846,59.5469188095265,-129.771654412652
159,0,-140,159,63,869,463,-23,54,458,26,2017-10-01,f3324846,59.5469188095265,-129.771654412652
0,0,-130,0,42,869,207,-168,-78,118,10,2017-11-01,f3324846,59.5469188095265,-129.771654412652
0,0,-120,0,40,869,103,-181,-83,223,6,2017-12-01,f3324846,59.5469188095265,-129.771654412652
