aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-648,0,19,260,220,-268,-177,129,0,2015-01-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-623,0,13,260,687,-307,-203,65,2,2015-02-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-564,0,21,260,1404,-203,-70,187,6,2015-03-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-414,0,33,260,2200,-111,18,273,21,2015-04-01,f3c6a46b,58.4584120833586,-104.503893099553
941,0,-517,976,14,365,2910,-35,108,379,51,2015-05-01,f3c6a46b,58.4584120833586,-104.503893099553
896,400,-473,1297,65,134,2714,64,194,850,76,2015-06-01,f3c6a46b,58.4584120833586,-104.503893099553
689,460,-465,1149,68,93,2277,96,208,1172,66,2015-07-01,f3c6a46b,58.4584120833586,-104.503893099553
373,552,-551,924,37,72,1807,93,201,1129,64,2015-08-01,f3c6a46b,58.4584120833586,-104.503893099553
419,0,-557,419,47,102,1127,29,122,832,26,2015-09-01,f3c6a46b,58.4584120833586,-104.503893099553
40,0,-569,86,38,322,533,-22,43,538,14,2015-10-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-561,0,38,322,238,-122,-53,314,1,2015-11-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-564,0,13,322,123,-187,-130,227,0,2015-12-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-570,0,20,229,204,-237,-152,149,0,2016-01-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-520,0,18,229,655,-247,-142,147,4,2016-02-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-470,0,22,229,1307,-177,-66,215,7,2016-03-01,f3c6a46b,58.4584120833586,-104.503893099553
0,0,-410,0,19,229,2077,-123,7,262,16,2016-04-01,f3c6a46b,58.4584120833586,-104.503893099553
843,0,-420,843,30,365,2451,2,123,590,48,2016-05-01,f3c6a46b,58.4584120833586,-104.503893099553
744,406,-420,1150,52,134,2421,74,193,918,67,2016-06-01,f3c6a46b,58.4584120833586,-104.503893099553
1011,155,-310,1166,102,93,2303,109,214,1242,71,2016-07-01,f3c6a46b,58.4584120833586,-104.503893099553
664,241,-290,905,68,72,1700,95,198,1129,57,2016-08-01,f3c6a46b,58.4584120833586,-104.503893099553
