aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,195,0,28,279,151,-227,-142,152,0,2015-01-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,304,0,39,279,427,-245,-136,122,3,2015-02-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,266,0,19,279,1128,-180,-36,200,11,2015-03-01,f480fbbd,60.8294864345488,-118.452527500819
25,0,229,121,17,537,1987,-65,68,322,36,2015-04-01,f480fbbd,60.8294864345488,-118.452527500819
1258,0,86,1258,12,537,2840,11,174,493,83,2015-05-01,f480fbbd,60.8294864345488,-118.452527500819
616,778,-200,1394,29,198,2704,75,227,936,97,2015-06-01,f480fbbd,60.8294864345488,-118.452527500819
576,574,-163,1150,54,137,2152,100,227,1204,79,2015-07-01,f480fbbd,60.8294864345488,-118.452527500819
553,343,-91,895,55,106,1695,81,208,1138,64,2015-08-01,f480fbbd,60.8294864345488,-118.452527500819
96,378,-206,474,8,87,1047,19,137,761,38,2015-09-01,f480fbbd,60.8294864345488,-118.452527500819
19,0,-241,52,17,161,429,-27,42,528,14,2015-10-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-265,0,27,161,199,-149,-66,289,0,2015-11-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-268,0,27,161,82,-211,-142,213,0,2015-12-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-270,0,18,114,149,-208,-138,149,3,2016-01-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-210,0,22,114,449,-201,-102,178,6,2016-02-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-180,0,21,114,1049,-158,-38,230,13,2016-03-01,f480fbbd,60.8294864345488,-118.452527500819
28,0,-170,28,16,180,1752,-69,49,365,25,2016-04-01,f480fbbd,60.8294864345488,-118.452527500819
1013,0,-150,1013,30,537,2326,28,170,666,71,2016-05-01,f480fbbd,60.8294864345488,-118.452527500819
784,507,-130,1291,47,198,2660,83,227,1061,86,2016-06-01,f480fbbd,60.8294864345488,-118.452527500819
540,626,-120,1166,50,137,2212,106,241,1359,74,2016-07-01,f480fbbd,60.8294864345488,-118.452527500819
491,426,-80,917,48,106,1767,86,217,1218,62,2016-08-01,f480fbbd,60.8294864345488,-118.452527500819
430,91,40,521,43,87,1008,26,146,830,35,2016-09-01,f480fbbd,60.8294864345488,-118.452527500819
5,0,80,5,25,101,466,-44,12,511,13,2016-10-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,60,0,24,101,232,-125,-47,329,1,2016-11-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-10,0,23,101,86,-246,-171,122,1,2016-12-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,60,0,22,101,156,-226,-128,121,2,2017-01-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,70,0,19,101,403,-219,-117,159,5,2017-02-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,90,0,25,101,1124,-212,-89,195,6,2017-03-01,f480fbbd,60.8294864345488,-118.452527500819
18,0,80,18,16,148,2074,-78,45,332,30,2017-04-01,f480fbbd,60.8294864345488,-118.452527500819
1044,0,60,1044,28,537,2424,24,167,616,77,2017-05-01,f480fbbd,60.8294864345488,-118.452527500819
857,286,100,1143,55,198,2459,73,206,992,71,2017-06-01,f480fbbd,60.8294864345488,-118.452527500819
649,536,130,1185,62,137,2353,100,235,1290,72,2017-07-01,f480fbbd,60.8294864345488,-118.452527500819
293,828,-90,1121,28,106,2029,85,240,1184,89,2017-08-01,f480fbbd,60.8294864345488,-118.452527500819
249,333,-160,582,24,87,1219,34,170,889,53,2017-09-01,f480fbbd,60.8294864345488,-118.452527500819
38,0,-110,38,31,159,462,-34,37,523,15,2017-10-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,110,0,44,159,178,-202,-123,200,3,2017-11-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,140,0,20,159,100,-223,-124,172,0,2017-12-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,170,0,25,159,141,-234,-167,121,1,2018-01-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,160,0,19,159,479,-272,-139,119,6,2018-02-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,180,0,26,159,1233,-207,-67,169,10,2018-03-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,160,0,16,159,1930,-103,26,322,25,2018-04-01,f480fbbd,60.8294864345488,-118.452527500819
1033,0,110,1033,21,537,2411,17,165,595,78,2018-05-01,f480fbbd,60.8294864345488,-118.452527500819
777,245,130,1022,46,198,1986,80,214,1141,60,2018-06-01,f480fbbd,60.8294864345488,-118.452527500819
421,835,-80,1256,38,137,2353,98,239,1272,78,2018-07-01,f480fbbd,60.8294864345488,-118.452527500819
416,462,0,878,41,106,1633,70,204,1118,61,2018-08-01,f480fbbd,60.8294864345488,-118.452527500819
257,162,-80,419,25,87,1330,-27,102,651,34,2018-09-01,f480fbbd,60.8294864345488,-118.452527500819
8,0,-90,8,18,96,605,-55,29,453,19,2018-10-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-70,0,37,96,180,-156,-94,244,0,2018-11-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-70,0,20,96,95,-209,-130,162,2,2018-12-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,40,0,25,96,146,-237,-149,113,3,2019-01-01,f480fbbd,60.8294864345488,-118.452527500819
0,0,-50,0,9,96,497,-268,-154,92,4,2019-02-01,f480fbbd,60.8294864345488,-118.452527500819
