aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,290,0,151,672,583,-129,-16,318,7,2015-01-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,341,0,155,672,994,-158,-49,228,7,2015-02-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,344,0,127,672,1426,-105,0,313,13,2015-03-01,f586d9ab,45.3235473083194,-62.7892784326997
152,0,277,276,81,672,1798,-34,60,511,20,2015-04-01,f586d9ab,45.3235473083194,-62.7892784326997
1019,0,166,1019,57,672,2315,33,163,844,48,2015-05-01,f586d9ab,45.3235473083194,-62.7892784326997
1007,0,288,1007,194,672,2175,77,187,1115,49,2015-06-01,f586d9ab,45.3235473083194,-62.7892784326997
904,196,240,1100,60,335,2150,117,230,1510,59,2015-07-01,f586d9ab,45.3235473083194,-62.7892784326997
1074,0,226,1074,121,410,1999,132,240,1661,60,2015-08-01,f586d9ab,45.3235473083194,-62.7892784326997
818,0,148,818,98,521,1609,99,221,1423,52,2015-09-01,f586d9ab,45.3235473083194,-62.7892784326997
486,0,86,486,105,672,967,28,137,847,31,2015-10-01,f586d9ab,45.3235473083194,-62.7892784326997
248,0,66,255,161,672,545,1,79,663,18,2015-11-01,f586d9ab,45.3235473083194,-62.7892784326997
15,0,58,53,150,672,372,-29,39,522,13,2015-12-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-200,0,58,672,619,-84,2,338,9,2016-01-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-210,0,95,672,874,-93,5,379,7,2016-02-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-200,0,99,672,1289,-72,25,383,14,2016-03-01,f586d9ab,45.3235473083194,-62.7892784326997
351,0,-220,351,88,672,1819,-36,68,498,21,2016-04-01,f586d9ab,45.3235473083194,-62.7892784326997
849,0,-210,849,99,672,2031,39,151,835,38,2016-05-01,f586d9ab,45.3235473083194,-62.7892784326997
824,223,-270,1047,46,288,2220,85,197,1135,50,2016-06-01,f586d9ab,45.3235473083194,-62.7892784326997
568,630,-350,1198,49,187,2284,129,240,1561,57,2016-07-01,f586d9ab,45.3235473083194,-62.7892784326997
983,192,-360,1175,99,142,2079,137,249,1610,54,2016-08-01,f586d9ab,45.3235473083194,-62.7892784326997
598,219,-440,817,60,115,1516,98,206,1317,33,2016-09-01,f586d9ab,45.3235473083194,-62.7892784326997
482,0,-480,482,134,672,961,41,144,945,22,2016-10-01,f586d9ab,45.3235473083194,-62.7892784326997
273,0,-520,273,108,672,521,21,86,725,12,2016-11-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-520,0,113,672,418,-76,11,404,7,2016-12-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-490,0,111,672,617,-79,11,379,8,2017-01-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-440,0,109,672,1053,-95,-3,360,8,2017-02-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-420,0,91,672,1458,-88,-1,333,12,2017-03-01,f586d9ab,45.3235473083194,-62.7892784326997
470,0,-520,470,39,672,1904,-14,78,609,20,2017-04-01,f586d9ab,45.3235473083194,-62.7892784326997
812,0,-430,812,127,672,1877,36,142,814,37,2017-05-01,f586d9ab,45.3235473083194,-62.7892784326997
964,86,-410,1050,86,523,2385,83,199,1205,51,2017-06-01,f586d9ab,45.3235473083194,-62.7892784326997
771,389,-430,1160,51,240,2318,121,237,1540,62,2017-07-01,f586d9ab,45.3235473083194,-62.7892784326997
913,168,-440,1081,89,168,2080,124,233,1540,51,2017-08-01,f586d9ab,45.3235473083194,-62.7892784326997
762,0,-450,762,104,392,1417,105,211,1406,30,2017-09-01,f586d9ab,45.3235473083194,-62.7892784326997
592,0,-510,592,65,419,1170,62,169,1055,26,2017-10-01,f586d9ab,45.3235473083194,-62.7892784326997
252,0,-540,252,145,672,653,-22,74,614,14,2017-11-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-540,0,110,672,422,-88,-4,394,7,2017-12-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-500,0,117,672,626,-113,-8,338,6,2018-01-01,f586d9ab,45.3235473083194,-62.7892784326997
0,0,-450,0,110,672,869,-95,9,379,8,2018-02-01,f586d9ab,45.3235473083194,-62.7892784326997
17,0,-470,17,72,672,1359,-46,17,403,9,2018-03-01,f586d9ab,45.3235473083194,-62.7892784326997
