aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,-104,0,159,262,403,-119,-28,337,4,2015-01-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,-96,0,154,262,803,-146,-55,270,3,2015-02-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,-237,0,48,262,1253,-103,-19,308,10,2015-03-01,f8d5fcef,47.7433755535012,-55.2328145886426
19,0,-206,93,112,262,1842,-37,40,481,16,2015-04-01,f8d5fcef,47.7433755535012,-55.2328145886426
950,0,-246,950,93,262,2261,25,129,694,42,2015-05-01,f8d5fcef,47.7433755535012,-55.2328145886426
1085,0,-190,1085,152,262,2207,73,171,908,58,2015-06-01,f8d5fcef,47.7433755535012,-55.2328145886426
651,436,-246,1087,51,96,2054,114,194,1244,56,2015-07-01,f8d5fcef,47.7433755535012,-55.2328145886426
745,134,-281,879,75,67,1744,108,202,1407,43,2015-08-01,f8d5fcef,47.7433755535012,-55.2328145886426
773,0,-142,773,264,262,1404,88,185,1155,48,2015-09-01,f8d5fcef,47.7433755535012,-55.2328145886426
464,0,177,464,214,262,854,31,117,805,27,2015-10-01,f8d5fcef,47.7433755535012,-55.2328145886426
212,0,218,248,206,262,546,-9,58,566,18,2015-11-01,f8d5fcef,47.7433755535012,-55.2328145886426
2,0,95,21,106,262,356,-38,25,467,13,2015-12-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,-140,0,131,262,430,-77,-5,376,5,2016-01-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,-120,0,156,262,705,-92,-7,387,3,2016-02-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,-90,0,143,262,1341,-86,-6,370,12,2016-03-01,f8d5fcef,47.7433755535012,-55.2328145886426
315,0,-70,315,136,262,1618,-23,56,519,19,2016-04-01,f8d5fcef,47.7433755535012,-55.2328145886426
850,0,-130,850,85,262,1934,42,131,742,38,2016-05-01,f8d5fcef,47.7433755535012,-55.2328145886426
964,0,-100,964,137,262,1969,80,168,993,51,2016-06-01,f8d5fcef,47.7433755535012,-55.2328145886426
1086,0,-70,1086,118,262,2072,121,209,1383,54,2016-07-01,f8d5fcef,47.7433755535012,-55.2328145886426
952,20,-90,972,97,228,1915,120,207,1448,49,2016-08-01,f8d5fcef,47.7433755535012,-55.2328145886426
684,0,50,684,176,262,1312,83,169,1144,26,2016-09-01,f8d5fcef,47.7433755535012,-55.2328145886426
422,0,70,422,165,262,841,36,119,874,18,2016-10-01,f8d5fcef,47.7433755535012,-55.2328145886426
240,0,60,240,168,262,376,10,73,695,7,2016-11-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,-20,0,146,262,351,-73,2,438,4,2016-12-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,10,0,165,262,472,-82,-6,386,5,2017-01-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,70,0,175,262,807,-98,-25,367,3,2017-02-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,60,0,133,262,1208,-79,-7,380,10,2017-03-01,f8d5fcef,47.7433755535012,-55.2328145886426
298,0,70,298,143,262,1720,-21,52,517,16,2017-04-01,f8d5fcef,47.7433755535012,-55.2328145886426
849,0,60,849,114,262,2189,27,119,691,36,2017-05-01,f8d5fcef,47.7433755535012,-55.2328145886426
985,0,-20,985,115,262,2225,78,168,1014,52,2017-06-01,f8d5fcef,47.7433755535012,-55.2328145886426
1083,72,-10,1155,101,139,2326,124,211,1383,63,2017-07-01,f8d5fcef,47.7433755535012,-55.2328145886426
971,6,-70,977,102,135,1970,122,208,1458,44,2017-08-01,f8d5fcef,47.7433755535012,-55.2328145886426
708,0,-100,708,121,262,1379,85,176,1174,27,2017-09-01,f8d5fcef,47.7433755535012,-55.2328145886426
552,0,-160,552,119,262,941,52,137,884,20,2017-10-01,f8d5fcef,47.7433755535012,-55.2328145886426
248,0,-100,248,197,262,540,-13,67,614,12,2017-11-01,f8d5fcef,47.7433755535012,-55.2328145886426
13,0,110,13,194,262,318,-44,23,478,5,2017-12-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,190,0,216,262,425,-93,-15,375,6,2018-01-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,230,0,194,262,693,-127,-35,337,6,2018-02-01,f8d5fcef,47.7433755535012,-55.2328145886426
185,0,140,185,115,262,1101,-14,32,440,8,2018-03-01,f8d5fcef,47.7433755535012,-55.2328145886426
177,0,230,177,184,262,1757,-30,45,488,20,2018-04-01,f8d5fcef,47.7433755535012,-55.2328145886426
707,0,360,707,185,262,2163,16,102,700,44,2018-05-01,f8d5fcef,47.7433755535012,-55.2328145886426
892,0,450,892,191,262,2073,61,157,954,47,2018-06-01,f8d5fcef,47.7433755535012,-55.2328145886426
1189,0,470,1189,153,262,2029,132,228,1433,58,2018-07-01,f8d5fcef,47.7433755535012,-55.2328145886426
869,113,370,982,74,96,1865,126,215,1517,46,2018-08-01,f8d5fcef,47.7433755535012,-55.2328145886426
726,0,230,726,94,262,1480,79,170,1117,39,2018-09-01,f8d5fcef,47.7433755535012,-55.2328145886426
265,0,390,265,265,262,742,21,97,865,19,2018-10-01,f8d5fcef,47.7433755535012,-55.2328145886426
17,0,450,17,206,262,471,-27,39,654,10,2018-11-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,270,0,87,262,387,-58,13,488,3,2018-12-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,300,0,193,262,419,-103,-17,385,3,2019-01-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,180,0,103,262,915,-133,-47,287,4,2019-02-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,140,0,117,262,1413,-80,-1,360,11,2019-03-01,f8d5fcef,47.7433755535012,-55.2328145886426
263,0,170,263,158,262,1489,-23,51,512,19,2019-04-01,f8d5fcef,47.7433755535012,-55.2328145886426
829,0,110,829,94,262,2119,20,110,638,38,2019-05-01,f8d5fcef,47.7433755535012,-55.2328145886426
1011,0,140,1011,154,262,2124,80,176,1002,55,2019-06-01,f8d5fcef,47.7433755535012,-55.2328145886426
1123,0,150,1123,124,262,2177,125,216,1372,65,2019-07-01,f8d5fcef,47.7433755535012,-55.2328145886426
937,72,90,1009,86,138,1942,132,220,1580,51,2019-08-01,f8d5fcef,47.7433755535012,-55.2328145886426
649,0,150,649,195,262,1373,77,164,1139,32,2019-09-01,f8d5fcef,47.7433755535012,-55.2328145886426
379,0,-110,379,73,262,919,31,108,847,19,2019-10-01,f8d5fcef,47.7433755535012,-55.2328145886426
190,0,140,190,249,262,459,-6,60,653,11,2019-11-01,f8d5fcef,47.7433755535012,-55.2328145886426
0,0,160,0,174,262,356,-63,9,473,5,2019-12-01,f8d5fcef,47.7433755535012,-55.2328145886426
