aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,352,0,35,358,473,-252,-127,169,0,2015-01-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,374,0,44,358,979,-307,-161,69,4,2015-02-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,316,0,35,358,1448,-153,-9,265,12,2015-03-01,f931fcf3,50.649749702821,-90.9974754647532
42,0,246,161,33,358,2031,-66,73,398,30,2015-04-01,f931fcf3,50.649749702821,-90.9974754647532
879,0,392,879,133,358,2189,6,143,729,41,2015-05-01,f931fcf3,50.649749702821,-90.9974754647532
989,112,371,1101,84,166,2410,71,209,1161,59,2015-06-01,f931fcf3,50.649749702821,-90.9974754647532
1332,0,450,1332,140,165,2365,131,257,1559,85,2015-07-01,f931fcf3,50.649749702821,-90.9974754647532
706,206,407,912,68,104,1681,113,225,1490,55,2015-08-01,f931fcf3,50.649749702821,-90.9974754647532
603,0,344,603,77,232,1494,79,193,1322,34,2015-09-01,f931fcf3,50.649749702821,-90.9974754647532
271,0,335,277,74,358,817,-5,92,680,20,2015-10-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,487,2,111,358,310,-52,20,559,0,2015-11-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,458,0,41,358,285,-128,-52,371,0,2015-12-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,400,0,26,358,403,-222,-118,215,1,2016-01-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,360,0,31,358,876,-216,-88,199,5,2016-02-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,390,0,61,358,1562,-129,19,352,17,2016-03-01,f931fcf3,50.649749702821,-90.9974754647532
26,0,420,26,64,358,1998,-76,52,420,24,2016-04-01,f931fcf3,50.649749702821,-90.9974754647532
925,0,370,925,57,358,2281,19,162,737,55,2016-05-01,f931fcf3,50.649749702821,-90.9974754647532
1012,27,350,1039,102,310,2298,79,206,1183,60,2016-06-01,f931fcf3,50.649749702821,-90.9974754647532
1108,159,320,1267,98,130,2438,132,249,1551,97,2016-07-01,f931fcf3,50.649749702821,-90.9974754647532
987,14,320,1001,103,124,1859,120,238,1559,73,2016-08-01,f931fcf3,50.649749702821,-90.9974754647532
522,0,340,522,104,358,1178,80,169,1251,33,2016-09-01,f931fcf3,50.649749702821,-90.9974754647532
272,0,310,272,52,358,651,11,91,780,19,2016-10-01,f931fcf3,50.649749702821,-90.9974754647532
30,0,250,30,28,358,410,-39,46,586,9,2016-11-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,300,0,58,358,306,-195,-104,228,0,2016-12-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,280,0,40,358,411,-209,-108,255,0,2017-01-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,300,0,40,358,884,-191,-69,245,5,2017-02-01,f931fcf3,50.649749702821,-90.9974754647532
0,0,250,0,35,358,1527,-165,-16,266,11,2017-03-01,f931fcf3,50.649749702821,-90.9974754647532
244,0,200,244,46,358,1819,-58,80,467,30,2017-04-01,f931fcf3,50.649749702821,-90.9974754647532
819,0,180,819,51,358,2156,10,134,685,48,2017-05-01,f931fcf3,50.649749702821,-90.9974754647532
