aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,629,0,42,275,401,-290,-181,92,1,2015-01-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,595,0,31,275,925,-331,-209,59,2,2015-02-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,590,0,49,275,1463,-239,-99,152,4,2015-03-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,594,0,48,275,1902,-102,10,409,6,2015-04-01,f9980a21,53.7658837966354,-77.3175419525671
416,0,513,514,54,275,2230,-29,72,545,21,2015-05-01,f9980a21,53.7658837966354,-77.3175419525671
633,0,424,641,50,275,2386,5,120,890,13,2015-06-01,f9980a21,53.7658837966354,-77.3175419525671
608,139,336,747,45,101,1999,73,177,1330,20,2015-07-01,f9980a21,53.7658837966354,-77.3175419525671
640,0,394,640,128,275,1475,98,186,1436,25,2015-08-01,f9980a21,53.7658837966354,-77.3175419525671
406,0,337,406,76,275,1293,59,147,1149,16,2015-09-01,f9980a21,53.7658837966354,-77.3175419525671
195,0,283,219,67,275,639,-5,58,609,15,2015-10-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,162,3,37,275,264,-48,15,505,5,2015-11-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,181,0,51,275,265,-120,-44,404,0,2015-12-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,180,0,41,275,319,-225,-122,172,4,2016-01-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,180,0,27,275,802,-265,-141,139,3,2016-02-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,130,0,21,275,1571,-207,-74,193,6,2016-03-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,60,0,14,275,2271,-134,-22,275,7,2016-04-01,f9980a21,53.7658837966354,-77.3175419525671
374,0,-110,374,48,275,2343,-29,69,641,18,2016-05-01,f9980a21,53.7658837966354,-77.3175419525671
551,0,50,551,80,275,2039,11,126,950,12,2016-06-01,f9980a21,53.7658837966354,-77.3175419525671
765,14,70,779,78,251,2189,74,177,1298,24,2016-07-01,f9980a21,53.7658837966354,-77.3175419525671
756,0,100,756,101,275,1713,94,188,1322,40,2016-08-01,f9980a21,53.7658837966354,-77.3175419525671
488,0,70,488,81,275,1170,62,141,1036,28,2016-09-01,f9980a21,53.7658837966354,-77.3175419525671
228,0,180,228,116,275,556,8,66,698,15,2016-10-01,f9980a21,53.7658837966354,-77.3175419525671
8,0,270,8,106,275,288,-41,18,485,13,2016-11-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,220,0,33,275,290,-171,-83,225,7,2016-12-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,240,0,47,275,340,-210,-111,192,3,2017-01-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,230,0,27,275,792,-248,-127,169,3,2017-02-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,170,0,20,275,1569,-205,-71,193,7,2017-03-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,170,0,35,275,1935,-97,15,355,12,2017-04-01,f9980a21,53.7658837966354,-77.3175419525671
368,0,150,368,48,275,2354,-28,67,651,23,2017-05-01,f9980a21,53.7658837966354,-77.3175419525671
592,0,210,592,96,275,2189,16,125,940,12,2017-06-01,f9980a21,53.7658837966354,-77.3175419525671
770,169,160,939,63,101,2466,64,168,1078,40,2017-07-01,f9980a21,53.7658837966354,-77.3175419525671
733,0,120,733,89,209,1675,77,169,1144,36,2017-08-01,f9980a21,53.7658837966354,-77.3175419525671
514,0,80,514,90,275,1237,70,140,1017,34,2017-09-01,f9980a21,53.7658837966354,-77.3175419525671
313,0,180,313,122,275,562,24,82,728,20,2017-10-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,190,0,76,275,302,-68,-8,356,11,2017-11-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,190,0,48,275,249,-175,-85,226,4,2017-12-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,160,0,31,275,428,-264,-160,112,3,2018-01-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,180,0,31,275,852,-269,-144,120,2,2018-02-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,100,0,14,275,1496,-180,-46,223,10,2018-03-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,-30,0,19,275,2145,-135,-17,255,12,2018-04-01,f9980a21,53.7658837966354,-77.3175419525671
73,0,120,73,70,275,2341,-51,48,512,15,2018-05-01,f9980a21,53.7658837966354,-77.3175419525671
757,0,-110,757,28,275,2905,-4,107,721,33,2018-06-01,f9980a21,53.7658837966354,-77.3175419525671
834,0,-90,834,102,275,2333,74,184,1304,40,2018-07-01,f9980a21,53.7658837966354,-77.3175419525671
859,0,-100,859,96,275,1924,85,176,1134,46,2018-08-01,f9980a21,53.7658837966354,-77.3175419525671
492,0,70,492,126,275,1020,50,125,905,26,2018-09-01,f9980a21,53.7658837966354,-77.3175419525671
121,0,70,121,67,275,632,-20,39,510,16,2018-10-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,-60,0,47,275,280,-89,-26,364,11,2018-11-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,10,0,43,275,256,-155,-69,265,9,2018-12-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,-50,0,30,275,382,-264,-157,98,3,2019-01-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,-10,0,33,275,867,-264,-140,116,2,2019-02-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,60,0,51,275,1435,-203,-73,186,5,2019-03-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,110,0,46,275,2039,-108,0,315,13,2019-04-01,f9980a21,53.7658837966354,-77.3175419525671
303,0,80,303,37,275,2328,-36,63,564,15,2019-05-01,f9980a21,53.7658837966354,-77.3175419525671
468,0,110,468,69,275,1905,5,117,931,8,2019-06-01,f9980a21,53.7658837966354,-77.3175419525671
716,0,180,716,96,275,1892,76,180,1308,25,2019-07-01,f9980a21,53.7658837966354,-77.3175419525671
762,0,220,762,106,275,1509,97,189,1313,39,2019-08-01,f9980a21,53.7658837966354,-77.3175419525671
540,0,180,540,88,275,1092,62,135,947,30,2019-09-01,f9980a21,53.7658837966354,-77.3175419525671
369,0,70,369,56,275,658,34,92,740,24,2019-10-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,-130,0,54,275,347,-60,-2,394,10,2019-11-01,f9980a21,53.7658837966354,-77.3175419525671
0,0,-80,0,51,275,250,-128,-40,252,9,2019-12-01,f9980a21,53.7658837966354,-77.3175419525671
