aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,827,0,61,393,462,-291,-167,140,0,2015-01-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,783,0,51,393,1047,-338,-192,88,0,2015-02-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,759,0,50,393,1533,-209,-57,233,3,2015-03-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,759,0,59,393,1852,-86,41,435,14,2015-04-01,f9ccc015,51.1086771143154,-82.318457067917
873,0,726,873,66,393,2194,13,145,753,41,2015-05-01,f9ccc015,51.1086771143154,-82.318457067917
844,247,621,1091,63,145,2550,67,197,1098,55,2015-06-01,f9ccc015,51.1086771143154,-82.318457067917
638,532,465,1170,62,100,2254,117,239,1514,66,2015-07-01,f9ccc015,51.1086771143154,-82.318457067917
849,0,500,849,114,335,1672,114,220,1515,49,2015-08-01,f9ccc015,51.1086771143154,-82.318457067917
568,0,403,568,63,363,1530,76,189,1319,30,2015-09-01,f9ccc015,51.1086771143154,-82.318457067917
224,0,334,232,56,393,768,-9,83,672,16,2015-10-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,235,2,34,393,337,-54,28,586,0,2015-11-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,262,0,70,393,279,-119,-51,429,0,2015-12-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,380,0,97,393,404,-234,-133,228,0,2016-01-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,450,0,72,393,839,-253,-113,194,2,2016-02-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,340,0,15,393,1653,-164,-26,306,8,2016-03-01,f9ccc015,51.1086771143154,-82.318457067917
0,0,270,0,23,393,2056,-102,22,379,15,2016-04-01,f9ccc015,51.1086771143154,-82.318457067917
808,0,260,808,56,393,2301,12,150,778,48,2016-05-01,f9ccc015,51.1086771143154,-82.318457067917
992,0,300,992,114,393,2213,72,199,1117,59,2016-06-01,f9ccc015,51.1086771143154,-82.318457067917
1094,21,320,1115,111,357,2227,116,239,1516,74,2016-07-01,f9ccc015,51.1086771143154,-82.318457067917
