aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,162,0,45,937,132,-185,-87,284,0,2015-01-01,fa52280e,59.7368152976008,-128.37990040012
0,0,269,0,52,937,399,-194,-73,221,2,2015-02-01,fa52280e,59.7368152976008,-128.37990040012
0,0,235,0,20,937,1093,-122,32,301,21,2015-03-01,fa52280e,59.7368152976008,-128.37990040012
270,0,157,392,15,1019,1703,-42,77,384,37,2015-04-01,fa52280e,59.7368152976008,-128.37990040012
912,110,-152,1022,15,830,2384,8,169,574,72,2015-05-01,fa52280e,59.7368152976008,-128.37990040012
798,315,-243,1113,42,433,2315,63,198,891,75,2015-06-01,fa52280e,59.7368152976008,-128.37990040012
761,232,-225,993,67,310,1862,90,201,1088,67,2015-07-01,fa52280e,59.7368152976008,-128.37990040012
726,0,-137,727,76,310,1424,77,183,1018,56,2015-08-01,fa52280e,59.7368152976008,-128.37990040012
192,189,-266,381,13,243,936,17,114,697,32,2015-09-01,fa52280e,59.7368152976008,-128.37990040012
120,0,-351,133,28,387,483,-14,69,541,24,2015-10-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-422,0,27,387,193,-142,-45,231,9,2015-11-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-472,0,38,387,77,-203,-122,177,0,2015-12-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-530,0,31,368,135,-181,-87,207,6,2016-01-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-450,0,28,368,416,-158,-38,230,11,2016-02-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-400,0,22,368,1006,-114,40,297,25,2016-03-01,fa52280e,59.7368152976008,-128.37990040012
433,0,-430,433,14,1019,1496,-37,87,426,42,2016-04-01,fa52280e,59.7368152976008,-128.37990040012
722,122,-400,844,34,809,1950,13,152,601,64,2016-05-01,fa52280e,59.7368152976008,-128.37990040012
861,220,-390,1081,63,542,2437,63,196,903,83,2016-06-01,fa52280e,59.7368152976008,-128.37990040012
770,245,-370,1015,63,370,1999,91,213,1145,78,2016-07-01,fa52280e,59.7368152976008,-128.37990040012
657,198,-340,855,60,283,1566,82,202,1046,75,2016-08-01,fa52280e,59.7368152976008,-128.37990040012
440,0,-270,440,64,446,964,22,128,760,38,2016-09-01,fa52280e,59.7368152976008,-128.37990040012
24,0,-230,24,42,523,543,-41,36,437,20,2016-10-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-220,0,26,523,201,-119,-38,288,9,2016-11-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-190,0,33,523,93,-237,-146,85,3,2016-12-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-150,0,35,523,166,-208,-99,134,4,2017-01-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-120,0,25,523,486,-203,-71,126,9,2017-02-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-90,0,25,523,961,-181,-38,183,13,2017-03-01,fa52280e,59.7368152976008,-128.37990040012
258,0,-120,258,14,1019,1720,-51,77,376,37,2017-04-01,fa52280e,59.7368152976008,-128.37990040012
904,0,-130,904,33,1019,2181,10,147,577,63,2017-05-01,fa52280e,59.7368152976008,-128.37990040012
862,118,-90,980,69,816,2082,53,179,829,63,2017-06-01,fa52280e,59.7368152976008,-128.37990040012
821,115,30,936,72,675,1782,78,201,1052,57,2017-07-01,fa52280e,59.7368152976008,-128.37990040012
641,249,-50,890,43,441,1772,70,206,993,77,2017-08-01,fa52280e,59.7368152976008,-128.37990040012
433,22,-90,455,44,429,1027,27,145,787,46,2017-09-01,fa52280e,59.7368152976008,-128.37990040012
161,0,-110,161,49,690,469,-24,59,477,24,2017-10-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-100,0,38,690,205,-181,-97,137,7,2017-11-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-110,0,30,690,103,-200,-101,216,2,2017-12-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-70,0,38,690,129,-213,-116,144,3,2018-01-01,fa52280e,59.7368152976008,-128.37990040012
0,0,10,0,25,690,507,-248,-98,116,8,2018-02-01,fa52280e,59.7368152976008,-128.37990040012
0,0,50,0,26,690,1117,-155,3,226,21,2018-03-01,fa52280e,59.7368152976008,-128.37990040012
28,0,60,28,14,770,1713,-75,53,353,31,2018-04-01,fa52280e,59.7368152976008,-128.37990040012
939,0,-30,939,28,1019,2282,14,153,561,68,2018-05-01,fa52280e,59.7368152976008,-128.37990040012
879,170,-10,1049,62,727,2324,55,184,840,77,2018-06-01,fa52280e,59.7368152976008,-128.37990040012
817,298,-100,1115,53,417,2255,84,218,1045,84,2018-07-01,fa52280e,59.7368152976008,-128.37990040012
639,257,-120,896,54,287,1604,73,193,993,77,2018-08-01,fa52280e,59.7368152976008,-128.37990040012
411,0,-140,411,45,305,1245,-10,114,657,39,2018-09-01,fa52280e,59.7368152976008,-128.37990040012
128,0,-190,128,35,482,485,-25,62,500,20,2018-10-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-210,0,34,482,172,-119,-45,269,7,2018-11-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-250,0,30,482,84,-193,-104,176,3,2018-12-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-200,0,46,482,118,-182,-79,170,7,2019-01-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-210,0,15,482,511,-250,-117,100,7,2019-02-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-270,0,3,482,1159,-109,43,262,29,2019-03-01,fa52280e,59.7368152976008,-128.37990040012
402,0,-310,402,15,1019,1693,-46,84,309,46,2019-04-01,fa52280e,59.7368152976008,-128.37990040012
765,173,-370,938,14,722,2178,40,176,574,84,2019-05-01,fa52280e,59.7368152976008,-128.37990040012
854,140,-340,994,75,577,2079,56,193,900,68,2019-06-01,fa52280e,59.7368152976008,-128.37990040012
786,236,-330,1022,64,398,2134,90,221,1074,84,2019-07-01,fa52280e,59.7368152976008,-128.37990040012
735,0,-150,735,103,641,1529,50,177,893,56,2019-08-01,fa52280e,59.7368152976008,-128.37990040012
360,64,-190,424,32,585,1048,36,144,780,44,2019-09-01,fa52280e,59.7368152976008,-128.37990040012
159,0,-220,159,35,734,476,-24,62,503,23,2019-10-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-200,0,37,734,178,-101,-15,284,13,2019-11-01,fa52280e,59.7368152976008,-128.37990040012
0,0,-190,0,33,734,75,-164,-68,206,6,2019-12-01,fa52280e,59.7368152976008,-128.37990040012
