aet,def,pdsi,pet,pr,soil,srad,tmmn,tmmx,vap,vpd,date,id,lat,lon
0,0,223,0,13,144,34,-276,-210,150,0,2015-01-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,192,0,10,144,219,-273,-192,97,0,2015-02-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,190,0,11,144,829,-248,-151,124,1,2015-03-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,246,0,19,144,1741,-129,-40,202,14,2015-04-01,fb1686cb,67.7492256177276,-130.449639837361
900,0,-193,911,2,218,2510,5,109,512,46,2015-05-01,fb1686cb,67.7492256177276,-130.449639837361
441,796,-168,1237,34,109,2281,84,193,826,85,2015-06-01,fb1686cb,67.7492256177276,-130.449639837361
515,470,112,985,51,77,1699,100,194,1093,66,2015-07-01,fb1686cb,67.7492256177276,-130.449639837361
477,91,201,567,48,60,1229,64,151,1028,32,2015-08-01,fb1686cb,67.7492256177276,-130.449639837361
207,0,305,222,41,242,465,-3,65,627,16,2015-09-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,317,0,23,242,290,-66,-16,433,3,2015-10-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,358,0,18,242,60,-206,-137,158,1,2015-11-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,310,0,7,242,7,-256,-189,72,4,2015-12-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,240,0,10,190,29,-250,-172,0,3,2016-01-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,230,0,13,190,240,-243,-156,0,6,2016-02-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,270,0,17,190,750,-222,-133,16,7,2016-03-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,210,0,6,190,1782,-117,-15,201,13,2016-04-01,fb1686cb,67.7492256177276,-130.449639837361
738,0,70,738,6,315,2125,2,93,454,52,2016-05-01,fb1686cb,67.7492256177276,-130.449639837361
431,798,-200,1229,23,116,2402,84,194,788,84,2016-06-01,fb1686cb,67.7492256177276,-130.449639837361
482,646,-120,1128,47,80,2032,102,207,1101,68,2016-07-01,fb1686cb,67.7492256177276,-130.449639837361
433,320,-80,753,44,62,1373,75,171,980,46,2016-08-01,fb1686cb,67.7492256177276,-130.449639837361
279,63,-60,342,28,51,796,4,84,634,26,2016-09-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-180,0,7,51,362,-99,-34,326,8,2016-10-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-250,0,12,51,61,-220,-142,97,3,2016-11-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-350,0,11,51,7,-294,-218,44,3,2016-12-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-280,0,33,51,34,-306,-224,0,3,2017-01-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-140,0,26,51,204,-283,-197,0,5,2017-02-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-150,0,6,51,898,-292,-187,6,5,2017-03-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-180,0,3,51,1868,-138,-29,181,14,2017-04-01,fb1686cb,67.7492256177276,-130.449639837361
686,0,-190,686,16,315,2207,-8,81,444,44,2017-05-01,fb1686cb,67.7492256177276,-130.449639837361
405,862,-260,1267,18,116,2712,82,193,798,80,2017-06-01,fb1686cb,67.7492256177276,-130.449639837361
240,1048,-330,1288,22,80,2397,105,215,1071,83,2017-07-01,fb1686cb,67.7492256177276,-130.449639837361
347,460,-340,807,35,62,1569,76,173,960,56,2017-08-01,fb1686cb,67.7492256177276,-130.449639837361
369,0,-200,369,45,122,643,15,92,631,22,2017-09-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-170,0,23,122,257,-82,-23,336,5,2017-10-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-170,0,10,122,52,-243,-169,87,1,2017-11-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-140,0,14,122,7,-235,-162,44,3,2017-12-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-130,0,13,122,34,-290,-212,0,2,2018-01-01,fb1686cb,67.7492256177276,-130.449639837361
0,0,-60,0,19,122,197,-302,-218,0,7,2018-02-01,fb1686cb,67.7492256177276,-130.449639837361
